리뷰,rep,index,Processing
한강 하구에 위치한 공원으로 공원내 생태 습지가 함께하고 있어 일반 쉼터공원으로 서의 역할 뿐 만아니라 생태습지공원으로 도 존재가치가 큰곳이다.,0,0,"['한강', '하다', '위치', '한', '공원', '공', '원내', '생태', '습지', '하다', '일반', '쉬다', '터', '공원', '서다', '역할', '뿐', '말다', '생태', '습지', '공원', '도', '존재', '가치', '크다', '곳', '이다']"
또한 맞은 편에 행주산성이 있고 북동쪽 으로는 북한산이 한눈에 들어오는 전망이 좋은 곳이며 자전거도로가 연결되어 바이크 동호인들이 사랑하는 곳이기도 하다,1,0,"['맞다', '편', '행주산성', '북동쪽', '으로는', '북한', '산이', '한눈', '들어오다', '전망', '좋다', '곳', '이며', '자전거', '도로', '연결', '되어다', '바이크', '동', '호인', '사랑', '하다', '곳', '이기도', '하다']"
김포에서 출발하여 방화대교 / 마곡(철도)대교/가양대교/ 미 개통대교 / 성산대교 그리고 선유도 까지 도보(4월에만 세번째) 하면서 여의도 방향의 국회/쌍둥이 빌딩 그리고 반대편 난지도 하늘공원 등 보면서 그간 서울/한국의 발전과 한강기적의 잠시나미 느껴고 머릿속엔 주마등 처럼 많은 그림이 스쳐간다..,0,1,"['김포', '출발', '하다', '방화대교', '/', '마곡', '철도', '대교', '/', '가양대교', '/', '밉다', '개통', '대교', '/', '성산대교', '선유도', '도보', '4월', '에만', '세번', '째', '하다', '여의도', '방향', '국회', '/', '쌍둥이', '빌딩', '반대편', '난지도', '하늘', '공원', '보다', '그간', '서울', '/', '한국', '발전', '한강', '기적', '나미', '느끼다', '머릿속', '엔', '주', '마등', '처럼', '많다', '그림', '스치다', '간다', '..']"
나의 공적도 여기 어디엔가 있을거 같기도 하고..,1,1,"['공적', '도', '엔', '가다', '하다', '..']"
제3한강교(반포대교) 라는 대중음악도 생각해보고..,2,1,"['한', '강교', '반포대교', '라는', '대중음악', '도', '생각', '해보다', '..']"
우리 대한민국 ..,3,1,"['대한민국', '..']"
하루빨리 선진 강대국 반열에 올라야 하는데.. 빌어도본다..,4,1,"['하루빨리', '선진', '강대국', '반', '열', '올', '라야', '하다', '..', '빌어', '도', '보다', '..']"
담엔 자전거로 잠실대교까지 가봐야지 하면서 발길은 돌린다.,5,1,"['담', '엔', '자전거', '잠실대교', '가보다', '하다', '발길', '은', '돌리다']"
가양나들목을 나와 한강변 산책로를 따라 야경이 무척 아름다운 방화대교 주변까지 갔다왔구요.,0,2,"['가양', '나들목', '나오다', '한', '강변', '산책로', '따르다', '야경', '무척', '아름답다', '방화대교', '주변', '가다', '오다']"
특히 방화대교 남단 바로옆에 있는 투금탄이야기 조형물과 전설은 우리에게 큰 교훈이 되고 있습니다.,1,2,"['특히', '방화대교', '남단', '옆', '투금', '이야기', '조형', '물', '전설', '은', '크다', '교훈', '되다']"
강서 한강공원  늘 푸른물결 아름답고요,0,3,"['강서', '한강', '공원', '늘', '푸른', '물결', '아름답다']"
많은 사람들이 자전거 행열 아름다워요,1,3,"['많다', '사람', '자전거', '행열', '아름답다']"
생태공뭔에는 고란이가 놀고 있네요,2,3,"['생태', '공', '뭔', '는', '고', '란', '놀다']"
가끔 강태공들이 낚시른 즐기고 있네요,3,3,"['가끔', '강태공', '낚시', '른', '즐기다']"
즐겁고 아름다운하루,4,3,"['즐겁다', '아름답다', '하루']"
뭔가 좀 없지만 넓고 쾌적해서 좋아요,0,4,"['뭔가', '없다', '넓다', '쾌적하다', '좋다']"
날씨 좋은날 그늘막 하나 가지고 바람쐬면서 휴식하기 좋아요.,0,5,"['날씨', '좋다', '날', '그늘', '막', '가지', '고', '바람', '쐬다', '휴식', '하다', '좋다']"
잔디밭에 그늘막치고 누워있음,1,5,"['잔디밭', '그늘', '막', '치고', '눕다']"
캠핑온것같은 느낌이 드네요.,2,5,"['캠핑', '오다', '느낌', '드네', '요']"
한강까지는 쪼금 걸어나가면 볼 수 있어요.,3,5,"['한강', '까지는', '쪼금', '걸다', '나가다', '볼', '수']"
나무들이 아직 울창하지않아 그늘이 많지는 않지만...  제가 간 날은 날이 너무 좋았네요.,4,5,"['나무', '아직', '울창', '하다', '않다', '그늘', '많다', '않다', '간', '날', '은', '날', '너무', '좋다']"
오전엔 선선한 바람도 불고...,5,5,"['오전', '엔', '선선', '한', '바람', '도', '불', '고']"
오후엔 쫌 더웠어요.,6,5,"['오후', '엔', '쫌', '덥다']"
