리뷰,rep,index,Processing
한강을 가까이 볼 수 있어서 좋고 수풀향기도 그대로 맡을수 있어 좋다.,0,0,"['한강', '가까이', '볼', '수', '좋다', '수풀', '향기도', '그대로', '맡다', '좋다']"
산책로가 잘 되어 있어서 걷기에도 좋다.,1,0,"['산책로', '자다', '되어다', '걷기', '에도', '좋다']"
야외수영장 아이들 놀기좋음,0,1,"['야외', '수영장', '놀다', '좋다']"
수심 얕음,1,1,"['수심', '얕다']"
수영장 옆 놀이터도 너무좋아요,2,1,"['수영장', '옆', '놀이터', '도', '너무', '좋다']"
추석 연휴에 아이들이랑 같이 갔어요,0,2,"['추석', '연휴', '이랑', '가다']"
주차장이 무료로 제공되었는데..,1,2,"['주차장', '무료', '제공', '되어다', '..']"
늦게가서 주차는 못했어요,2,2,"['늦다', '주차', '는', '못', '하다']"
놀이터도 큰 편이고 그물망이 되어 있어 아이들이 좋아하더라구요,3,2,"['놀이터', '도', '크다', '편이', '고', '그물', '망', '되어다', '좋아하다']"
특히 모래놀이가 특히 잘되어 있는 것 같아요,4,2,"['특히', '모래', '놀이', '특히', '잘', '되어다']"
모래만 모아 놓은 곳 안에 수돗물 나오는 곳도 있어서 모래로 하고 싶은건 왠만하면 다 할 수 있을 것 같아요,5,2,"['모래', '만', '모으다', '놓다', '곳', '안', '수돗물', '나오다', '곳도', '모래', '하다', '싶다', '왠만하다', '다', '하다', '수']"
장애인도 쓸 수 있는 그네는 처음 봤었는데 그네 무서워 하는 애들은 좋을 것 같아요,6,2,"['장애인', '도', '쓸다', '수', '그네', '는', '처음', '보다', '그네', '무섭다', '하다', '애', '은', '좋다']"
바로 옆에 (가을이라 운영은 안했지만)수영장도 있고 드론운동장? 도 있더라구요,7,2,"['옆', '가을', '이라', '운영', '은', '안', '하다', '수영장', '도', '드론', '운동장', '도']"
그 앞에 나무도 가지런하게 있어서 사진찍으면 예쁘게 나오는 것 같아요,8,2,"['앞', '나무', '도', '가지런하다', '사진', '찍다', '예쁘다', '나오다']"
장미꽃을 길 따라서 심어 놓았는데 장미 피는 시기에 가면 좋을 것 같아요,9,2,"['장미꽃', '길', '심다', '놓다', '장미', '피다', '시기', '가면', '좋다']"
또 조금만 걸어가면 한강이 있어서 좋았어요,10,2,"['만', '걸어가다', '한강', '좋다']"
저렴하고 외부 음식 반입 가능하니 간단하게 놀기 좋음.,0,3,"['저렴하다', '외부', '음식', '반입', '가능하다', '간단하다', '놀다', '좋다']"
수심도 0.9라서 저학년 아이들도 부담없이 놀수 있음,1,3,"['수심', '도', '0.9', '라서', '저학년', '도', '부담', '없이', '놀수']"
다만 수질은 좀 아쉬움,2,3,"['수질', '은', '아쉬움']"
산책하기 좋아요,0,4,"['산책', '하다', '좋다']"
암사역에서 도보로 10분 가량 걸으면 나오는 공원.,0,5,"['암사역', '도보', '10분', '가량', '걸다', '나오다', '공원']"
단언컨대 그 어떤 한강공원보다 강물을 가까이서 볼 수 있음.,1,5,"['단언컨대', '어떻다', '한강', '공원', '보다', '강물', '가까이', '서', '볼', '수']"
화장실5분거리마다 화장실이 있는듯.피크닉 구역돗자리 깔고 앉을 곳이 많음.,2,5,"['화장실', '5분', '거리마다', '화장실', '피크닉', '구역', '돗자리', '깔다', '앉다', '곳', '많다']"
"한강에 인접한 광나루 주차창과 함께
장미로 인해 야외 결혼식이 자주 예약된다고 한다.",0,6,"['한강', '인접', '한', '광나루', '주', '차창', '\r\n', '장미', '인하다', '야외', '결혼식', '자주', '예약', '되다', '하다']"
"놀이터도 좋고
드론날리기도 좋고
편의점에서 라면 먹기도 좋아요.",0,7,"['놀이터', '도', '좋다', '\r\n', '드론', '날리다', '기도', '좋다', '\r\n', '편의점', '라면', '먹기', '도', '좋다']"
주차비도 저렴하고 사람도 많이 없네요.,0,8,"['주차', '비도', '저렴하다', '사람', '도', '많이', '없다']"
시설은 많은데 이용가능한 시설은 현재 별로없습니다.,1,8,"['시설', '은', '많다', '이용', '가능하다', '시설', '은', '현재', '별로', '없다']"
잔디는 4월부터 입장가능하구요.,2,8,"['잔디', '는', '4월', '입장', '가능하다']"
생육중이라 입장불가입니다.,3,8,"['생육', '중', '이라', '입장', '불가', '이다']"
주차장은 3곳 있는거 같네요.,4,8,"['주차장', '은', '곳']"
2주차장 가니 잔디밭하고 자전거 렌트하는곳 가깝네요.,5,8,"['주차장', '가다', '잔디밭', '하고', '자전거', '렌트', '하다', '곳', '가깝다']"
한강공원치고 특별한 건 많이 없습니다,0,9,"['한강', '공원', '치고', '특별하다', '건', '많이', '없다']"
