리뷰,rep,index,Processing
주말에는 형형색색 의 텐트가 쳐지고 푸른잔디 위에 뛰노는 아이들과 애완견의 모습을 지켜보면 평화롭고 여유롭게 삶을 즐기고 있다는 생각이 절로 듭니다  평일 이른아침 산책코스로 최고의 장소 입니다,0,0,"['주말', '에는', '형형색색', '텐트', '치다', '푸른', '잔디', '위', '뛰다', '애완견', '모습', '지켜보다', '평화', '롭고', '여유롭다', '삶', '즐기다', '생각', '절로', '듭니', '다', '평일', '이르다', '아침', '산책', '코스', '최고', '장소', '이다']"
가족들과 함께 방문하여 좋은 추억을 가질수 있는 멋진 장소 입니다.,0,1,"['가족', '방문', '하다', '좋다', '추억', '가지다', '멋지다', '장소', '이다']"
매우 사람들이 많으나 편의점도 있고 편의시설이 잘 가꾸어져 있습니다.,1,1,"['매우', '사람', '많다', '편의점', '도', '편의', '시설', '자다', '가꾸어지다']"
더크라이그라운드 공연을 보고 왔어요.,0,2,"['더크', '라', '라운드', '공연', '보고', '오다']"
스탠딩으로 나가서 봐도되고 잔디에 돗자리 깔고 앉아서 봐도 되고 넘 좋더라구요ㅎ,1,2,"['스탠딩', '나가다', '보다', '되다', '잔디', '돗자리', '깔다', '앉다', '보다', '되다', '넘다', '좋다', 'ㅎ']"
사람들도 매너들도 좋고 스탠딩에 서있다가 빠지는 사람들이 있으면 편히 들어가 즐기고 또 나와서 쉬면 뒷사람이 들어가고 신기하게 싸움하나 없더라구요.,2,2,"['사람', '도', '매너', '도', '좋다', '스탠딩', '서다', '빠지다', '사람', '편하다', '들어가다', '즐기다', '나오다', '쉬', '면', '뒷', '사람', '들어가다', '신기하다', '싸움', '없다']"
아이가 전날에 공연보러 간다고해서 걱정 많았는데 다음 날 같이가서 직접 경험해보니 참 좋은 문화같습니다.,3,2,"['전날', '공연', '보다', '간다', '고해', '서', '걱정', '많다', '날', '가다', '직접', '경험', '해보다', '차다', '좋다', '문화']"
한가지 아쉬운 점은 음식인데요.,4,2,"['한가지', '아쉽다', '점', '은', '음식', '인데', '요']"
맛에 비해 음식이 넘 비싸요.,5,2,"['맛', '비다', '음식', '넘다', '비싸다']"
정말 맛없는 음식도 있어서 먹다버리기도 했어요..,6,2,"['정말', '맛없다', '음식', '도', '먹다', '버리다', '기도', '하다', '..']"
갈대보러 친구들과 갔는데 4시에 도착해서 걸어 올라가면 정말 노을까지 딱이에요!!!!,0,3,"['갈대', '보다', '친구', '가다', '4시', '도착', '하다', '걸다', '올라가다', '정말', '노을', '딱이다', '!!!!']"
그리고 이마트24 앞에서 사진찍으면 전체가 내려다 보여요~,1,3,"['이마트', '24', '앞', '사진', '찍다', '전체', '내다', '보이다']"
잔디밭이 넓게 있고 한강변으로 자전거 도로도 잘 되어있다.,0,4,"['잔디밭', '넓다', '한', '강변', '자전거', '도로', '도', '자다', '되어다']"
