리뷰,rep,index,Processing
공영주차장이면서 망원시장에 도보로 15분 정도면 가능해서 괜찮은 장소 입니다.,0,0,"['공', '주차장', '이면', '서', '망원', '시장', '도보', '15분', '정도', '면', '가능하다', '괜찮다', '장소', '이다']"
주변에 편의점 2개와 스타벅스 서브웨이 맟 바른통닭이 있네요,1,0,"['주변', '편의점', '개', '스타벅스', '서브웨이', '맟', '바른', '통닭']"
선선한 가을에 간식거리 사들고 가면 기가막힌 추억의 장소가 되네요.,0,1,"['선선', '한', '가을', '간식', '거리', '고', '가면', '기', '막히다', '추억', '장소', '되다']"
바람이 시원하게 불고 야경이 좋아 최근들어 최고의 여행지였어요.,1,1,"['바람', '시원하다', '불', '고', '야경', '좋다', '최근', '들다', '최고', '여행지', '이다']"
1층에는 편의점이 있고 2층에는 스타벅스가 있어 간식거리를 구입하지 못했어도 충분히 즐길거리가 있는 곳이에요.,2,1,"['층', '에는', '편의점', '층', '에는', '스타벅스', '간식', '거리', '구입', '하다', '못', '하다', '충분하다', '즐기다', '거리', '곳', '이에요']"
아이가 있다면 오리배를 타면 스릴이 최고입니다.,3,1,"['오리', '배', '스릴', '최고', '이다']"
"30분에 25,000원으로 생각보다 저렴하게 놀았습니다.",4,1,"['30분', '25,000원', '생각', '보다', '저렴하다', '놀다']"
야경장소로 강력 추천합니다!,5,1,"['야경', '장소', '강력', '추천', '하다']"
연예인(개인적으로 놀러오신듯)도 만날 수 있는 명소였어요.^^,6,1,"['연예인', '개인', '적', '놀다', '오다', '도', '만날', '수', '명소', '이다', '.^^']"
전망좋고 산책하기 좋다.,0,2,"['전망', '좋다', '산책', '하다', '좋다']"
접근성이 좋고 주차장이 넓고 가격도 저렴하다.,1,2,"['접근성', '좋다', '주차장', '넓다', '가격', '도', '저렴하다']"
"스타벅스 망원한강공원점(?)이 있고, 각종 편의시설이 있다.",2,2,"['스타벅스', '망원', '한강', '공', '원점', '(?)', '편의', '시설']"
한강변에 앉아서 성산대교나 강을 보는것도 좋고 편의시설이 있으니 먹고 마시고가 즐거운곳이에요,0,3,"['한', '강변', '앉다', '성산대교', '강', '보다', '좋다', '편의', '시설', '먹다', '말다', '즐겁다', '곳', '이에요']"
"주차, 식사, 끽다, 산책 등 다양한 여가 활동이 가능한 시민공원.",0,4,"['주차', '식사', '끽', '다', '산책', '다양하다', '여가', '활동', '가능하다', '시민', '공원']"
저녁 때에는 성산대교 너머 해넘이와 노을이 멋집니다.,1,4,"['저녁', '에는', '성산대교', '너머', '해넘이', '노을', '멋지다']"
"떡볶이 먹고, 월드컵 경기장역 1번출구쪽으로 내려서 걸어갔어요.",0,5,"['떡볶이', '먹다', '월드컵', '경', '기장역', '번', '출구', '쪽', '내다', '걸어가다']"
"편의점에서 맥주한캔씩 마시면서
대화하니 선선하고, 너무 좋았어요.",1,5,"['편의점', '맥주', '한', '캔', '씩', '말다', '\r\n', '대화', '하다', '선선', '하고', '너무', '좋다']"
걷기에 좋은 날씨예요. ㅎㅎ,2,5,"['걷기', '좋다', '날씨', '예요', 'ㅎㅎ']"
"반려견 동반 환경반려견을 데리고, 산책하기 좋아요.",3,5,"['반려견', '동반', '환경', '반려견', '데리', '고', '산책', '하다', '좋다']"
피크닉 구역잔디에 텐트도 많이 쳤구요.,4,5,"['피크닉', '구역', '잔디', '텐트', '도', '많이', '치다']"
"돗자리 깔고, 라면에 맥주 or
배달음식 시켜서 먹어도 좋을거
같아요.",5,5,"['돗자리', '깔다', '라면', '맥주', 'or', '\r\n', '배달', '음식', '먹다', '좋다', '\r\n']"
합정에서 가까운 한강공원 근처에는 음식점 돗자리 원터치 텐트 담요 빌리는 곳이 구비되어 있고 원터치는 2면인가 3면을 열어놔야하고 저녁 7시 이후는 텐트는 접어야한다.,0,6,"['합정', '가깝다', '한강', '공원', '근처', '에는', '음식점', '돗자리', '원', '터치', '텐트', '담요', '빌리다', '곳', '구비', '되어다', '원', '터치', '는', '면', '인가', '면', '열다', '놓다', '저녁', '7시', '이후', '는', '텐트', '는', '접다', '야하다']"
