리뷰,rep,index,Processing
"반포한강공원은 대한민국 서울특별시 서초구에 위치한 한강의 아름다운 물가에 펼쳐진 공원으로, 시민들의 휴식처이자 다양한 문화와 레크리에이션 활동의 중심지로 알려져 있다.",0,0,"['반포', '한강', '공원', '은', '대한민국', '서울특별시', '서초구', '위치', '한', '한강', '아름답다', '물가', '펼쳐지다', '공원', '시민', '휴식', '처', '이자', '다양하다', '문화', '레크리에이션', '활동', '중심지', '알려지다']"
"이 공원은 서울의 중심부에 위치하면서도 수많은 나무와 넓은 잔디밭, 그리고 한강의 아름다운 경치를 제공하여 도시의 번잡함에서 벗어나 조용한 휴식을 찾는 이들에게 인기가 많다.",1,0,"['공원', '은', '서울', '중심부', '위치', '하다', '수많다', '나무', '넓다', '잔디밭', '한강', '아름답다', '경치', '제공', '하다', '도시', '번잡', '함', '벗어나다', '조용하다', '휴식', '찾다', '인기', '많다']"
"반포한강공원은 크게 일반적인 휴식 공간과 서래섬, 반포대교 달빛무지개 분수 등의 주요 시설로 구성되어 있다.

서래섬은 인공섬으로, 원래는 물류 운송을 위한 목적으로 만들어졌으나 현재는 다양한 식물과 나무, 그리고 휴식을 즐기기 위한 시설로 재탄생하였다.",2,0,"['반포', '한강', '공원', '은', '크게', '일반', '적', '인', '휴식', '공간', '서래섬', '반포대교', '달빛', '무지개', '분수', '주요', '시설', '구성', '되어다', '\r\n\r\n', '서래섬', '은', '인공', '섬', '원래', '는', '물류', '운송', '위', '한', '목적', '만들어지다', '현재', '는', '다양하다', '식물', '나무', '휴식', '즐기다', '위', '한', '시설', '재탄생', '하다']"
"이곳은 아름다운 정원과 산책로, 그리고 조용한 카페 등으로 구성되어 있어 방문객들에게 평온한 휴식의 시간을 제공한다.",3,0,"['곳', '은', '아름답다', '정원', '산책로', '조용하다', '카페', '구성', '되어다', '방문객', '평온하다', '휴식', '제공', '한', '다']"
반포대교 달빛무지개 분수는 세계에서 가장 긴 다리 분수로 국내외 관광객들로부터 큰 사랑을 받고 있다.,4,0,"['반포대교', '달빛', '무지개', '분수', '는', '세계', '가장', '기다', '다리', '분수', '국내외', '관광객', '크다', '사랑', '받다']"
"일몰 후 특히 밤에는 다양한 색상의 LED 조명과 함께 분수가 무지개색으로 물을 뿌려, 환상적인 뷰를 만들어낸다.",5,0,"['일몰', '후', '특히', '밤', '에는', '다양하다', '색상', 'LED', '조명', '분수', '무지개', '색', '물', '뿌리다', '환상', '적', '인', '뷰', '만들다', '내다']"
이 풍경은 한강의 밤 풍경을 대표하는 명소 중 하나로 꼽힌다.,6,0,"['풍경', '은', '한강', '밤', '풍경', '대표', '하다', '명소', '중', '하나로', '꼽히다']"
"또한, 반포한강공원에서는 다양한 행사와 이벤트가 주기적으로 열린다.",7,0,"['반포', '한강', '공원', '에서는', '다양하다', '행사', '이벤트', '주', '기적', '열', '린다']"
"음악회, 플리마켓, 축제 등 다양한 행사가 계절마다 진행되어 방문객들에게 즐거움을 선사한다.",8,0,"['음악회', '플리', '마켓', '축제', '다양하다', '행사', '계절', '마다', '진행', '되어다', '방문객', '즐거움', '선사', '하다']"
레크리에이션 활동도 다양하다.,9,0,"['레크리에이션', '활동', '도', '다양하다']"
