리뷰,rep,index,Processing
아주좋습니다,0,0,"['아주', '좋다']"
날씨가 풀렸다.,0,1,"['날씨', '풀리다']"
구글은 어떻게 풀렸다를 번역할 까?,1,1,"['구글', '은', '어떻다', '풀리다', '번', '역할', '끄다']"
사람들이 제법 돌아다닌다.,2,1,"['사람', '제법', '돌아다니다']"
사람은 자전거 조심.,3,1,"['사람', '은', '자전거', '조심']"
자전거는 사람 조심.,4,1,"['자전거', '는', '사람', '조심']"
생각 좀 하고 걸어 다니고 자전거 터라.,5,1,"['생각', '하다', '걸다', '다니다', '자전거', '터', '라']"
운동장소 최고,0,2,"['운동', '장소', '최고']"
선유도와 근접해서  좋음.,0,3,"['선유도', '근접하다', '좋다']"
선유도를 가지 않아도 공원 폭이 넓고 잔디가 잘 깔려있어서 피크닉하기 좋음.,1,3,"['선유도', '가지', '않다', '공원', '폭', '넓다', '잔디', '자다', '깔다', '피크닉', '하다', '좋다']"
중간중간 편의점도 있고 공중 화장실도 있으며 양화대교 아래에는 운동기구들이 있어서 유용함.,2,3,"['중간', '중간', '편의점', '도', '공중', '화장실', '도', '양화대교', '아래', '에는', '운동', '기구', '유용하다']"
축구골대와 농구 골대도 있어서 운동하기도 정말 좋음.,3,3,"['축구', '골대', '농구', '골대', '도', '운동', '하다', '정말', '좋다']"
양화대교를 통해서 선유도로 갈 수도 있음.,4,3,"['양화대교', '통해', '서', '선유도', '갈다', '수도']"
"2, 9호선 당산역과 9호선 선유도역이 근접해 접근성도 좋음.",5,3,"['호선', '당산역', '호선', '선유도역', '근접하다', '접근성', '도', '좋다']"
주차공간도 몇군데 있고 주차면수도 많음.,6,3,"['주차공간', '도', '군데', '주차', '면', '수도', '많다']"
봄 여름 가을 데이트나 피크닉 장소로 아주 좋은듯.놀이터양화대교 옆에 위치.,7,3,"['봄', '여름', '가을', '데이트', '피크닉', '장소', '아주', '좋다', '듯', '놀이터', '양화대교', '옆', '위치']"
