리뷰,rep,index,Processing,평가
서울에서 일출 보기 매우 좋은 곳입니다.,0,0,"['서울', '일출', '보기', '매우', '좋다', '곳', '이다']",부정
2024년 1월 1일 일출은 이곳에서 봤네요.,1,0,"['2024년', '1월', '1일', '일출', '은', '곳', '보다']",긍정
주차장쪽에 원효대교로 올라가는 길이 있는데 거기서 봐도 좋습니다.,2,0,"['주차장', '쪽', '원효대교', '올라가다', '길이', '거기', '서', '보다', '좋다']",긍정
가만히 앉아서 물멍 때리기도 좋고 천천히 걸으면서 여유를 즐기는 것도 좋다.,0,1,"['가만히', '앉다', '물멍', '때리다', '기도', '좋다', '천천히', '걸다', '여유', '즐기다', '도', '좋다']",긍정
날씨가 따뜻하면 피크닉 오기 좋은 곳화장실화장실이 부족하지 않게 있다 !,1,1,"['날씨', '따뜻하다', '피크닉', '오기', '좋다', '곳', '화장실', '화장실', '부족하다', '않다']",긍정
반려견 동반 환경야,2,1,"['반려견', '동반', '환경']",긍정
외니깐 당연히 강아지 데리고 와도 된다.,3,1,"['외', '니깐', '당연하다', '강아지', '데리', '고', '와도', '되다']",긍정
배변 패드는 필수 !!피크닉 구역잔디밭이 광범위하게 있어서 피크닉하기에 딱 좋다,4,1,"['배변', '패드', '는', '필수', '!!', '피크닉', '구역', '잔디밭', '광범위하다', '피크닉', '하다', '좋다']",긍정
낮에도 밤에도 넓고 쾌적한 공원.,0,2,"['낮', '에도', '밤', '에도', '넓다', '쾌적하다', '공원']",긍정
벚꽃 시즌엔 평일에나 겨우 들를 정도.,1,2,"['벚꽃', '시즌', '엔', '평일', '에나', '들르다', '정도']",부정
허가를 받고 드론 날리기에도 꽤 좋은 장소.,2,2,"['허가', '받다', '드론', '날', '리기', '에도', '꽤', '좋다', '장소']",긍정
봄여름에 가늘도 많아서 피크닉도 가능.,3,2,"['봄', '여름', '가늘다', '많다', '피크닉', '도', '가능']",긍정
봄가을 한강공원 나들이는 필수죠.,0,3,"['봄', '가을', '한강', '공원', '나들이', '는', '필수', '죠']",긍정
야시장이 열렸다하여 아이들과 가보았는데 역시 비싼 음식값과 돗자리를 대여하는곳이 즐비했어요.,1,3,"['야시장', '열리다', '가보다', '역시', '비싸다', '음식', '값', '돗자리', '대여', '하다', '곳', '즐비하다']",부정
가시게되면 돗자리는 필수!,2,3,"['가시', '게', '되다', '돗자리', '는', '필수']",긍정
물정도는 싸가지고 가세요~,3,3,"['물', '정도', '는', '싸가지', '고', '가세', '요']",긍정
물 한잔에 2천원에 판매해요..;;;,4,3,"['물', '한잔', '2천원', '판매', '하다', '..;;;']",부정
그 외에 해질무렵에가면 분위기도 좋고 분수다리밑에서 유람선구경도 쏠쏠합니다^^,5,3,"['외', '하다', '가면', '분위기', '도', '좋다', '분수', '다리', '밑', '유람선', '구경', '도', '쏠쏠하다', '^^']",긍정
동탄에 거주 직장은 여의도 동탄 호수공원도 자주 갑니다.,0,4,"['동탄', '거주', '직장', '은', '여의도', '동탄', '호수', '공원', '도', '자주', '가다']",긍정
"좋다는 느낌, 그런느낌을 가지고 가족과 한강에 왔을땐 베네치아에 갈필요는 없겠구나",1,4,"['좋다', '느낌', '그런', '느낌', '가지', '고', '가족', '한강', '오다', '땐', '베네치아', '갈다', '필요', '는', '없다']",긍정
(가보진않았지만) 세계적 명소가 맞구나 하는 느낌이 듭니다.,2,4,"['가보다', '않다', '세계', '적', '명소', '맞다', '하다', '느낌', '듭니', '다']",긍정
자전거도로는 정말 환상적입니다.,3,4,"['자전거', '도로', '는', '정말', '환상', '적', '이다']",긍정
여의도에서 잠실까지 자전거로 한시간이면 갑니다.,4,4,"['여의도', '잠실', '자전거', '한', '면', '가다']",부정
운동도 되고 차로가도 그정도 걸리니.,5,4,"['운동', '도', '되다', '차로', '가도', '정도', '걸리다']",긍정
"자전거 타러, 인라인타러, 캠핑감성 즐기러, 스트레스풀겸....",6,4,"['자전거', '인', '라인', '캠핑', '감성', '즐기다', '스트레스', '풀겸', '....']",긍정
추천드립니다.,7,4,"['추천', '드리다']",긍정
가을에 산책하기좋고 피크닉도 가능 돗자리나 바람막이텐트를 빌릴수있습니다.,0,5,"['가을', '산책', '하다', '좋다', '피크닉', '도', '가능', '돗자리', '바람막이', '텐트', '빌리다']",긍정
배달음식도 가능 치맥 한강라면 가족 커플 친구들과 다함께 즐길수있는곳,1,5,"['배달', '음식', '도', '가능', '치맥', '한강', '라면', '가족', '커플', '친구', '다', '즐기다', '곳']",긍정
"가족, 친구들과 산책하고 버스킹 즐기기 안성맞춤인 공간으로, 구역별로 배치된 크루즈 중심으로 식당, 편의시설 등이 있어 이용에 편리",0,6,"['가족', '친구', '산책', '하고', '버스킹', '즐기다', '안성맞춤', '인', '공간', '구역', '별로', '배치', '되다', '크루즈', '중심', '식당', '편의', '시설', '이용', '편리']",긍정
"탁 트인 한강 드넓은 공간, 커다란 나무, 잔디, 꽃들 유람선 선착장, 선상 카페, 선상 음식점...",0,7,"['탁', '트이다', '한강', '드넓다', '공간', '커다랗다', '나무', '잔디', '꽃', '유람선', '선착장', '선상', '카페', '선상', '음식점']",부정
서울 시민들께 너무나도 큰 선물 같은 곳 '한강시민공원' 입니다.,1,7,"['서울', '시민', '께', '너무나도', '크다', '선물', '곳', '한강', '시민', '공원', '이다']",긍정
야경은 더 멋집니다.,2,7,"['야경', '은', '더', '멋지다']",긍정
여의나루역 나오자마자 돗자리 대여하는 곳도 있고 곳곳에 음식판매 하는 곳 있어서 골라 먹는 재미도 밌었고  63빌딩 관람도 좋았습니다.,3,7,"['여의나루역', '나오다', '돗자리', '대여', '하다', '곳도', '곳곳', '음식', '판매', '하다', '곳', '고르다', '먹다', '재미', '도', '밌었', '고', '63', '빌딩', '관람', '도', '좋다']",긍정
자주 찾고 싶은 곳 강추 입니다,4,7,"['자주', '찾다', '싶다', '곳', '강추', '이다']",긍정
혼자서도 무섭지 않은 곳이라 가끔은 혼자서 산책하는 장소로도 좋을 듯 합니다.,5,7,"['서도', '무섭다', '않다', '곳', '이라', '가끔', '은', '서', '산책', '하다', '장소', '도', '좋다', '듯', '하다']",긍정
[ 2024년 1월 12일 방문 ] 역시 여의도한강공원!,0,8,"['[', '2024년', '1월', '12일', '방문', ']', '역시', '여의도', '한강', '공원']",긍정
볼것도 많고 먹거리도 좀 있음,1,8,"['보다', '많다', '먹거리', '도']",부정
