리뷰,rep,index,Processing
"한강을 자주 나가곤 하지만.,  이곳은 특히 매년 불꽃축제 핫플코스 이기도 하다.",0,0,"['한강', '자주', '나가다', '.,', '곳', '은', '특히', '매년', '불꽃', '축제', '핫', '플', '코스', '이기도', '하다']"
이몰에서 63빌딩 사이로 김포공항으로 서서히 착륙하는 비행기가 사진을 보면 명확하게 볼일것이다.,1,0,"['몰다', '63', '빌딩', '사이', '김포공항', '서서히', '착륙', '하다', '비행기', '사진', '보다', '명확하다', '볼일', '이다']"
놀이터공짜화장실공짜반려견 동반 환경밥과 간식만 있으면 오케이피크닉 구역집시가 되면 무엇이 더 필요한가,2,0,"['놀이터', '공짜', '화장실', '공짜', '반려견', '동반', '환경', '밥', '간식', '만', '오케이', '피크닉', '구역', '집시', '되다', '더', '필요하다']"
"동작대교와 한강대교에서 엘리베이터로 접근할 수 있으며 강변 산책로와 자전거길 등이 잘 설치되어 강변 산책과 운동, 석양과 노을 보기도 좋아요.",0,1,"['동작대교', '한강대교', '엘리베이터', '접근', '하다', '수', '강변', '산책로', '자전거', '길', '자다', '설치', '되어다', '강변', '산책', '운동', '석양', '노을', '보기', '도', '좋다']"
아이와함께 주말마다 차범근 축구교실에서 뛰어놀기도 하고 산책하면 힐링되고 너무 좋아요,0,2,"['주말', '마다', '차범근', '축구', '교실', '뛰어놀다', '기도', '하다', '산책', '하다', '힐링', '되다', '너무', '좋다']"
주차장이 네곳이나되네요,0,3,"['주차장', '곳', '이나', '되다']"
각 구역별로 다른 느낌이네요.,1,3,"['구역', '별로', '느끼다']"
그렇지만 고요히 흐르는 한강 바라보며 물멍때리는것은 같아요,2,3,"['고요하다', '흐르다', '한강', '바라보다', '물멍', '때리다']"
좋은계절을 잘느낄수있었어요,0,4,"['좋다', '계절', '잘', '느끼다']"
바람에흔들리는나무들 산책하기 좋았어요,1,4,"['바람', '흔들리다', '나무', '산책', '하다', '좋다']"
그늘집이 좀 더 많으면 더 좋을거같아요,2,4,"['그늘', '집', '더', '많다', '더', '좋다']"
동작역 1번출구 나와 동작대교를 건너가 이촌한강공원 한강변 산책을 했구요.,0,5,"['동작역', '번', '출구', '나오다', '동작대교', '건너가다', '이촌', '한강', '공원', '한', '강변', '산책', '하다']"
자연학습장 옆에 대나무숲길도 조성돼 있어요.,1,5,"['자연', '학습장', '옆', '대나무', '숲길', '도', '조성', '돼다']"
미루나무 가로수길도 있고 거북선나루터 지나 한강대교를 건너니 야경이 멋지네요.,2,5,"['미루나무', '가로수길', '도', '거북선', '나루터', '지나', '한강대교', '건너다', '야경', '멋지다']"
"저녁 야경이 멋있고
반포대교 무기개분수는 유명합니다.",0,6,"['저녁', '야경', '멋있다', '\r\n', '반포대교', '무기', '개', '분수', '는', '유명하다']"
사람도많지않고 분위기가 좋아요,0,7,"['사람', '도', '많다', '않다', '분위기', '좋다']"
작은 공원이지만 운동기구 놀이기구와 러닝트랙 그리고 무엇보다도 햇빛과 눈비를 피할 수 있는 지붕이 있는 벤치가 있어 좋다.,0,8,"['작다', '공원', '운동', '기구', '놀이기구', '러닝', '트랙', '보다도', '햇빛', '눈비', '피', '하다', '수', '지붕', '벤치', '좋다']"
단 삼정호텔 큰 에어컨 실외기 소리가 제법 커서 작동시간에는 낭만적이지 않다,1,8,"['단', '삼정', '호텔', '크다', '에어컨', '실외', '기', '소리', '제법', '커서', '작', '동', '에는', '낭만', '적', '이지', '않다']"
여기 미루나무길 대나무길 예술공원 정말 이뻐요,0,9,"['미루나무', '길', '대나무', '길', '예술', '공원', '정말', '이쁘다']"
주변에 꽃들도이뻐서 운동할때 기분이 더 좋아져요,1,9,"['주변', '꽃', '도', '이쁘다', '운동', '하다', '기분', '더', '좋아지다']"
공영주차장 이용 편리하네요,2,9,"['공영', '주차장', '이용', '편리하다']"
여의도 불꽃축제를 보러 찾아간 이촌한강공원.,0,10,"['여의도', '불꽃', '축제', '보다', '찾아가다', '이촌', '한강', '공원']"
공원은 다른 곳에 비해 한적한 편입니다.,1,10,"['공원', '은', '곳', '비다', '한적하다', '편입', '니', '다']"
자전거 타는 사람은 많아도 앉아있는 사람은 그다지 많지 않아요.,2,10,"['자전거', '사람', '은', '많다', '앉다', '사람', '은', '그다지', '많다', '않다']"
불꽃축제를 보기에는 그다지 적절하지 않습니다.,3,10,"['불꽃', '축제', '보기', '에는', '그다지', '적절하다', '않다']"
사람들이 일어나면 가려집니다.,4,10,"['사람', '일어나다', '가려지다']"
근처 동작대교 위에서 보는것을 추천드립니다.,5,10,"['근처', '동작대교', '위', '보다', '추천', '드리다']"
"평범한 서울의 좋은 공원이지만,

서울세계불꽃축제가 진행하는 날은 그야말로 헬게이트.",0,11,"['평범하다', '서울', '좋다', '공원', '\r\n\r\n', '서', '울', '세계', '불꽃', '축제', '진행', '하다', '날', '은', '그야말로', '헬', '게이트']"
"자전거도로에 텐트설치, 일찍와서 오지 않은 사람들 자리까지 맡는 무개념 사진가들,  본인쓰레기 안치우는 비양심적인 사람들로 가득해지는 지독한 장소가 됩니다.",1,11,"['자전거', '도로', '텐트', '설치', '일찍', '서다', '오지', '않다', '사람', '자리', '맡다', '무', '개념', '사진가', '본인', '쓰레기', '안치우', '는', '비', '양심', '적', '인', '사람', '가득하다', '지독하다', '장소', '되다']"
보행로에 그늘이 좋고 원두막에서 쉴수있어서 좋은데 자전거 길은 그늘이 없네요~,0,12,"['보행', '그늘', '좋다', '원두막', '쉬다', '좋다', '자전거', '길다', '그늘', '없다']"
자연학습장도 풀이 많으네요~,1,12,"['자연', '학습장', '도', '풀이', '많다']"
강가 근처에 샛길로 갈수 있는데 거기도 좋아요,2,12,"['강가', '근처', '샛길', '갈수', '거기', '도', '좋다']"
구간마다 화장실있고 걷기도 평탄하고 틈틈히 벤치도 있는데 강북라인은 마포대교에서 동작대교까지에는 편의점같은 음료등을 살곳은 없음,0,13,"['구간', '마다', '화장실', '걷기', '도', '평탄하다', '틈틈하다', '벤치', '도', '강북', '라인', '은', '마포대교', '동작대교', '까지에', '늘다', '편의점', '음료', '살곳', '은', '없다']"
자전거 도로가 잘되어 있어요!,0,14,"['자전거', '도로', '잘', '되어다']"
반포대교에서 500m정도 시골길(?) 같은 곳을 지나면 깔끔한 산책로가 나와요.,0,15,"['반포대교', '500', 'm', '정도', '시골', '길', '(?)', '곳', '지나다', '깔끔하다', '산책로', '나오다']"
여유롭고 시설좋고 다른지역의 한강공원보다 모든시설이 더 잘 갖춰진 곳!,0,16,"['여유', '롭고', '시설', '좋다', '지역', '한강', '공원', '보다', '모든', '시설', '더', '자다', '갖추다', '곳']"
인라인경기장과 차범근 축구교실이 운영중,1,16,"['인', '라인', '경기장', '차범근', '축구', '교실', '운영', '중']"
"도심속 한강공원 으로
조용히 산책하고 걷기.자전거타기에 좋습니다.",0,17,"['도심', '속', '한강', '공원', '\r\n', '조용하다', '산책', '하고', '걷기', '자전거타기', '좋다']"
자전거빌려주는곳 있습니다.~~,1,17,"['자전거', '빌리다', '곳', '.~~']"
"ㆍ이촌동에 주차장이 많지 않아서, 한강 주차장을
이용합니다.",0,18,"['ㆍ', '이촌동', '주차장', '많다', '않다', '한강', '주차장', '\r\n', '이용', '하다']"
"ㆍ주차장에서 이촌동까지 걸어서 15분 정도
소요 되지만, 주차요금도 저렴해서 이용함",1,18,"['ㆍ', '주차장', '이촌동', '걸다', '15분', '정도', '\r\n', '소요', '되다', '주차', '요금', '도', '저렴하다', '이용', '함']"
산책하기 좋고 곳곳에 예술작품도 있어서 찾아보는 즐거움이 있음.,0,19,"['산책', '하다', '좋다', '곳곳', '예술', '작품', '도', '찾아보다', '즐거움']"
"한강에 몇안되는 낚시가능구역
전체적으로 깨끗하게 관리되어있고
곳곳의 쓰레기통과 화장실이 구비되어있어 편의성이좋다",0,20,"['한강', '안되다', '낚시', '가능', '구역', '\r\n', '전체', '적', '깨끗하다', '관리', '되어다', '\r\n', '곳곳', '쓰레기통', '화장실', '구비', '되어다', '편의', '성', '좋다']"
