리뷰,rep,index,Processing,평가
송파둘레길 21km를 완주 중에 만나는 한강공원 구간은 주말아침에도 언제나 사람도 많고 활기가 넘친다!,0,0,"['송파', '둘레길', '21', 'km', '완주', '중', '만나다', '한강', '공원', '구간', '은', '주말', '아침', '에도', '언제나', '사람', '도', '많다', '활기', '넘치다']",긍정
"지하철이나 자동차, 자전거로 접근하기 쉬운, 넓은 잔디밭이 있는 잠실쪽 강변공원입니다.",0,1,"['지하철', '이나', '자동차', '자전거', '접근', '하다', '쉽다', '넓다', '잔디밭', '잠실', '쪽', '강변', '공원', '이다']",긍정
"자전거길을 통해 어디를 가든 지나가게 되는, 중간 기착점같은 곳.",1,1,"['자전거', '길', '통해', '가든', '지나가다', '되다', '중간', '기', '착점', '곳']",긍정
"물론 나같은 배나온 중년아저씨에겐 자주 자전거여행의 최종 목적지가 되지만... ㅋㅋ
편의점이 여러 군데 있어서 편리함.",2,1,"['배', '나오다', '중년', '아저씨', '에겐', '자주', '자전거여행', '최종', '목적지', '되다', 'ㅋㅋ', '\r\n', '편의점', '여러', '군데', '편리하다']",긍정
인스턴트 커피 한잔하며 한강멍하는 거 추천드립니다.,3,1,"['인스턴트', '커피', '한잔', '하다', '한강', '멍하다', '거', '추천', '드리다']",긍정
가을이라 시원한 바람 맞으며 라이딩 또는 소풍하기 좋고 야경 맛집 입니다.,0,2,"['가을', '이라', '시원하다', '바람', '맞다', '라이딩', '또는', '소풍', '하다', '좋다', '야경', '맛집', '이다']",긍정
"2023년
여전히 공사 중인 곳이 많네요.
-------------------------------------------------",0,3,"['2023년', '\r\n', '여전하다', '공사', '중인', '곳', '많다', '\r\n', '-------------------------------------------------']",긍정
"-
2022년 한강 안전펜스의 높이가 높아짐.",1,3,"['\r\n', '2022년', '한강', '안전', '펜스', '높이', '높아지다']",긍정
"사진찍는데 방해됨.
------------------------------------------------",2,3,"['사진', '찍다', '방해', '되다', '\r\n', '------------------------------------------------']",부정
"-
- 2021년 여름 현재  잠실 5단지 북쪽 한강공원은 공사중.",3,3,"['\r\n', '2021년', '여름', '현재', '잠실', '북쪽', '한강', '공원', '은', '공사', '중']",긍정
"남산타워까지 주~~욱 찍을수 있는 좋은 사진 포인트인데...
------------------------------------------------",4,3,"['남산타워', '주', '~~', '욱', '찍다', '좋다', '사진', '포인트', '인데', '\r\n', '------------------------------------------------']",부정
"-
- 잠실에 살때도 자주갔고
- 잠실에 안살아도 가끔씩 갑니다.",5,3,"['\r\n', '잠실', '살때', '도', '자주', '가다', '\r\n', '잠실', '안', '살다', '가끔', '씩', '가다']",긍정
"- 사진 찍기에도 좋고
- 매점 많아서 편리하고
- 공짜고
- 녹지도 많습니다.",6,3,"['사진', '찍기', '에도', '좋다', '\r\n', '매점', '많다', '편리하다', '\r\n', '공짜', '고', '\r\n', '녹지', '도', '많다']",긍정
- 화장실도 잘되어 있습니다.,7,3,"['화장실', '도', '잘', '되어다']",긍정
어린이날에 모처럼 한강에서 바람막이 펴놓고 쉬다왔습니다.,0,4,"['어린이날', '모처럼', '한강', '바람막이', '펴다', '쉬', '다', '오다']",긍정
외부에서 마스크 벗어도 되는 상황이어서 뭔가 오랜만에 숨을 크게 쉴 수 있었네요.,1,4,"['외부', '마스크', '벗다', '되다', '상황', '뭔가', '오랜', '만', '숨', '크게', '쉬다', '수']",긍정
서울주변에 한강 시민공원이 있다는건 참 행복한 일인 것 같습니다.,2,4,"['서', '울', '주변', '한강', '시', '민공', '원', '차다', '행복하다', '일인']",긍정
"많은 가족, 친구들, 연인들이 와서 즐거운 한 때를 보내는 일상의 모습을보니 마음이 참 흐뭇했네요.",3,4,"['많다', '가족', '친구', '연인', '오다', '즐겁다', '하다', '보내다', '일상', '모습', '보다', '마음', '차다', '흐뭇하다']",긍정
"어째껀 일단 나무밑에 자리를 잡으려면 무조껀 9시 이전에는 가셔야 나름 좋은자리 확보가능할 것 같고, 텐트는 2미터이상 가져가면 단속한다고 하니 주의하시기를요.",4,4,"['어째껀', '나무', '밑', '자리', '잡다', '무조', '껀', '9시', '이전', '에는', '갈다', '나름', '좋다', '자리', '확보', '가능하다', '텐트', '는', '미터', '가져가다', '단속', '한', '다', '고', '하니', '주의', '하다', '기르다']",부정
편의점과 화장실은 줄이 매우 기니 여유있게 가시면 좋습니다.,5,4,"['편의점', '화장실', '은', '줄이다', '매우', '기니', '여유', '가시', '면', '좋다']",긍정
암튼 모처럼의 한강나들이 매우 좋았습니다.,6,4,"['암튼', '모처럼', '한강', '나들이', '매우', '좋다']",긍정
강추~! ^^,7,4,"['강추', '~!', '^^']",긍정
아파트 북문으로 나가면 바로 잠실공원이여서 하루에 몇번도 가고 못가도 일주일에 두세번은 가는 한강공원 사시사철 다른 정취와 휴식 힐링에 필요한 공원 벤치 꽃과 나무 재배하는 식물들까지 일상에 힐링을 준다,0,5,"['아파트', '북문', '나가다', '잠실', '공원', '여서', '하루', '몇번', '도', '가다', '못', '가다', '일주일', '두세', '번은', '가다', '한강', '공원', '사시', '사철', '정취', '휴식', '힐링', '필요하다', '공원', '벤치', '꽃', '나무', '재배', '하다', '식물', '일상', '힐링', '주다']",긍정
"잠실 한강 공원

한강 주변에 위치하고 있는 예쁜 공간
지하철을 타고 이동하면서 내려다보는 풍경이 예쁘게 보이고 정박한 보트(?), 유람선과 멀리 보이는 롯데타워와 함께 조화를 이룬다.",0,6,"['잠실', '한강', '공원', '\r\n\r\n', '한강', '주변', '위치', '하고', '예쁘다', '공간', '\r\n', '지하철', '타고', '이동', '하다', '내려다보다', '풍경', '예쁘다', '보이', '고', '정박', '한', '보트', '(?),', '유람선', '멀리', '보이다', '롯데', '타워', '조화', '이루다']",긍정
"지하철, 버스 등 대중교통으로 접근성이 좋아 일반 시민들이 즐겨 찾는 명소이며, 다양한 행사가 이어져 볼거리와 즐길 거리가 풍부한 휴식공간이다.",1,6,"['지하철', '버스', '대중교통', '접근성', '좋다', '일반', '시민', '즐기다', '찾다', '명소', '이며', '다양하다', '행사', '이어지다', '볼거리', '즐기다', '거리', '풍부하다', '휴식', '공간', '이다']",긍정
계절마다 다르게 보이는 볼거리가 제공되고 있다.,2,6,"['계절', '마다', '다르다', '보이다', '볼거리', '제공', '되다']",긍정
서울은 불편하기도 하지만 나름 공원과 볼거리가 있어,3,6,"['서울', '은', '불편하다', '나름', '공원', '볼거리']",부정
나름 좋기도 하다.,4,6,"['나름', '좋다', '기도', '하다']",긍정
봄가을에는 마라톤과 꽃길이있어 더욱좋다.,5,6,"['보다', '마라톤', '꽃', '길이', '더욱', '좋다']",긍정
대한민국에는 한강이 있다.,0,7,"['대한민국', '에는', '한강']",부정
매일 매일 달라지는 한강의 뷰!,1,7,"['매일', '매일', '달라지다', '한강', '뷰']",긍정
"혹자는 삭막한 서울이라 하지만
하늘과 바람과 구름이 있고
넉넉한 강이 있다.",2,7,"['혹', '는', '삭막하다', '서울', '이라', '\r\n', '하늘', '바람', '구름', '\r\n', '넉넉하다', '강']",긍정
"아니 호수가
있다.",3,7,"['아니다', '호수', '\r\n']",긍정
"때로는  잔잔한 파도가 이는
바다와도 같다.",4,7,"['때로는', '잔잔하다', '파도', '이다', '\r\n', '바다', '와도']",긍정
"한강을 걷다보면 온갖 상념에
잦아든다.",5,7,"['한강', '걷다', '보다', '온갖', '상념', '\r\n', '잦다', '들다']",긍정
"때로는 낭만적이고
때로는 애상에 젖어든다.",6,7,"['때로는', '낭만', '적', '이고', '\r\n', '때로는', '애', '상', '젖다', '들다']",긍정
그리고 꿈과 희망에 젖기도 한다.,7,7,"['꿈', '희망', '젖다', '하다']",긍정
"답답할때 산도 좋지만 한강도
운치가 있다.",8,7,"['답답하다', '산도', '좋다', '한강', '도', '\r\n', '운치']",긍정
동네에서 조금걸어가면 한강공원이라 강아지와 산책하러 가끔가요.,0,8,"['동네', '걸어가다', '한강', '공원', '이라', '강아지', '산책', '하다', '가끔', '가요']",부정
공원에 편의점도 일정한간격을두고 있고  쉴수있는의자와 꽃이있는정원.잠실선착장 한강시민공원.,1,8,"['공원', '편의점', '도', '일정하다', '간격', '두다', '쉬다', '의자', '꽃', '정원', '잠실', '선착장', '한강', '시민', '공원']",긍정
산책로.,2,8,['산책로'],부정
자전거길.다있어 좋아요.,3,8,"['자전거', '길', '다', '좋다']",긍정
자전거 타고 가면 쉬기 좋은 곳이에요.,0,9,"['자전거', '타고', '가면', '쉬다', '좋다', '곳', '이에요']",긍정
편의점도 있고 잔디위에 올라갈 수 있어서 가볍게 쉴 수 있어요.,1,9,"['편의점', '도', '잔디', '위', '올라가다', '수', '가볍다', '쉬다', '수']",긍정
확트인 전경이 멋있어요.,2,9,"['확', '트이다', '전경', '멋있다']",긍정
여름밤에 산책하기 최고의 장소입니다.,0,10,"['여름밤', '산책', '하다', '최고', '장소', '이다']",긍정
시원한 강바람과 잠실대교 하부의 예쁜  조명 바이크족들도 생생 달리고 걷는  도보족들과 구분되있어 안전합니다.,1,10,"['시원하다', '강바람', '잠실대교', '하부', '예쁘다', '조명', '바이크', '족', '도', '생생', '달리', '고', '걷다', '도보', '족', '구분', '되다', '안전하다']",긍정
