,리뷰,rep,index
0,"반포한강공원은 대한민국 서울특별시 서초구에 위치한 한강의 아름다운 물가에 펼쳐진 공원으로, 시민들의 휴식처이자 다양한 문화와 레크리에이션 활동의 중심지로 알려져 있다.",0,0
1,"이 공원은 서울의 중심부에 위치하면서도 수많은 나무와 넓은 잔디밭, 그리고 한강의 아름다운 경치를 제공하여 도시의 번잡함에서 벗어나 조용한 휴식을 찾는 이들에게 인기가 많다.",1,0
2,"반포한강공원은 크게 일반적인 휴식 공간과 서래섬, 반포대교 달빛무지개 분수 등의 주요 시설로 구성되어 있다.

서래섬은 인공섬으로, 원래는 물류 운송을 위한 목적으로 만들어졌으나 현재는 다양한 식물과 나무, 그리고 휴식을 즐기기 위한 시설로 재탄생하였다.",2,0
3,"이곳은 아름다운 정원과 산책로, 그리고 조용한 카페 등으로 구성되어 있어 방문객들에게 평온한 휴식의 시간을 제공한다.",3,0
4,반포대교 달빛무지개 분수는 세계에서 가장 긴 다리 분수로 국내외 관광객들로부터 큰 사랑을 받고 있다.,4,0
5,"일몰 후 특히 밤에는 다양한 색상의 LED 조명과 함께 분수가 무지개색으로 물을 뿌려, 환상적인 뷰를 만들어낸다.",5,0
6,이 풍경은 한강의 밤 풍경을 대표하는 명소 중 하나로 꼽힌다.,6,0
7,"또한, 반포한강공원에서는 다양한 행사와 이벤트가 주기적으로 열린다.",7,0
8,"음악회, 플리마켓, 축제 등 다양한 행사가 계절마다 진행되어 방문객들에게 즐거움을 선사한다.",8,0
9,레크리에이션 활동도 다양하다.,9,0
10,"자전거 타기, 인라인 스케이팅, 피크닉 등 다양한 활동을 즐길 수 있으며, 한강을 따라 잘 조성된 자전거 도로는 도심 속에서의 자연을 체험하게 해준다.",10,0
11,"요약하면, 반포한강공원은 서울의 중심부에 위치하면서도 자연의 아름다움과 도시의 활기를 동시에 느낄 수 있는 장소다.",11,0
12,"그곳의 아름다운 경치, 다양한 휴식 시설과 이벤트, 그리고 한강의 여유로운 분위기는 방문객들에게 특별한 경험을 선사한다.",12,0
0,여기 너무 좋아요.,0,1
1,저녁 7시부터 9시 까지 수시로 음악과 분수가 어우러져 아주 장관 입니다.,1,1
2,고속버스터미널 하차 8-1번 출구로 나와서 커피나 피자 치맥 사들고 가시면 아주 대박 입니다 .,2,1
0,간단히 먹을 것을 들고 쉬러 오기 정말 좋아요.,0,2
1,"분수쇼가 펼쳐지는 시간대에 가면 경치가 아름답고, 멍때리기도 좋아요.",1,2
2,"친구, 연인, 아니면 혼자오든 늘 좋은 장소랍니다.",2,2
3,그렇지만 주차하긴 너무 힘든 것 같아요.,3,2
4,"특히 날씨가 선선한 날, 주말 저녁 등 인파가 많은 시간대에는 주차장에 진입하는 것조차 어려울 정도로 사람이 많아서 앉을 자리도 부족하고, 편의점은 줄이 무지막지하게 길어요.",4,2
5,"사실 이 정도로 사람이 많으면 많이 북적이고 씨끄러워요,,",5,2
0,학생시절 근처에 살면서 기분전환이 필요할때마다 방문했던 곳이여서 저한테 뜻깊은 장소입니다.,0,3
1,잠원역이나 고속터미널역에서 도보 20~30분정도 소요되는 좋은 위치에 자리잡고 있습니다.,1,3
2,"여러 신나는 노래에 맞춰 춤추는 듯한 무지개분수, 저 멀리 보이는 남산타워, 광활한 한강을 가까이 즐길수 있는 뷰, 놀러온 듯한 느낌을 확실히 주는 분위기 등 매우매우 좋은 장소입니다.",2,3
3,돗자리를 사거나 대여해서 자리를 잡고 맛있는 음식을 먹으며 여유롭게 즐길 수도 있습니다.,3,3
4,외국인 친구가 밤에 방문해볼만한 서울 명소를 추천해달라고 한다면 단연 남산타워와 반포한강공원 이 2가지를 꼽을 것 같습니다.,4,3
5,"현재 무지개분수는 19:30~ 19:50, 20:00~20:20, 20:30~20:50, 21:00~21:20 시간대로 운영되고 있습니다.",5,3
6,치킨배달을 포함한 배달음식을 시키면 금방 오기 때문에 맛있는 음식들과 함께 반포대교의 분위기를 느껴보세요~,6,3
7,피크닉 구역돗자리를 깔고 자유롭게 즐길 수 있습니다,7,3
0,딸하고 반포공원에서 나비연 날리고 걷기도하고 음료 마시고 놀고 이리저리 놀았네요.,0,4
1,"연인들, 가족들, 모임등 달리가모임등 사람들이 많네요",1,4
0,고래를 보러 갔어요,0,5
1,"다들 돗자리 무릎담요를 챙겨와서
고래를 보면서 치맥도 하시고
누워서 하늘도 보시고
여유있고 좋아보였어요",1,5
2,다음에 제대로 챙겨오려고요,2,5
0,겨울이라 아직 무지개분수는 작동하지 않지만 그래도 조용하게 산책할 수 있어서 좋았습니다,0,6
