,리뷰,rep,index
0,어제 낮에 고기를 먹고나서 언니와 뚝섬 한강공원으로 산책을 갔어요.,0,0
1,"가다가 만난 17살짜리 할아버지 강아지도 너무 귀엽고, 이쁜 토끼들도 만났어요. ^^",1,0
2,"오른쪽으로 롯데 월드타워 보니
반갑네요.",2,0
3,"날씨가 따뜻해서 물멍하기도 좋고, 반짝이는 윤슬이 너무 예뻤어요. ✨️^^",3,0
4,"반려견 동반 환경반겨견을 데리고 나와 산책하기 편리하고, 강아지들이 좋아해요.",4,0
0,오랜만에 방문한 뚝섬 한강공원!,0,1
1,연휴라 사람이 엄청 많았어요.,1,1
2,"가벼운 돗자리나 손수건, 썬글라스 챙기면 좋겠네요.",2,1
3,"근처에서 텐트, 돗자리, 보드게임 등 렌트할 수 있는 업체가 있어서 빈손으로 오더라도 한강에서의 시간을 즐겁게 보내실 수 있을 것 같아요",3,1
4,:),4,1
0,대한치과의사협회 주관 스마일런페스티벌 행사 참여로 갔었는데 코로나 전에는 퇴근 후 피크닉으로 왔었던 기억이 있네요.,0,2
1,서울에 이런 곳이 있는 건 참 좋은 것 같습니다.  ^^,1,2
0,"여름엔 수영장.피크닉존등 운영하고
이후엔 강아지 수영장도 운영했어요.",0,3
1,다양한 먹거리 배달.,1,3
2,"피크닉품목 대여하는곳도 있고 편의점도 잘갖춰져 있고 자전거타고 트레킹하고
수영하고..",2,3
3,한강공원은 멋진곳입니다.,3,3
4,놀이터인공암벽시설.,4,3
5,도서.,5,3
6,공연등  수시로 열립니다,6,3
7,화장실주변곳곳에 시설이 잘갖춰져 있어요,7,3
8,반려견 동반 환경산책하기 좋은 장소임피크닉 구역배달 피크닉세트 임대등 환경이 잘갖춰져 있어요,8,3
0,드론쇼 보고 왔는데 예쁘고 좋았지만 많은 인파를 뚫고 가기엔 좀 아쉬웠구요.,0,4
1,주변 시설이나 놀거리는 여의도 한강공원이 좀 더 나은 것 같습니다.,1,4
2,건대가 가까워서 한강 갔다가 놀러 가기 좋아요,2,4
0,뚝섬 한강공원에서 드론 라이트 쇼,0,5
1,보고 왔어요,1,5
2,"세상에 이렇게 멋진 드론 라이트 쇼를 보게 되다니
정말 너무너무 좋았던거 같아요",2,5
3,뚝섬 한강공원에서 좋은 추억 남기고 왔어요,3,5
0,친구들과 함께 당일치기로 밤까지 시간을 함께 보냈습니다!,0,6
1,잠실과 여의도에서 행사가 있어서 밤에는 간접적으로 불꽃놀이도 구경할 수 있었어요,1,6
2,"배달존이 있어 배달로 음식을 시켜먹을 수 있지만, 미리 맛집을 찾아서 족발과 막국수를 준비해갔고 서로 집에서 간식들도 바리바리 싸들고 왔습니다.",2,6
3,물론 쓰레기도 깨끗하게 치웠습니다!,3,6
4,추천하는 장소는 매점 근처입니다!,4,6
5,"편의점이 근처에 있어서 필요할때 물건을 바로바로 수급할 수 있었고, 화장실과 흡연실도 그리 멀지 않고 가까워서 자주 가거나 필요하시다면 괜찮다고 생각합니다.",5,6
6,화장실남자 화장실 문을 열었으면 제발 닫고 들어와주세요,6,6
0,어제 다녀왔는데 자벌레 휴관 23.8.1~23.12.31까지!,0,7
1,입구가 양쪽 끝에랑 중간에 두군데 엘리베이터가 있다.,1,7
2,안쪽에는 전시와 도서관과 카페가 있다피크닉 구역… 자세히,2,7
