,리뷰,rep,index
0,한강 하구에 위치한 공원으로 공원내 생태 습지가 함께하고 있어 일반 쉼터공원으로 서의 역할 뿐 만아니라 생태습지공원으로 도 존재가치가 큰곳이다.,0,0
1,또한 맞은 편에 행주산성이 있고 북동쪽 으로는 북한산이 한눈에 들어오는 전망이 좋은 곳이며 자전거도로가 연결되어 바이크 동호인들이 사랑하는 곳이기도 하다,1,0
0,김포에서 출발하여 방화대교 / 마곡(철도)대교/가양대교/ 미 개통대교 / 성산대교 그리고 선유도 까지 도보(4월에만 세번째) 하면서 여의도 방향의 국회/쌍둥이 빌딩 그리고 반대편 난지도 하늘공원 등 보면서 그간 서울/한국의 발전과 한강기적의 잠시나미 느껴고 머릿속엔 주마등 처럼 많은 그림이 스쳐간다..,0,1
1,나의 공적도 여기 어디엔가 있을거 같기도 하고..,1,1
2,제3한강교(반포대교) 라는 대중음악도 생각해보고..,2,1
3,우리 대한민국 ..,3,1
4,하루빨리 선진 강대국 반열에 올라야 하는데.. 빌어도본다..,4,1
5,담엔 자전거로 잠실대교까지 가봐야지 하면서 발길은 돌린다.,5,1
0,가양나들목을 나와 한강변 산책로를 따라 야경이 무척 아름다운 방화대교 주변까지 갔다왔구요.,0,2
1,특히 방화대교 남단 바로옆에 있는 투금탄이야기 조형물과 전설은 우리에게 큰 교훈이 되고 있습니다.,1,2
0,강서 한강공원  늘 푸른물결 아름답고요,0,3
1,많은 사람들이 자전거 행열 아름다워요,1,3
2,생태공뭔에는 고란이가 놀고 있네요,2,3
3,가끔 강태공들이 낚시른 즐기고 있네요,3,3
4,즐겁고 아름다운하루,4,3
0,뭔가 좀 없지만 넓고 쾌적해서 좋아요,0,4
0,날씨 좋은날 그늘막 하나 가지고 바람쐬면서 휴식하기 좋아요.,0,5
1,잔디밭에 그늘막치고 누워있음,1,5
2,캠핑온것같은 느낌이 드네요.,2,5
3,한강까지는 쪼금 걸어나가면 볼 수 있어요.,3,5
4,나무들이 아직 울창하지않아 그늘이 많지는 않지만...  제가 간 날은 날이 너무 좋았네요.,4,5
5,오전엔 선선한 바람도 불고...,5,5
6,오후엔 쫌 더웠어요.,6,5
7,아무 준비없이 가서 심심하더라구요..,7,5
8,그래서 일찍  접었는데 다음엔 책이라도 가져가서 시간을 보내야 겠어요.,8,5
9,주차장도 근처에 있어 접근하긴 좋아요.,9,5
0,나름 괜찮은데...,0,6
1,시골길 같구...,1,6
2,그런데 옆에 올림픽대로 소리가 너무 커서 새들도 날아갈거 같아요.,2,6
0,강서한강공원 걷지 않으면 볼 수 없는 풍경들,0,7
0,시원하고 강바람 완전 좋아요.^^♡,0,8
0,생태보전이 잘 되어있는 편이고 사람이 많이 붐비지 않아서 좋다,0,9
0,모래놀이 그늘 나들이 촤고..,0,10
1,주차장 좋고 화장실좋은 넓은 공간..,1,10
2,한강!!난지2,2,10
0,즐겁게 나들이 할 수 있는 곳 시민 공간 좋아요~,0,11
1,It is the place to hangout happily.,1,11
2,For people~,2,11
0,전망대도 있고 둘레길도 매우잘만듬,0,12
0,"강서한강공원 풍경, 조류관찰대",0,13
0,도심속 바쁜 생활중에 40분의 여유~ 참 좋았습니다!!!,0,14
0,강서구 쪽의 방화대교 옆에서 부터 행주대교 근처까지 쭉 길게 이어진 강서습지생태공원.,0,15
1,"여러종류의 숲풀과 수양버들이 멋지게 늘어져 있고, 여러종류의 새소리가 아름답게 들리는 곳으로 한강변으로 쭉 늘어진 생태공원길을 한번쯤 걸어보는 것도 아주 유익한 도움이 될 것입니다.",1,15
0,시원한  바람 과 눈위에 탁티는 하늘 또잘정비된  시설과 목초는 찌든 도시인 들이 쉬면서  가벼운 운동도하고  마음을  다스리기에 적절한 곳이기도 하다.,0,16
0,넘 좋았어요~~~^^,0,17
0,강서습지생태공원은 서울 방화대교 남쪽 끝에서 행주대교 남쪽 끝 사이의 한강 둔치에 있는 생태공원이다.,0,18
1,"담수지와 저습지 등을 인공적으로 조성하고 습생, 수생식물을 심었다.",1,18
2,갈대밭과 버드나무숲이 어우러져 있으며 탐방로 두 곳과 철새 조망대가 있다.,2,18
0,평일에는 주차가 여유롭고 사람이 적음.,0,19
1,매점이나 편의점이 없어서 불편함.,1,19
2,정비를 위해 출입금지된 산책로가 많음.,2,19
0,아이와 놀러갔는데 좋습니다~,0,20
1,다만 주차장에서 공원까지 거리가 좀 있어요~,1,20
0,나름 잘 만들었네요,0,21
1,자전거도로.,1,21
2,산책길 수변공원도 분리하고 화장실도 괜찮고,2,21
0,서울서북부 지역에위치하며 개화산을끼고 강건너는 정발산행주산성이고 경인아래뱃길 출발지이기도하며 진경산수화의대가인 겸재선생의 진경산수회의 소재가되어있고 관계된그림도 여러점있다,0,22
0,강서에 있는 한강공원이라 매우 한적하고 차가 없으면 못오는 곳이라 장사꾼들이 몰리지 않는 곳이다.,0,23
1,다만 조류 독감이 한바탕 쓸고 가면 생태관찰구역은 출입이 차단되니 유의할 것.,1,23
0,조용하고 사람들이 너무 많지도 않다.,0,24
1,도심 속 공원 느낌 보다는 정말 교외 지역으로 온 느낌을 준다,1,24
0,자전거 타고 국토종주의 꿈을 꾸다 가양대교를 찍고 돌아서는.......,0,25
1,우쨌든 좋습니다~~,1,25
0,겨울석양이 아름다운곳,0,26
0,편의점 없어요.,0,27
1,아직 정비되지 않은 느낌. 양화지구나 난지지구가 나아요.,1,27
0,정말 아름답게 잘 정리해 놓아서 좋았습니다.,0,28
1,일부 데크가 낡아서 보수가 시급한 상태입니다.,1,28
0,아주좋와요,0,29
0,별보기 좋아요.,0,30
1,모기는 무섭지만 '게'도 볼수 있답니다.,1,30
0,조용하고 휴식을 하기 좋은곳 입니다 .,0,31
0,경치는 좋은데 쉴곳이 좀 더 있었으면 좋겠어요,0,32
0,강서구에 있는 한강습지,0,33
0,라이딩 하시면 들르시게 도죠!,0,34
1,근데 모기가 많으니!!,1,34
2,낮에 다니시길‥,2,34
0,아이 데리고 자연체험하기 좋아요.,0,35
0,주변에 게가 많다ㄷㄷ 자전거들이 즈려밟고 간다,0,36
1,나도ㅈ그랬고,1,36
0,한강변 산책로,0,37
0,새벽 조깅하기 죠,0,38
1,흠 고라니 가끔출몰하니까 조심,1,38
