,리뷰,rep,index
0,공영주차장이면서 망원시장에 도보로 15분 정도면 가능해서 괜찮은 장소 입니다.,0,0
1,주변에 편의점 2개와 스타벅스 서브웨이 맟 바른통닭이 있네요,1,0
0,선선한 가을에 간식거리 사들고 가면 기가막힌 추억의 장소가 되네요.,0,1
1,바람이 시원하게 불고 야경이 좋아 최근들어 최고의 여행지였어요.,1,1
2,1층에는 편의점이 있고 2층에는 스타벅스가 있어 간식거리를 구입하지 못했어도 충분히 즐길거리가 있는 곳이에요.,2,1
3,아이가 있다면 오리배를 타면 스릴이 최고입니다.,3,1
4,"30분에 25,000원으로 생각보다 저렴하게 놀았습니다.",4,1
5,야경장소로 강력 추천합니다!,5,1
6,연예인(개인적으로 놀러오신듯)도 만날 수 있는 명소였어요.^^,6,1
0,전망좋고 산책하기 좋다.,0,2
1,접근성이 좋고 주차장이 넓고 가격도 저렴하다.,1,2
2,"스타벅스 망원한강공원점(?)이 있고, 각종 편의시설이 있다.",2,2
0,한강변에 앉아서 성산대교나 강을 보는것도 좋고 편의시설이 있으니 먹고 마시고가 즐거운곳이에요,0,3
0,"주차, 식사, 끽다, 산책 등 다양한 여가 활동이 가능한 시민공원.",0,4
1,저녁 때에는 성산대교 너머 해넘이와 노을이 멋집니다.,1,4
0,"떡볶이 먹고, 월드컵 경기장역 1번출구쪽으로 내려서 걸어갔어요.",0,5
1,"편의점에서 맥주한캔씩 마시면서
대화하니 선선하고, 너무 좋았어요.",1,5
2,걷기에 좋은 날씨예요. ㅎㅎ,2,5
3,"반려견 동반 환경반려견을 데리고, 산책하기 좋아요.",3,5
4,피크닉 구역잔디에 텐트도 많이 쳤구요.,4,5
5,"돗자리 깔고, 라면에 맥주 or
배달음식 시켜서 먹어도 좋을거
같아요.",5,5
0,합정에서 가까운 한강공원 근처에는 음식점 돗자리 원터치 텐트 담요 빌리는 곳이 구비되어 있고 원터치는 2면인가 3면을 열어놔야하고 저녁 7시 이후는 텐트는 접어야한다.,0,6
1,음식 배달은 당연히 되면 여의도 한강공원보다 가까운 사람들은 여기를 추천한다,1,6
2,둘 다 똑같이 한강이 아름답다.,2,6
3,화장실공용화장실 있음반려견 동반 환경강아지 데려올 수 있음피크닉 구역텐트존 따로 있는 걸로 아는데 텐트 핀 사람 많으면 거기다,3,6
0,"잠깐 들린거라 편의점에서 한강라면 먹으면서 대화한게 전부지만
돗자리 펴고 도란도란 얘기하다가 책도 읽고 배고파지면 편의점에서 한강라면 먹고 치킨 시켜서 맥주 한잔해도 좋을거 같아요..✨",0,7
1,낭만 최고🏻…,1,7
0,멀리 sunset구경 갈 필요없어요.,0,8
1,"시원한 바람 솔솔, 석양 후 야경까지...
조용조용 이어폰으로 음악 준비해오세요~~",1,8
0,걸으면서 데이트 하기 좋네요,0,9
1,12월 25일 새벽 3시.주차비 내려했더니 무료네요?,1,9
2,2023.9.24. 새벽 12시.,2,9
3,"이 시간에 왠 사람들이 이리 많은건지ㅋㅋ
시원한 강 바람이 너무 좋았음.",3,9
0,현재는 공사중이라 막힌곳이 많지만 그래도 저녁에 운동하며 여유를 즐기기엔 좋습니다.,0,10
0,여의도만큼 넓진 않지만 망원만의 감성이 있음,0,11
1,집에서 가까운 곳이라 런닝하러 자주 가는데 너무너무 좋고 낭만있는 곳.,1,11
2,한강라면과 맥주의 조합은 최고.,2,11
3,치킨도 쉽게 가까운 곳에서 시켜먹을 수 있다.,3,11
0,텐트 설치 구역이 있어좋아요,0,12
1,망원 시장에  걸어서 가기 좋네요,1,12
2,"시장에서 호떡, 닭강정, 치킨, 김밥, 아이스크림마시멜로 맛있게 먹었습니다",2,12
3,아이들 좋아합니다,3,12
0,날씨가 화창하고 선선한 바람이 부는 날에 커피 한 잔 걸치며 산책하기 좋아요!,0,13
1,근처 마을버스 정류장도 있어 접근성도 좋아요.,1,13
0,망원한강공원 산책하기 좋으네요,0,14
1,2023년10월14일,1,14
0,망원동 맛집 방문차 왔다가 약속시간이 남아 잠시 방문하게 되었습니다.,0,15
1,"아직은 낮시간이라 그런지 사람이 많지는 않았지만, 운동하는 사람이며, 강아지랑 산책하는 사람, 한강을 보며 앉아있는 연인들까지 평화로운 공원의 모습입니다.",1,15
2,마포인트나루라는 건물이 수상에 깨끗하게 만들어져있어 스타벅스부터 편의점 음식점까지 영업중이네요.,2,15
0,요트가 있고 맛있는 음식점이있는 아름다운곳.,0,16
1,노을도 그만인곳.,1,16
0,얼마만에 한강인가?,0,17
1,"날도 좋고, 아둘도 좋아하고, 편의점음식도 맛있고.",1,17
2,주차비도 나름 저렴하고..,2,17
3,"평일임에도 불구하고 친구들, 가족들, 연인들...다들 행복해 보이네요~~^^",3,17
4,놀이터오랜만에 보는 모래(흙) 놀이터!!,4,17
0,멋진 야경을 가진 산책코스가 있네요.,0,18
1,스타벅스는 제가 가본 스탁벅스중 최대크기네요.,1,18
2,오랫만에 근처에 망원시장 구경도 하고 붕어빵도 사먹고 식사도 하고 좋은 하루였습니다.,2,18
0,한강공용주차장 바로 앞에 위치해있어 주차 편하고 뷰도 좋네요~,0,19
0,"스타벅스 한강공원망원점
갔었는데 음청좋았음
좋은사람들과함께라서",0,20
0,망원한강공원 스타벅스에서 바라보는 한강 뷰가 좋음,0,21
1,햇살이 강물에 비치는 모습이 멋있음,1,21
0,"봄날씨 같았던 날~~~~~♡
한강공원 산책했어요",0,22
1,"멋진 야경바라보며 한강라면에 맥주한캔
소소한 일상의 즐거움을 느끼고왔답니다",1,22
0,날씨좋은날 너무멋진곳입니다,0,23
1,스타벅스나 편의점라면 또는 다른음식점도 많아요,1,23
0,"이곳은 주변에 망원공원 월드컵
상암공원 하늘공원 노을공원등
여러개.",0,24
1,공원이.,1,24
2,잊어서  다양하게즐길수 있씀니다,2,24
0,오?,0,25
1,여느 한강공원중 깨끗하게 유지 관리가 되는거같다.,1,25
2,아이들도 모래놀이터가 있어서 좋아한다.,2,25
3,주차장 차는 많지만 질서는 잘지키는편.,3,25
4,배달 픽업장소의 GS25는 정말 남자사장인가?,4,25
5,불친절하다.,5,25
6,그래서 별이4개.,6,25
7,이마트24는 그나마 카운터 할아버지는 친절하다.,7,25
8,하지만 그 이마트24도 한강라면 끓이는 곳 관리하는 아저씨는 매와같은 눈으로 다른음식먹는 사람에게 눈치를준다.,8,25
9,일부러 거기서 라면이랑 이거저거사서 다른 도시락이랑 먹는데 뭐 그리 눈치늘 주는지...,9,25
10,한시간을 있는것도 아닌데 불편하다.,10,25
0,"저녁 가족들과,  친구와.",0,26
1,함께 나들이 하기 좋은 장소입니다.,1,26
2,저녁 일몰이 이쁘고.,2,26
3,늦겍까지 돗자리 피고 쉬기 좋습니다,3,26
0,한강자도 옆에 위치하여 일몰뷰는 장관입니다.,0,27
0,너무 번잡하지 않아 좋음.,0,28
1,군함 구경하는 곳도 있고 작은 공원도 있고 거닐고 자전거 타고 캠핑할 공간도 있고 너무 좋은 듯.,1,28
2,"(스벅, 서브웨이, 구스 피맥?집 생겨서 먹을거 많음)",2,28
0,서울함이 한강에 떠있어 아이와 함께 전투함 견학을 할수있어 도움이 많이된다.,0,29
1,"아이들이 좋아하는 전투함이라서, 내부를 호기심을 가지고 보느라 시간가는줄 모른다.",1,29
2,실내에 있는 잠수함도 볼수 있어서 흔히볼수 없는 체험을 할수 있다.,2,29
3,서울함 주변으로 아이들 놀이터와 쉴만한 공간이 많아서 사람들이 많이 찾는다.,3,29
4,근처 편의점에서는 끓는라면을 팔아서 라면을 드시는 분도 많음.,4,29
5,"하지만, 산책, 휴식, 자전거 라이딩, 아이와 놀이 등 여가를 즐기려고 나오는 사람들이 많아 사람이 너무많고, 유료 주차장도 있지만 차가 많아 주차도 힘들고 교통체증도 심하다.",5,29
0,시민들의 휴식 공간이지요.,0,30
1,마포인나루터에.,1,30
2,자전거 이용이 좀 불편하다는 것 외에는 괜찮은 편입니다,2,30
0,햇살 좋은날 자전거타기 제격인곳.,0,31
1,월드컵공원에 주차하고 자전거 빌려서 넘어가면 딱임.,1,31
2,공원자체는 월드컵공원이 더 쉬기 좋음.,2,31
0,힐링 최고 스팟.,0,32
1,커피한잔과 함께,1,32
0,도심 가까이에 숲과 강이 어우러진 휴식공간이 힐링공간이라고 생각됩니다.,0,33
1,코로나로 누적된적 피로감과 우울감 불안감 기타 일상 생활의 스트레스를 잠시나마 내려놓을 수 있는 곳을 찾고 있다면 추천드립니다.,1,33
2,"요즘 멀리가는것도 부담스럽고 소확행, 또는 잔잔한일상만으로 감사함을 느끼게 되는데요",2,33
3,도심 가까이에 이런곳이 있어서 너무나 좋고 행복하고 또한 감사하는 마음이 저절로 생깁니다.,3,33
4,낮은 낮대로 밤은 밤대로 열일하는 망원한강공원이네요.,4,33
5,새벽부터  많은 사람들의 발길을 반갑게 맞아주며 싱그러움을 가득안은 아름다움이 강을따라 넘실대다가 밤이되면 또 다른 도시의 모습을 보듬고 드넓은 온 강을 화려하게 수 놓아 일렁이는 물결따라 춤을추듯 반짝이는 불빛들이 어느새 말없이 넉을놓고 조용히 감상에 빠져들게 만드는 마성의 매력이 공존하는 곳입니다.,5,33
0,추워지기전 마지막 제트스키타고 야경보는 재미~,0,34
0,"가벼운 피크닉, 자전거타기, 조깅, 걷기 등 한강을 바라보며 즐길수있는곳입니다.",0,35
1,역시 사람은 자연과 함께 살아야하나봅니다.,1,35
2,근처에 살면서 30년동안 100번 넘게 간 것같습니다.,2,35
3,야경도 좋아요,3,35
0,밤과 낮 모두 좋아요.,0,36
0,"한강을 바로 옆에 두고 커피를 마신다는건 동네에서 마시는 것과는 분명한 차이가 있는듯~ 거기에 조금 더 다양한 빵이 있다는 것이 매우 좋고, 더불어 분위기 역시 구~웃^^",0,37
