,리뷰,rep,index
0,주말에는 형형색색 의 텐트가 쳐지고 푸른잔디 위에 뛰노는 아이들과 애완견의 모습을 지켜보면 평화롭고 여유롭게 삶을 즐기고 있다는 생각이 절로 듭니다  평일 이른아침 산책코스로 최고의 장소 입니다,0,0
0,가족들과 함께 방문하여 좋은 추억을 가질수 있는 멋진 장소 입니다.,0,1
1,매우 사람들이 많으나 편의점도 있고 편의시설이 잘 가꾸어져 있습니다.,1,1
0,더크라이그라운드 공연을 보고 왔어요.,0,2
1,스탠딩으로 나가서 봐도되고 잔디에 돗자리 깔고 앉아서 봐도 되고 넘 좋더라구요ㅎ,1,2
2,사람들도 매너들도 좋고 스탠딩에 서있다가 빠지는 사람들이 있으면 편히 들어가 즐기고 또 나와서 쉬면 뒷사람이 들어가고 신기하게 싸움하나 없더라구요.,2,2
3,아이가 전날에 공연보러 간다고해서 걱정 많았는데 다음 날 같이가서 직접 경험해보니 참 좋은 문화같습니다.,3,2
4,한가지 아쉬운 점은 음식인데요.,4,2
5,맛에 비해 음식이 넘 비싸요.,5,2
6,정말 맛없는 음식도 있어서 먹다버리기도 했어요..,6,2
0,갈대보러 친구들과 갔는데 4시에 도착해서 걸어 올라가면 정말 노을까지 딱이에요!!!!,0,3
1,그리고 이마트24 앞에서 사진찍으면 전체가 내려다 보여요~,1,3
0,잔디밭이 넓게 있고 한강변으로 자전거 도로도 잘 되어있다.,0,4
1,"BMX 연습장, 농구 연습장, 작은 축구 연습장이 있고 주말마다 공연도 있다.",1,4
2,매점 등 편의 시설이 없는 점은 아쉽다.,2,4
3,주차요금은 미리 정산기로 하는 것이 좋다.,3,4
0,서울에 이런 강과 이런 공원이 있다는 건 정말 큰 행운,0,5
0,1년에 한번은 락페스티벌을 즐기러 옵니다!,0,6
1,한강의 하늘과 음악 너무 좋네요!,1,6
0,강아지랑 산책하기 아주 좋아요,0,7
1,넓어서 사람들이 많이 있어도 붐비지 않음화장실구역마다 있어요,1,7
2,"반려견 동반 환경잔디밭, 평일에는 사람들이 거의 없어서 풀어놔도 될듯피크닉 구역주위를 둘러보면 모든곳이 피크닉 장소예요",2,7
0,우리은행 모모콘 콘서트 보고왔는데 주차가 헬 빠져나가는데 1시간 ㅋ,0,8
0,"도심속 한강변을 따라 산책 할 수 있는 곳, 캠핑장 생태공원 자전거도로 등 정비가 잘되어 있으며 특히 야경은 예술임",0,9
0,난지 한강공원 물놀이장 이번 주 일요일까지입니다.,0,10
1,너무 잘 놀고 왔어요.,1,10
2,꼭 가보세요.,2,10
3,부산 힐튼 아난티 인피니티 저리 가라네요,3,10
4,한강 인피니티 짱짱!!,4,10
0,넓고 탁트인 하늘과 땅이 참 시원한 곳 입니다.,0,11
1,미개통된 월드컵 대교 북단에서 강변북로 진입 램프를 통해 난지 한강 공원 주차장으로 들어 갔습니다.,1,11
2,이른 아침이라 그런지 주차장은 여유가 있었습니다.,2,11
3,넓은 잔디밭과 주변을 약 한시간 정도 산책 했는데 정말 많은 분들이 자전거  라이딩을 즐기시고 계셨고 애견과 함께 산책을 하시는 분들도 아주 많았습니다.,3,11
4,잔디 광장은 코로나로 인해 현재는 그늘막 등의 설치가 불가 했는데 팬데믹에서 좀 벗어나면 돗자리깔고 푸른하늘과 산들바람을 정말 시원하게 느낄 수 있겠습니다.,4,11
5,어서 그날이 오기를 고대합니다.,5,11
6,제가 산책한 곳은 하늘공원 앞쪽  잔디 광장으로 주말이면 푸드트럭  공간도 따로 마련되어 있었습니다.,6,11
7,예전 이쪽 근방에서 야외 락 페스티벌 하던 기억이 있네요.,7,11
8,맑고 청아한 날 한번쯤 다녀오실 만한 곳 입니다.,8,11
9,추천합니다.,9,11
0,"억새풀축제 넘쳐나는 인파로 어쩔 수 없이 찾게된 난지한강공원 중앙에 넓은 잔디밭에 텐트 그늘막 설치 가능하고, 놀이터 농구장 풋살장 등이 있고, 자전거도로 따라 한강둘레길 정말 좋았다 코스모스길은 환상~~ 억새풀 축제 못 간게 하나도 아쉽지 않았다",0,12
1,다만 이젠 주차장 요금을 일요일에도 낸다는 것 쓰레기를 많이 버려서 관리가 안되서 그런지 ㅠㅠ 다둥이카드 50% 할인 됩니다~~♥,1,12
0,썸데이페스티벌 보려고 다녀온건데 요즘 한강에 돗자리깔고 누워있기 너무 좋은날씨예요!!,0,13
0,주일을 맞아 가족과 방문했는데 마침 롹페스티벌도 하고있고 야구동호회에서 경기도 하고있고 주변 산책로엔 운동하러온 사람들과 쉬러온 사람들이 잘 어우러진 좋은곳 이더라구요,0,14
1,한강과 바로 맞다,1,14
2,아서 윈드서핑을 즐길수도 있고 강가로 가는길에 벤치도 있는 멋진곳입니다,2,14
3,산챡로엔 튤립도 심어있는데 이건 철마다 바뀌는것 같고 강가에서 네잎크로바를 15개나 찾아 기분 좋았던기억 이네요 ㅎㅎㅎ,3,14
0,난지한강공원 무더위에도 강바람이 부니 시원하네요,0,15
1,자전거타시는 분들이 많네요,1,15
2,그늘밑에 삼삼오오 모여서즐겁게 담소하시는 분들 오늘도 멋진하루 되셔요,2,15
0,매일은 갈 수없지만 틈나면 가볼려고 애쓰는 장소이다.,0,16
1,"1.불광천 출발해서 월드컵 경기장옆을 지나, 한강입구 그리곤 가양대교를 향하면 넓직한 잔디밭과 올려다보는 높은 다리를 지나는 차량들이 분주해 보인다.",1,16
2,일반 도로에서 보는 차량과는 전혀 다른 느낌의 살아있는 광경이다.,2,16
3,그 아래를 지나다보면 잘  다듬어진 넓은잔디밭과 훤히 트인 한강의 전망은 가슴을 설레게한다.,3,16
4,언듯 걷고싶은 충동에 신발을 벗어들고 맨발로 무한정 걸어도.,4,16
5,편안하다.,5,16
6,푹신한 잔디가.,6,16
7,온몸을 감싼다.,7,16
8,주변의 경치에 매료되어 지루할 틈도없고 아무생각도 없이 무작정 발걸음만 세면서 걷게된다.,8,16
0,공연보러 왔는데 하늘도 너무 이쁘고 날씨도 좋고 넓고 깨끗하고 공연도 잘 즐기고 갑니다!!,0,17
1,소중한 사람과 함께 오면 더 좋아요~,1,17
2,올 때는 당산에서 빨간색 광역버스 타고 오거나 근처 역에서 내려서 걸어오면 됩니다!,2,17
0,청춘페스티벌 공연 관람하러 처음 와봤어요.,0,18
1,다음에 기회가 되면 날씨 좋을 때 또 오고싶어요!,1,18
0,"좋아하는 운동, 가족단위 휴식에도 좋아요.",0,19
1,X-SPORTS공간으로 묘기를 위한 공간과 오프로드 경기장이 있고 한강 가족야외수영장도 있습니다.,1,19
2,그외 야구장이 2개 있어 야구동호인들이 야구 경기도 하더라구요.,2,19
3,여름에도 나무그늘 밑에는 시원해요.,3,19
4,바람이 많이 불어요.,4,19
5,단 일찍와서 좋은 자리를 선점해야 합니다.,5,19
6,처음 와봤지만 좋은 경험입니다.,6,19
7,다음번에는 아이들과 자전거타러 와야겠어요.,7,19
0,Any given sunday is the someday festival  비구름 걷힌 청명한 가을하늘 두 볼을 간지르는 따스한 햇살 옷깃을 저미는 차가운 바람 세상을 향한 젊은 울부짖음,0,20
1,"2016 the CRY Ground  불꽃축제, 억새축제, DMC페스티벌, MUCON Showcase, 서리풀페스티벌...",1,20
2,"온종일 서울시내 곳곳을 주차장으로 만드는 축제의 계절  아아, 서녘 끝 산비탈에 서서 지는 해를 바라보았는가, 그대.",2,20
0,라이딩중에 휴식하고 목 축이기좋은 장소입니다,0,21
0,일요일이라사람들이엄청많아요,0,22
0,탁트인 전망과 여러가지 부대시설들이 편리합니다.,0,23
1,무대공연장도 있구요.,1,23
0,"가양대교 북단에 있는 난지생태습지원 그리고 한강의 야경, 난지물놀이장, 난지한강공원등을 돌아봤는데 생태습지원이 아주 잘돼있네요.",0,24
0,하늘공원 건너편입니다.,0,25
1,탁 트인 전망이 좋습니다.,1,25
2,산책하거나 자전거를 타는 사람도 많았습니다.,2,25
3,불광천과 이어집니다.,3,25
0,교통너무불편함 택시를 타도 기사님들도 위치를 잘모름,0,26
1,매점도 급 사라져 아쉽다,1,26
0,2022년 락페스티벌 놀러갔는데 공원이 잘 꾸며있어서 피크닉하러 놀러가기 좋네요,0,27
0,- 시원하고 좋은 곳 - 문화 콘서트가 많이 열림,0,28
0,난지생태 습지원을지나 난지 한강공원에 ~ 푸르름이 더해가고 세월도 잘도가니  즐기며 살아보자구요~♡♡,0,29
0,오랜만에 갔는데 많이변했네요.,0,30
1,강을 따라 걸을 수 있는 산책로가 참 좋았네요~,1,30
0,난지공원이 예전보다 깨끗해졋고요 월드컵대교가 완공되고나서 아래쪽은 테니스장과 운동시설하고 그늘진 곳에서쉴수있는공간이  만들어져있네요,0,31
1,좋아졋슴니다.,1,31
2,캠핑장과 오전오후 고기구워 서 먹을수있는공간도있네요,2,31
3,한번쯤 와보시기 권합니다.,3,31
0,관리가 잘 되있습니다.,0,32
1,주차단속반이 별도로 있어서 주차장 말고는 가차없이 과태료 매깁니다.,1,32
0,캠핑장 시설도 잘되잇구 경치도 예쁘구 좋앗어요~,0,33
1,다만 꽃가루가 심하게 날려서 눈도 제대로 뜨고잇기 힘들고 음식위에도 계속 올라가서 많이 아쉬웟어요,1,33
0,"힙합페스티벌 콘서트, 토요일이었는데 비오고 바람 너무 쎄서 아쉬움,,",0,34
0,가을에 강변 선선한 바람과 함께 느긋한 날씨 즐기기 좋은 곳.,0,35
1,오전에 너무 늦지 않게 와서 자리를 선점하면 더욱 좋을 듯.,1,35
0,난지 한강공원 아들과 자전거로 도보로 자주 가고있습니다.,0,36
1,시민들의 편한 쉼터 아주좋아요,1,36
0,구름낀 하늘이 더 감성적이네요.,0,37
1,날아가는 비행기도 보입니다,1,37
0,"피그닉하기 좋고, 각종 페스티벌을 즐기기엔 최고.",0,38
1,페스티벌이 아니어도 바이크를 즐길 수 있는 곳이나 놀이터 등 여러 시설이 잘 되어있음!,1,38
0,매년 5월 그린플러그드관람을 위해 방문.,0,39
1,공원과 야구장 편의점이 가까워 매우 편하다.,1,39
2,화장실도 잘되어있다.,2,39
0,"간만에 산책했는데, 공원 수종도 다양하고 특히 조성된 수종 안내가  있어 나무를 찾아보게 되더라고요",0,40
1,호랑가시나무도 있고 ^^,1,40
0,4월은 어딜가나 예뻐요,0,41
1,상암동 메타세콰이어길과 연결되어 상큼한 초록을 볼수 있어요,1,41
2,난지도의 냄새가 가끔 나기는 해요,2,41
0,좋아하는 공간!,0,42
1,매일 자전거를 타거나 달려요,1,42
0,넓고 좋다 공연 보고 기분 좋았다 봄에 가면 좋다 대신 대중교통과는 거리가 멀다,0,43
0,주차장이 협소한게 흠이지만. 왠만한 해외 여행지보다 낫다.,0,44
1,파란하늘과 한강에서 불어오는 바람이 시원하다.,1,44
2,간단한 텐트와 의자를 가져오면 편하게 쉴 수 있다.,2,44
3,안에 미스트탑이 2개 있으며 라면을 끓여먹는 시설도 있다,3,44
4,다만 가격은 다소 비싼편.,4,44
5,음료와 과자등 간단한 먹을 거리는 사오는게 좋을것 같다,5,44
0,나무도 많고 숲도 많고 그 자리에 그늘막도 치고 쉴수도 있어서 매우 좋았다.,0,45
1,"다만 그늘막은 저녁7시가 되면 걷어야하고, 칠수있는 자리가 지정되어있어서 거기서만 해야한다.",1,45
2,그리고 아이들 놀 공간도 많고 여러가지 행사도 많이 열려서 볼거리도 많다,2,45
0,MTB 자전거 코스 있음..,0,46
1,도심에서 짧지만 즐길 수 있는 산악코스,1,46
0,휴식공간으로 더 할 나위없습니다,0,47
1,ㆍ 잔디광장도 좋고 산악 자전거 및 묘기 자전거 체험장도 인상 깊으며 특히 근처 하늘공원과 노을공원은 많은 시민들의 사랑을 받는 장소입니다ㆍ~,1,47
0,한산하고 깨끗한 공원입니다.,0,48
1,평일에 즐길때 진가를 발휘하는곳입니다,1,48
0,하늘공원 서울함공원 문화비축기지 한강등이 가까워 매우 좋습니다.,0,49
0,여러모로 산책도좋고 공연도하고 나들이가기좋은곳,0,50
0,썸페때문에 왔는데 교통상의 불편함이 여길 거부하는 이유도 있음.,0,51
0,매년 시설관리 상태나 안전한 방범 활동이 엄청난 발전을 거듭하고 있어요,0,52
1,시민 의식도 나날이 향상되고 있는거 같아요^^,1,52
0,원피스런인한강 전반적 사회분위기탓에 많은 사람들이 오지않았지만 물총놀이  하는 아이들은 너무 즐거웠지요,0,53
0,쾌적하고.,0,54
1,공원이 아주 멋쪄요,1,54
0,여러 편의시설등 좋아요,0,55
0,난지 익스트림장은 기물 비기너에게 최고의 공간이다.,0,56
0,친구들끼리 놀기도 좋고 데이트하기도 좋습니다,0,57
0,EDM등 음악공연들 보기좋네요.,0,58
1,연인들이 공원내에서 거닐며 대화하기에 좋은듯..,1,58
0,섬 페스티벌때문에 방문했는데 너무 좋아요,0,59
0,수양버들 이름모를 들꽃 봄  풍광 넘 좋아요,0,60
0,비가옴...,0,61
1,아주 많이 오는 그런 날이었음..,1,61
2,하필 이런 비오는 날에 나는 락페스티벌을 오게 된 거임...,2,61
3,그래도 우리의 락 스피릿은 죽지않아아아아 하며 왔는데 웬걸 다들 표정 죽어있음..,3,61
4,너도 죽고 나도 죽고 쟤도 죽고 스탭표정도 죽고... 아...,4,61
5,락페티는 비오는 날은 가는게 아니구나....,5,61
6,앉을때 앖음...,6,61
7,없다보니 계속 돌아다님 ...,7,61
8,걸음..,8,61
9,발아픔..,9,61
10,다리아픔...,10,61
11,칼로리소모...,11,61
12,운동... 다욧,12,61
13,개꿀??인정??,13,61
14,노인정 너무 힘들엇다구 ㅠㅠ다음에 날 좋을때 봐요 락페 ㅠㅠ 아 참고로 나무 큰거 하나 있으면 그밑에 자리 잡는거 추천 위에 가지에 우산 큰거 달고 아래 돗자리깔고 의자 깔고 저녁추움대비를 위한 옷챙기고 오늘 고수 봄 ㅋㅋ,14,61
0,정리정돈이 잘된 깨끗한 공원 사계절 꽃피고,0,62
0,한강변 나들이.,0,63
1,라이브음악도 있고...좋습니다.,1,63
0,깨끗하고 넓어요.,0,64
1,예전만큼은 아니지만 편의점 끓여먹는라면 맛있어요,1,64
0,자전거 타고 획 지나갑습닏ㄱㄴ,0,65
0,오프루트페스트 통해 방문했어요,0,66
1,힙합페스티발 열리기에 최고의 장소입니다,1,66
2,멋진 공연에 좋은 장소 열일하는 스탭들...,2,66
3,티켓값이 안아까움👍…,3,66
0,기분 좋게 많이 걸을 수 있어서 좋습니다,0,67
0,편하고 산책하기좋인요 특히 세쾨이아나무 산책로가 좋습니다,0,68
1,사진찍기좋은 포인트입니다,1,68
0,좋은데 뚜벅이들은 교통편이 너무안좋아서 힘들더라구요ㅜㅜ,0,69
0,평일 김밥 사가서 먹기 좋은 곳,0,70
0,"캠핑, 바베큐와 낮술, 한강보며 명상, 자전거타기, 연날리기, 잔디밭에 돗자리 깔고 낮잠, 요트타기, 윈드서핑 등을 즐길 수 있는 멋진 장소",0,71
0,억새밭과 강가 조용힘과 새들의 맑은 소리가 들리는 곳이네요,0,72
0,겨울빼고 다 좋은곳 사진찍기도 좋은곳,0,73
0,"좀 멀긴해도 가족끼리와서 놀기좋은 공간, 휴식하기 좋은공간..",0,74
1,화장실도 깨끗하고 풀냄새도 나고..,1,74
2,요즘이 딱 좋음,2,74
0,강바람 시원~ 풍력발전도 해요.,0,75
1,"난지야구장, 난지캠핑장 야외 수영장, 하늘공원까지 세트로 경험 가능",1,75
0,자연의 꽃도많고 사람들이 자전거잘탄다고 칭찬도 해줘서 기분도 좋았습니다,0,76
0,서울 도심에서 한적한 공원을 원하시는 분은 강추! 단.난지캠핑장 근처는 엄청 시끄럽습니다,0,77
0,자연을 가까이 접할 수 있으나 간간이 악취가 나네요.,0,78
0,자전거 타거나 산책하기 좋다.,0,79
1,겨울엔 엄청 추움.,1,79
0,"좋은 분위기의 공원, 공연있을때마다 활기차고 좋은 곳!",0,80
0,페스티발을 보고왔어요,0,81
0,주말 여유롭게 한강즐기기 좋은 곳,0,82
0,한강공원은 다녀,0,83
1,갈수록 *이득!!!,1,83
2,코스모스는 늘 피어있는듯~ 겨울만 빼고,2,83
0,멀리 강건너 시원합니다,0,84
0,가족단위로 나들이하기 좋아요..,0,85
0,사람도 많이 없고 좋아요,0,86
0,돗자리펴고 놀기 너무 좋았어요,0,87
0,"아이들과 뛰어놀기 좋다 그늘막텐트,돗자리등 나무아래 깔고 독서,게임등 하면좋습니다",0,88
1,간단한 간식거리 싸오셔도되고요~,1,88
2,"자전거,퀵보드,캐치볼 이런거하기고 좋아요",2,88
3,넓고 쾌적해서 좋다,3,88
4,"다만 주말에늦게오면 주차장자리, 나무아래 자리가없다 참고하시길~~ 그리고  무료로 개방하시오 주차비 빼주세요!",4,88
0,가족과 함께 봄소풍 장소로 좋아요~,0,89
0,좋은시설 저렴한비용!,0,90
0,한강조망과 강바람을 맞으며 지내는 이곳은 최고입니다.,0,91
1,그늘막 안에서의 달콤한 낮잠은 꿀맛입니다.,1,91
2,코로나로 마음대로 음식을 포장이든 배달이든 제대로 못하지만 그러면 어떤가요 그냥좋은걸 ㅎ 다들 바람쐬러 나오세요,2,91
3,여기말고도 한강은 다좋아요,3,91
0,"평화롭고, 조용하고, 편리하다.",0,92
1,"유아, 어린이등 온 가족이 함께 휴식하고, 즐길 수 있다.",1,92
2,"화장실도 깨끗하고, 공원도 잘 관리되고 있다.",2,92
3,"코로나 때문에 놀이터 등을 사용할 수 없지만, 넓은 잔디밭, 꽃밭, 깨끗한 개울, 연못 등이 있다,.",3,92
4,맹꽁이차도 운영한다.,4,92
5,우리가 가질 수 있는 행복한 선물 같은 공원이다.,5,92
0,골방에서 벗어나 누릴 수 있는 유일한 사치,0,93
0,그늘막 설치 시설이 매우 잘 되어 있고 이쁘다,0,94
0,평일 너무  좋다 여유롭고 평화롭다,0,95
0,그린플러그드 렛츠락 썸데이 등등 각종 뮤직페스티벌의 성지,0,96
0,서울에서 가장 자연적으로 편하게 쉴 수 있는 곳 자연보호,0,97
0,뒤로는 하늘공원을과 앞으로는 한강이 시원하게 보여서 너무 좋습니다~!,0,98
0,오타디움 진짜 최고였어요ㅠㅠ,0,99
1,자연속에서 음악과 하나되는 경험 최고입니다!,1,99
0,뮤직페스티벌때문에 방문했다.,0,100
1,차를 안가지고가면 집에 못가는곳이다.,1,100
2,술한잔하려고 차 놓고갔다가 버스기다리는데만 3시간 걸렸다.,2,100
0,지금 시기에는 모든것이 참!,0,101
1,좋아요.,1,101
2,"우거진 숲, 귓가에 쨍쨍하개 들라는 매미 울음..",2,101
3,하지만 주의할 부분은 송충이가 참 많아요.,3,101
0,청페 때문에 처음 가본!ㅎㅎㅎㅎ,0,102
0,코로나 규칙도 거리유지하며 모두 잘 지키고 오랜만에 선선한 바람을 쏘이고 왔어요.,0,103
1,다른 한강공원보다 여유가 있어서 좋아요. ^^~,1,103
0,좋은 날씨에 좋은 사람과 캠핑 음주 즐기기 아주 좋음.,0,104
1,한강바람이 적절한 날에가면 진짜 특히 새벽에 사람 없는 한강 에 반대편 도로엔 차들이 달리고 아경은 오지구 지리구 참 ...,1,104
2,좋다 하악하악...,2,104
0,접근성이.안좋음,0,105
1,교통 비추 걸어가면 30분 ㅠㅜ,1,105
0,월드컵경기장 산책하다가 넘어서 가곤하는데...강을 가장가까이 볼수있어서 좋고 넓은 잔디밭에 깨끗해서 너무 좋아요.,0,106
1,바람막이 텐트치고싶은데..,1,106
2,텐트가 금지되서 아쉬워요.,2,106
3,바람부는 날은 가지마세요.,3,106
0,"산책하고 놀기에 좋은곳이지만, 대중교통으로 가기에는 너무나 헬인곳..",0,107
1,"버스타고 한참걸어가거나, 빨간버스타고 안으로 들어가야하는ㅠㅠ 그래도 다른 한강공원에 비해서 다양한 시설을 갖추고 있어서 좋다.",1,107
0,어썸 뮤직 페스티벌 보러 다녀옴.,0,108
1,넓고 자리가 좋아서 잘봤는데 햇빛이 매우 강하니 양산 챙겨가세요,1,108
0,여긴 코로나만 괜찮아지믄 캠핑장에서 노지캠핑느낌으로 고기궈먹고 한강 감상 및 요트나 윈드서핑등 각종 레져 선수들 장비나 훈련 모습구경가능해요,0,109
1,"텐트치고 한강에서 노는건 정말 포근한 느낌을주고, 아이들 자전거 서킷도 있고 흙장난할수있는 큰 흙놀이터도 구비되어있어요",1,109
2,공원규모가 꽤크니 주차시 즐기실 용도에 맞추어서 근처에 주차하심을 추천드려요,2,109
0,난지천  공원어서본 월드컵 대교,0,110
0,한강공원은 늘 좋지만 난지 공원은 난지만의 널찍한 느낌이 좋다.,0,111
1,다른 곳보다 더 자유롭고 사람이 없는 편이라 자전거 타기에도 좋다.,1,111
2,주변에 월드컵 공원이나 하늘공원으로 빠져도 좋은 곳,2,111
0,한적하고 넓고 께끗하고 광활하여 마음이트이고 즐거워집니다,0,112
