,리뷰,rep,index
0,"한강을 자주 나가곤 하지만.,  이곳은 특히 매년 불꽃축제 핫플코스 이기도 하다.",0,0
1,이몰에서 63빌딩 사이로 김포공항으로 서서히 착륙하는 비행기가 사진을 보면 명확하게 볼일것이다.,1,0
2,놀이터공짜화장실공짜반려견 동반 환경밥과 간식만 있으면 오케이피크닉 구역집시가 되면 무엇이 더 필요한가,2,0
0,"동작대교와 한강대교에서 엘리베이터로 접근할 수 있으며 강변 산책로와 자전거길 등이 잘 설치되어 강변 산책과 운동, 석양과 노을 보기도 좋아요.",0,1
0,아이와함께 주말마다 차범근 축구교실에서 뛰어놀기도 하고 산책하면 힐링되고 너무 좋아요,0,2
0,주차장이 네곳이나되네요,0,3
1,각 구역별로 다른 느낌이네요.,1,3
2,그렇지만 고요히 흐르는 한강 바라보며 물멍때리는것은 같아요,2,3
0,좋은계절을 잘느낄수있었어요,0,4
1,바람에흔들리는나무들 산책하기 좋았어요,1,4
2,그늘집이 좀 더 많으면 더 좋을거같아요,2,4
0,동작역 1번출구 나와 동작대교를 건너가 이촌한강공원 한강변 산책을 했구요.,0,5
1,자연학습장 옆에 대나무숲길도 조성돼 있어요.,1,5
2,미루나무 가로수길도 있고 거북선나루터 지나 한강대교를 건너니 야경이 멋지네요.,2,5
0,"저녁 야경이 멋있고
반포대교 무기개분수는 유명합니다.",0,6
0,사람도많지않고 분위기가 좋아요,0,7
0,작은 공원이지만 운동기구 놀이기구와 러닝트랙 그리고 무엇보다도 햇빛과 눈비를 피할 수 있는 지붕이 있는 벤치가 있어 좋다.,0,8
1,단 삼정호텔 큰 에어컨 실외기 소리가 제법 커서 작동시간에는 낭만적이지 않다,1,8
0,여기 미루나무길 대나무길 예술공원 정말 이뻐요,0,9
1,주변에 꽃들도이뻐서 운동할때 기분이 더 좋아져요,1,9
2,공영주차장 이용 편리하네요,2,9
0,여의도 불꽃축제를 보러 찾아간 이촌한강공원.,0,10
1,공원은 다른 곳에 비해 한적한 편입니다.,1,10
2,자전거 타는 사람은 많아도 앉아있는 사람은 그다지 많지 않아요.,2,10
3,불꽃축제를 보기에는 그다지 적절하지 않습니다.,3,10
4,사람들이 일어나면 가려집니다.,4,10
5,근처 동작대교 위에서 보는것을 추천드립니다.,5,10
0,"평범한 서울의 좋은 공원이지만,

서울세계불꽃축제가 진행하는 날은 그야말로 헬게이트.",0,11
1,"자전거도로에 텐트설치, 일찍와서 오지 않은 사람들 자리까지 맡는 무개념 사진가들,  본인쓰레기 안치우는 비양심적인 사람들로 가득해지는 지독한 장소가 됩니다.",1,11
