,지구,편의점명,경도,위도
0,반포,GS25 뉴한강세빛섬점,126.99512506995688,37.51180195522685
1,반포,세븐일레븐 서래나루점,126.99310063033398,37.50981063444541
2,뚝섬,GS25 광진팰리스점,127.067480244503,37.5322968075925
3,뚝섬,세븐일레븐 한강뚝섬3호점,127.06339045955328,37.53115660422218
4,강서,미니스톱 한강강서1점,126.820816710337,37.5849568967898
5,잠원,세븐일레븐 한강잠원2호점,127.01746725545723,37.52668533672371
6,망원,GS25 망원2호점,126.893944780639,37.5557863417454
7,망원,GS25 망원1호점,126.89589608800588,37.55483572420896
8,망원,이마트24 한강망원지구점,126.89599246121982,37.55389426683136
9,양화,이마트24 한강양화3호점,126.89151692551556,37.54504604191238
10,양화,세븐일레븐 양화한강2호점,126.89625489387728,37.5425527302689
11,양화,미니스톱 한강양화1점,126.904376839872,37.5383068683276
12,양화,세븐일레븐 한강양화1점,126.904367788089,37.5383068609976
13,난지,이마트24 한강난지2호점(휴업중),126.878991227023,37.564820669841
14,난지,GS25 난지캠핑장점,126.8725813557239,37.57017484757764
15,난지,난지주차장 매점,126.88704995209144,37.572464588739365
16,여의도,이마트24 한강여의도4호점,126.92331950736408,37.533243550215154
17,여의도,세븐일레븐 여의도한강2호점,126.93162291551664,37.52819853767567
18,여의도,CU 여의도선착장1호점,126.93901986761166,37.52496258568632
19,여의도,이마트24 한강여의도3호점,126.9277625801273,37.53082085673732
20,여의도,이마트24 한강파라다이스점,126.94157367619178,37.52283751111229
21,여의도,세븐일레븐 여의도한강1호점,126.94001346797484,37.52312144577844
22,여의도,CU 여의도선착장2호점,126.9384082813305,37.525812814319
23,여의도,세븐일레븐 S여의나루역점,126.932949765675,37.5271469283993
24,이촌,해빛한강이촌1호점,126.9822131,37.51532640000001
25,이촌,해빛한강이촌2호점,126.9698203,37.5174313
26,이촌,한강체인본부,126.9705778,37.51725210000001
27,잠실,GS25한강잠실3호점,127.0867236,37.5175896
28,잠실,GS25 잠실 한강1호점,127.0935254,37.5198464
29,잠실,GS25 잠실 한강2호점,127.0831435,37.5185073
30,잠실,GS25 한강잠실4호점,127.0785349,37.5182102
31,광나루,미니스톱 한강광나루1점,127.1206739,37.5459837
32,광나루,세븐일레븐 광나루진달래점,127.1193452,37.5453177
33,광나루,미니스톱 한강광나루2점,127.1160868,37.5422372
