,지구,주차장명,주소,주차가능대수,주차구획수(계),면적(m2),위도,경도
0,광나루,"광나루1,2주차장",서울 강동구 암사동 613-11,34,168,4600,37.5550372528461,127.123395267974
1,광나루,광나루3주차장,서울 강동구 풍납동 49-2,369,191,7012,37.5406543,127.115511
2,광나루,광나루4주차장,서울 송파구 올림픽로41길 108,24,35,0,37.5251054,127.1061506
3,잠실,잠실1주차장,서울 송파구 잠실동 1-1,141,471,15055,37.5177740347208,127.082348760182
4,잠실,잠실4주차장,서울 송파구 한가람로 65,333,471,15055,37.5176288053129,127.086737282438
5,뚝섬,뚝섬1주차장,서울 광진구 자양동 409,43,67,1720,37.5275481164422,127.078365068233
6,뚝섬,뚝섬2주차장,서울 광진구 자양동 427-1,237,356,9830,37.529397761818,127.073056608112
7,뚝섬,뚝섬3주차장,서울 광진구 자양동 97-5,100,112,5014,37.5310073978048,127.064225393065
8,뚝섬,뚝섬4주차장,서울 광진구 자양동 97-5,138,136,4595,37.5310073978048,127.064225393065
9,잠원,잠원1주차장,서울 강남구 강남대로 708,528,735,20803,37.5244402561831,127.015932849772
10,잠원,잠원2-6주차장,서울 강남구 압구정동 386,528,735,20803,37.5272932075631,127.018867504096
11,반포,반포1주차장,서울 서초구 잠원동 122-1,1048,332,9472,37.5133262647127,127.002169105214
12,반포,"반포2,3주차장",서울 서초구 반포동 115-5,1355,361,303,37.5096459418915,126.995132448841
13,이촌,이촌1주차장,서울 서초구 서빙고동 287-4,22,35,801,37.5176185,126.9923042
14,이촌,이촌2주차장,서울 용산구 용산동 6가 452-1,398,95,3050,37.5153244105701,126.983150612967
15,이촌,"이촌3,4주차장",서울 용산구 이촌동 302-17,253,205,4850,37.5172524381641,126.970577601301
16,망원,망원1주차장,서울 마포구 합정동 352-5,81,149,3145,37.5459457690616,126.908415571152
17,망원,"망원2,3주차장",서울 마포구 망원동 205-5,96,235,3129,37.5534410007349,126.897775862513
18,망원,망원4주차장,서울 마포구 동교로 7,0,194,3877,37.5517634,126.9028763
19,여의도,여의도1주차장,서울 영등포구 여의도동 86-5,488,462,17483,37.5224767994314,126.939700745064
20,여의도,여의도2주차장,서울 영등포구 여의도동 84-4,0,171,6630,37.5281725589378,126.932510800097
21,여의도,여의도3주차장,서울 영등포구 여의도동 83-6,393,800,21630,37.5323807371719,126.924415005411
22,여의도,여의도4주차장,서울 영등포구 여의도동 19,22,141,4861,37.5253014593283,126.912754941676
23,여의도,여의도5주차장,서울 영등포구 여의도동 63,83,217,9918,37.5167887162478,126.936007142497
24,난지,"난지1,2,3주차장",서울 마포구 상암동 487-370,641,544,5900,37.5613700823929,126.887229119432
25,강서,강서1주차장,서울 강서구 방화동 61,48,53,2184,37.5850372103852,126.819597612884
26,양화,양화1주차장,서울 영등포구 당산동 95-1,41,88,2600,37.5379904410097,126.903165327188
27,양화,양화2주차장,서울 영등포구 당산동 95-1,14,20,806,37.5379904410097,126.903165327188
28,양화,양화3주차장,서울 영등포구 양화동 26-8,345,393,10459,37.5444654121171,126.892177017833
