식당명,카테고리,위도,경도,도로명,공원
망원동 즉석우동,우동,37.55424541,126.9111332,서울 마포구 동교로 83,망원한강공원
이치젠,텐동,37.55665855,126.9045481,서울 마포구 포은로 109,망원한강공원
청어람,곱창전골,37.55810517,126.9074696,서울 마포구 망원로 97,망원한강공원
소금집 델리,샌드위치,37.55682365,126.9082362,서울 마포구 월드컵로19길 14,망원한강공원
헤키,돈까스,37.55524089,126.9097898,서울 마포구 동교로9길 33,망원한강공원
옛집,김치찌개,37.54711264,127.1068283,서울 광진구 아차산로76가길 18,광나루한강공원
어울림,막걸리,37.5484531,127.1019925,서울 광진구 광장로1나길 10,광나루한강공원
태천면옥,평양냉면,37.54712713,127.1026821,서울 광진구 광장로 49,광나루한강공원
다야,국수,37.54773664,127.102185,서울 광진구 광장로1길 20,광나루한강공원
스시토푸,스시,37.54744421,127.1068242,서울 광진구 아차산로 612,광나루한강공원
계탄집,닭갈비,37.53427165,127.067749,서울 광진구 능동로 31,뚝섬한강공원
스타벅스,카페,37.53268491,127.0678788,서울 광진구 능동로 18,뚝섬한강공원
어테이블,백반,37.5322592,127.0701774,서울 광진구 능동로4길 51,뚝섬한강공원
메밀의 정석,막국수,37.5331176,127.0690649,서울 광진구 능동로4길 27,뚝섬한강공원
좁은식당,돈까스,37.53261645,127.0678505,서울 광진구 능동로 18,뚝섬한강공원
파오파오,만두,37.50890156,127.0840401,서울 송파구 석촌호수로12길 22,잠실한강공원
도삭면공방,도삭면,37.50988305,127.0797161,서울 송파구 백제고분로7길 8-12,잠실한강공원
남경막국수,막국수,37.50986105,127.0854052,서울 송파구 석촌호수로 74,잠실한강공원
신천돼지,삼겹살,37.50949965,127.0817199,서울 송파구 백제고분로9길 24,잠실한강공원
구룡포 세꼬시,횟집,37.50709818,127.0919291,서울 송파구 석촌호수로 134,잠실한강공원
더리버사이드호텔 더가든키친,뷔페,37.51844103,127.0183171,서울 서초구 강남대로107길 6,잠원한강공원
한성돈까스,돈가스,37.5147468,127.0190967,서울 서초구 강남대로97길 10,잠원한강공원
영동설렁탕,설렁탕,37.51615083,127.017372,서울 서초구 강남대로101안길 24,잠원한강공원
멘야하나비,마제소바,37.5162481,127.017596,서울 서초구 강남대로101안길 18-1,잠원한강공원
꿉당,삼겹살,37.51660468,127.0189987,서울 서초구 강남대로 615,잠원한강공원
차알,중식,37.50398116,127.0063447,서울 서초구 사평대로 205,반포한강공원
포비,베이글,37.50308115,127.0043982,서울 서초구 신반포로 지하 188,반포한강공원
마루심,장어덮밥,37.50189414,127.0104814,서울 서초구 고무래로10길 10,반포한강공원
브루클린더버거조인트,수제버거,37.49612456,126.9997399,서울 서초구 서래로2길 27,반포한강공원
플레이버즈,뷔페,37.504038,127.0046641,서울 서초구 신반포로 176,반포한강공원
스즈란테이,일본가정식,37.51996235,126.9742992,서울 용산구 이촌로 245,이촌한강공원
아경면선,곱창국수,37.51982167,126.9737155,서울 용산구 이촌로 248,이촌한강공원
오통영,한식,37.51793436,126.9798064,서울 용산구 이촌로 300,이촌한강공원
르 번미,쌀국수,37.5204797,126.9751135,서울 용산구 이촌로77길 19,이촌한강공원
솜씨,한정식,37.52076625,126.9752401,서울 용산구 이촌로65가길 78,이촌한강공원
진주집,콩국수,37.52059128,126.9269501,서울 영등포구 국제금융로6길 33,여의도한강공원
가양 칼국수 버섯매운탕,칼국수,37.52093631,126.9313694,서울 영등포구 국제금융로 78,여의도한강공원
별미볶음점,제육,37.52075345,126.9269284,서울 영등포구 국제금융로6길 33,여의도한강공원
정인면옥,냉면,37.53077817,126.9215741,서울 영등포구 국회대로76길 10,여의도한강공원
화목순대국,순대국,37.51926954,126.9315066,서울 영등포구 여의대방로 383,여의도한강공원
상암일미락,삼겹살,37.57637342,126.8972551,서울 마포구 성암로13길 40,난지한강공원
더브래드팬트리,빵,37.57659223,126.8960866,서울 마포구 매봉산로2길 64,난지한강공원
먼스 스컬프쳐,커피,37.56326613,126.9063959,서울 마포구 성산로2길 21-31,난지한강공원
도야지,삼겹살,37.56567462,126.9032055,서울 마포구 모래내로1길 20,난지한강공원
구움소리,구움과자,37.57684628,126.8940213,서울 마포구 월드컵북로44길 57-12,난지한강공원
고성막국수,막국수,37.57745706,126.8161479,서울 강서구 방화대로49길 6-7,강서한강공원
방화동 교동짬뽕,짬뽕,37.57725373,126.8157556,서울 강서구 금낭화로24나길 21,강서한강공원
원조나주곰탕,곰탕,37.57261539,126.8100561,서울 강서구 양천로14길 10,강서한강공원
사모님짬뽕,짬뽕,37.57507596,126.8122822,서울 강서구 금낭화로18길 10,강서한강공원
포도나무가든,추어탕,37.5739375,126.8125296,서울 강서구 양천로17길 7,강서한강공원
또순이네,소고기,37.53578087,126.8952969,서울 영등포구 선유로47길 16,양화한강공원
너도나도식당,제육볶음,37.53817178,126.8939041,서울 영등포구 양평로 126,양화한강공원
김밥처럼,김밥,37.53618611,126.8950599,서울 영등포구 선유로49길 23,양화한강공원
온수반,쌀국수,37.53859514,126.8937768,서울 영등포구 양평로22가길 6,양화한강공원
뚜스뚜스 카페&베이커리,베이커리,37.53845614,126.89351,서울 영등포구 양평로 132,양화한강공원
