,축제명,기간,시간,참여,장소,더보기,시작일,종료일
0,공공미술 수변갤러리 '싱싱겨울',2023-12-16(토) ~ 2024-01-07(일),"평일 11-18시, 주말 10~18시","현장방문, 일부 선착순 예약",잠원한강공원 다목적운동장,0,2023-12-16,2024-01-07
1,한강페스티벌 스노우 돔 - 2023 한강페스티벌 겨울축제,2023-12-22(금) ~ 2023-12-31(일),17:00~21:00,현장참여,뚝섬한강공원 청담대교 하부,0,2023-12-22,2023-12-31
2,2023 서울함공원 크리스마스 여행 - 2023 한강페스티벌 겨울축제,2023-12-01(금) ~ 2024-01-31(수),(평일) 10시~17시 (주말) 10시~18시,현장방문,서울함공원,0,2023-12-01,2024-01-31
3,2023 로맨틱 한강 크리스마스 마켓 - 2023 한강페스티벌 겨울축제,2023-12-22(금) ~ 2023-12-31(일),17시 ~ 21시 (점등식 12.22.(금) 18시),현장방문,뚝섬한강공원,0,2023-12-22,2023-12-31
4,2023 한강공원 눈썰매장 개장,2023-12-22(금) ~ 2024-02-12(월),09:00 ~ 17:00,현장방문,뚝섬한강공원 외,1,2023-12-22,2024-02-12
5,노들섬 기프트 연말콘서트 REUNION,2023-12-31(일) ~ 2023-12-31(일),17:00 (총 120분),티켓 예매,노들섬,0,2023-12-31,2023-12-31
6,Sing Your Wish 행사 (드론쇼 11.10.),2023-11-04(토) ~ 2023-11-12(일),13:00~21:00 / 드론쇼 11.10. 19시,현장방문,뚝섬 수변무대,0,2023-11-04,2023-11-12
7,한강물빛영화관 - 2023 한강페스티벌 가을축제,2023-10-13(금) ~ 2023-10-15(일),18:00~20:00,현장참여,강서한강공원 방화대교 남단,0,2023-10-13,2023-10-15
8,2023 서울거리공연 구석구석라이브 - 2023 한강페스티벌 가을축제,2023-10-14(토) ~ 2023-10-22(일),토/일요일 13:00~17:40,현장참여,광나루한강공원 외,1,2023-10-14,2023-10-22
9,서울함 페스티벌 - 2023 한강페스티벌 가을축제,2023-10-15(일) ~ 2023-10-15(일),11:00~21:00,현장참여,서울함공원,0,2023-10-15,2023-10-15
10,해질녘 가을 음악회 - 2023 한강페스티벌 가을축제,2023-10-13(금) ~ 2023-10-14(토),18:00~19:00,현장참여,반포한강공원 예빛무대,0,2023-10-13,2023-10-14
11,지구를 지키는 놀이터 - 2023 한강페스티벌 가을축제,2023-10-21(토) ~ 2023-10-21(토),(예약접수중) 본행사 10.21.(토) 11:00~16:00,사전신청 또는 현장참여,여의도한강공원 이벤트광장,0,2023-10-21,2023-10-21
12,노을명소 스탬프투어 한강 술래길 온라인 챌린지 - 2023 한강페스티벌,2023-10-13(금) ~ 2023-10-22(일),17:30~19:30(일몰시간 기준),워크온 앱으로 신청,반포한강공원 외,1,2023-10-13,2023-10-22
13,한강그림그리기대회 - 2023 한강페스티벌 가을축제,2023-10-15(일) ~ 2023-10-15(일),10:00~12:30,선착순 예약 [마감],여의도 이크루즈 선착장,0,2023-10-15,2023-10-15
14,나홀로 요가 - 2023 한강페스티벌 가을축제,2023-10-15(일) ~ 2023-10-22(일),토/일요일 17:30~18:30,선착순예약,잠원한강공원 외,1,2023-10-15,2023-10-22
15,한강무소음DJ 파티 - 2023 한강페스티벌 가을축제,2023-10-14(토) ~ 2023-10-21(토),토요일 18:00~21:00,"사전예약(네이버예약), 현장접수",여의도한강공원 마포대교,0,2023-10-14,2023-10-21
16,한강음악불꽃크루즈 - 2023 한강페스티벌 가을축제,2023-10-21(토) ~ 2023-10-22(일),18:00,선착순 예약,아라김포여객터미널,0,2023-10-21,2023-10-22
17,한강 슬로우 라이딩 - 2023 한강페스티벌 가을축제,2023-10-21(토) ~ 2023-10-21(토),(예약접수중) 본행사 10.21.(토) 15:00~20:00,선착순예약 (예약기간 ~ 10.20. 12:00),광나루한강공원 자전거공원,0,2023-10-21,2023-10-21
18,2023 서울세계불꽃축제,2023-10-07(토) ~ 2023-10-07(토),13:00~21:30 (불꽃쇼 19:20~20:40),현장방문,여의도한강공원 일대,0,2023-10-07,2023-10-07
19,2023 서울라이트 한강 빛섬축제,2023-10-06(금) ~ 2023-10-15(일),프로그램별 시간 다름,일부 선착순예약 및 현장참여 ,서래섬 일대,0,2023-10-06,2023-10-15
20,2023 한강불빛공연 드론 라이트쇼 (하반기),2023-09-08(금) ~ 2023-11-09(목),마지막 공연 11.9.(목) 19시,현장방문,뚝섬한강공원 수변무대,0,2023-09-08,2023-11-09
21,2023 찾아가는 체육관 하반기 행사,2023-09-01(금) ~ 2023-10-06(금),16:00~18:00 ,현장방문,뚝섬유원지역,0,2023-09-01,2023-10-06
22,2023 한강달빛야시장 하반기 행사,2023-09-16(토) ~ 2023-10-22(일),매주 토/일 16:00 ~ 21:00,현장방문,여의도한강공원 물빛광장,0,2023-09-16,2023-10-22
23,2023 문화잇지오 [세계문화체험축제],2023-09-08(금) ~ 2023-09-10(일),요일별 다름,현장방문,여의도 물빛무대 및 물빛광장,0,2023-09-08,2023-09-10
24,2023 아시아송 페스티벌,2023-09-08(금) ~ 2023-09-08(금),(예매종료) 19:30~21:30,사전예매(9.1.(금) 13:00 ~ 9.7.(목) 13:00),여의도 물빛무대,0,2023-09-08,2023-09-08
25,2023 책읽는 한강공원 하반기 행사,2023-09-02(토) ~ 2023-10-28(토),매주 토요일 12:00~20:00,현장방문,여의도한강공원 외,1,2023-09-02,2023-10-28
26,2023 차 없는 잠수교 뚜벅뚜벅 축제 (하반기),2023-09-03(일) ~ 2023-11-12(일),(10월) 매주 일요일 12:00~ 20:00,현장방문,잠수교 및 반포한강공원 일원,0,2023-09-03,2023-11-12
27,2023 한강 태닝장,2023-09-01(금) ~ 2023-09-24(일),10:00 ~ 17:00,현장방문(선착순 입장),뚝섬한강수영장,0,2023-09-01,2023-09-24
28,한강 반려견 임시수영장,2023-09-02(토) ~ 2023-09-24(일),10:00 ~ 17:00,현장방문 (반려견 체고별 이용요일 다름),뚝섬한강수영장,0,2023-09-02,2023-09-24
29,2023 아쿠아슬론 대회,2023-10-07(토) ~ 2023-10-08(일),10.7.(토) 사전행사  / 10.8.(일) 공식행사,선착순접수(접수 마감),잠실한강공원 및 수중보 일원,0,2023-10-07,2023-10-08
30,2023 한강종이비행기축제,2023-09-09(토) ~ 2023-09-09(토),11:00~18:00,현장관람 가능 / 대회선수참가는 사전신청자만 가능(마감),여의도한강공원 잔디마당,0,2023-09-09,2023-09-09
31,제4회 서울함공원 사진공모전,2023-08-12(토) ~ 2023-09-11(월),8. 12.(토) 10:00 ~ 9. 11.(월) 24:00,온라인접수,서울함공원,0,2023-08-12,2023-09-11
32,2023 서울거리공연 구석구석라이브 - 2023 한강페스티벌 여름축제,2023-08-12(토) ~ 2023-08-13(일),17:00~20:10,현장참여,광나루한강공원,0,2023-08-12,2023-08-13
33,쉬어강서(테라피) - 2023 한강페스티벌 여름축제,2023-08-17(목) ~ 2023-08-19(토),15:00 ~ 19:00,"사전예약(마감), 현장참여 ",강서한강공원 방화대교 인근 잔디밭,0,2023-08-17,2023-08-19
34,한강열대야페스티벌 - 2023 한강페스티벌 여름축제,2023-08-05(토) ~ 2023-08-19(토),매주 금/토 18:30~20:30,현장참여,여의도 물빛무대,0,2023-08-05,2023-08-19
35,우리가 그린히어로 with 밤섬 - 2023 한강페스티벌 여름축제,2023-08-04(금) ~ 2023-08-04(금),15:00~19:30,현장참여,여의도 물빛광장,0,2023-08-04,2023-08-04
36,밤섬생태체험관 9월 행사 예약 - 그린히어로 나를 도와줘!,2023-09-20(수) ~ 2023-09-22(금),본행사 매주 토요일 오전/오후 1회,선착순 온라인 예약,여의도 밤섬생태체험관,0,2023-09-20,2023-09-22
37,여름밤 9988하는날 <손목닥터9988 이벤트> - 2023 한강페스티벌 여름축제,2023-08-12(토) ~ 2023-08-12(토),17:00~21:00,현장참여,여의도한강공원 이벤트광장,0,2023-08-12,2023-08-12
38,한강물빛영화관 - 2023 한강페스티벌 여름축제,2023-08-19(토) ~ 2023-08-20(일),20:00~22:00,현장참여,여의도 원효대교 남단 외,1,2023-08-19,2023-08-20
39,한강썸머뮤직피크닉 - 2023 한강페스티벌 여름축제,2023-08-04(금) ~ 2023-08-04(금),20:00~21:00,현장참여,여의도 물빛무대,0,2023-08-04,2023-08-04
40,달빛판타스테이지 - 2023 한강페스티벌 여름축제,2023-08-12(토) ~ 2023-08-13(일),(토) 20:00~21:00 (일) 19:00~20:00,현장참여,반포한강공원 달빛광장,0,2023-08-12,2023-08-13
41,해질녘한강요가 - 2023 한강페스티벌 여름축제,2023-08-19(토) ~ 2023-08-20(일),19:00~20:00,"선착순예약, 현장참여(당일 취소분 발생 시)",양화선유보행교 인근 잔디밭,0,2023-08-19,2023-08-20
