,0
0,"한강을 자주 나가곤 하지만.,  이곳은 특히 매년 불꽃축제 핫플코스 이기도 하다. 이몰에서 63빌딩 사이로 김포공항으로 서서히 착륙하는 비행기가 사진을 보면 명확하게 볼일것이다.놀이터공짜화장실공짜반려견 동반 환경밥과 간식만 있으면 오케이피크닉 구역집시가 되면 무엇이 더 필요한가"
1,"동작대교와 한강대교에서 엘리베이터로 접근할 수 있으며 강변 산책로와 자전거길 등이 잘 설치되어 강변 산책과 운동, 석양과 노을 보기도 좋아요."
2,아이와함께 주말마다 차범근 축구교실에서 뛰어놀기도 하고 산책하면 힐링되고 너무 좋아요
3,"주차장이 네곳이나되네요
각 구역별로 다른 느낌이네요.
그렇지만 고요히 흐르는 한강 바라보며 물멍때리는것은 같아요"
4,좋은계절을 잘느낄수있었어요 바람에흔들리는나무들 산책하기 좋았어요 그늘집이 좀 더 많으면 더 좋을거같아요
5,동작역 1번출구 나와 동작대교를 건너가 이촌한강공원 한강변 산책을 했구요. 자연학습장 옆에 대나무숲길도 조성돼 있어요. 미루나무 가로수길도 있고 거북선나루터 지나 한강대교를 건너니 야경이 멋지네요.
6,"저녁 야경이 멋있고
반포대교 무기개분수는 유명합니다."
7,사람도많지않고 분위기가 좋아요
8,작은 공원이지만 운동기구 놀이기구와 러닝트랙 그리고 무엇보다도 햇빛과 눈비를 피할 수 있는 지붕이 있는 벤치가 있어 좋다.  단 삼정호텔 큰 에어컨 실외기 소리가 제법 커서 작동시간에는 낭만적이지 않다
9,여기 미루나무길 대나무길 예술공원 정말 이뻐요 주변에 꽃들도이뻐서 운동할때 기분이 더 좋아져요 공영주차장 이용 편리하네요
10,여의도 불꽃축제를 보러 찾아간 이촌한강공원. 공원은 다른 곳에 비해 한적한 편입니다. 자전거 타는 사람은 많아도 앉아있는 사람은 그다지 많지 않아요. 불꽃축제를 보기에는 그다지 적절하지 않습니다. 사람들이 일어나면 가려집니다. 근처 동작대교 위에서 보는것을 추천드립니다.
11,"평범한 서울의 좋은 공원이지만,

서울세계불꽃축제가 진행하는 날은 그야말로 헬게이트.
자전거도로에 텐트설치, 일찍와서 오지 않은 사람들 자리까지 맡는 무개념 사진가들,  본인쓰레기 안치우는 비양심적인 사람들로 가득해지는 지독한 장소가 됩니다."
12,"보행로에 그늘이 좋고 원두막에서 쉴수있어서 좋은데 자전거 길은 그늘이 없네요~
자연학습장도 풀이 많으네요~
강가 근처에 샛길로 갈수 있는데 거기도 좋아요"
13,구간마다 화장실있고 걷기도 평탄하고 틈틈히 벤치도 있는데 강북라인은 마포대교에서 동작대교까지에는 편의점같은 음료등을 살곳은 없음
14,자전거 도로가 잘되어 있어요!
15,반포대교에서 500m정도 시골길(?) 같은 곳을 지나면 깔끔한 산책로가 나와요.
16,여유롭고 시설좋고 다른지역의 한강공원보다 모든시설이 더 잘 갖춰진 곳! 인라인경기장과 차범근 축구교실이 운영중
17,"도심속 한강공원 으로
조용히 산책하고 걷기.자전거타기에 좋습니다.
자전거빌려주는곳 있습니다.~~"
18,"ㆍ이촌동에 주차장이 많지 않아서, 한강 주차장을
이용합니다.
ㆍ주차장에서 이촌동까지 걸어서 15분 정도
소요 되지만, 주차요금도 저렴해서 이용함"
19,산책하기 좋고 곳곳에 예술작품도 있어서 찾아보는 즐거움이 있음.
