,0
0,송파둘레길 21km를 완주 중에 만나는 한강공원 구간은 주말아침에도 언제나 사람도 많고 활기가 넘친다!
1,"지하철이나 자동차, 자전거로 접근하기 쉬운, 넓은 잔디밭이 있는 잠실쪽 강변공원입니다.
자전거길을 통해 어디를 가든 지나가게 되는, 중간 기착점같은 곳. 물론 나같은 배나온 중년아저씨에겐 자주 자전거여행의 최종 목적지가 되지만... ㅋㅋ
편의점이 여러 군데 있어서 편리함. 인스턴트 커피 한잔하며 한강멍하는 거 추천드립니다."
2,가을이라 시원한 바람 맞으며 라이딩 또는 소풍하기 좋고 야경 맛집 입니다.
3,"2023년
여전히 공사 중인 곳이 많네요.
--------------------------------------------------
2022년 한강 안전펜스의 높이가 높아짐.
사진찍는데 방해됨.
-------------------------------------------------
- 2021년 여름 현재  잠실 5단지 북쪽 한강공원은 공사중.
남산타워까지 주~~욱 찍을수 있는 좋은 사진 포인트인데...
-------------------------------------------------
- 잠실에 살때도 자주갔고
- 잠실에 안살아도 가끔씩 갑니다.
- 사진 찍기에도 좋고
- 매점 많아서 편리하고
- 공짜고
- 녹지도 많습니다.
- 화장실도 잘되어 있습니다."
4,"어린이날에 모처럼 한강에서 바람막이 펴놓고 쉬다왔습니다. 외부에서 마스크 벗어도 되는 상황이어서 뭔가 오랜만에 숨을 크게 쉴 수 있었네요. 서울주변에 한강 시민공원이 있다는건 참 행복한 일인 것 같습니다. 많은 가족, 친구들, 연인들이 와서 즐거운 한 때를 보내는 일상의 모습을보니 마음이 참 흐뭇했네요. 어째껀 일단 나무밑에 자리를 잡으려면 무조껀 9시 이전에는 가셔야 나름 좋은자리 확보가능할 것 같고, 텐트는 2미터이상 가져가면 단속한다고 하니 주의하시기를요. 편의점과 화장실은 줄이 매우 기니 여유있게 가시면 좋습니다.
암튼 모처럼의 한강나들이 매우 좋았습니다. 강추~! ^^"
5,아파트 북문으로 나가면 바로 잠실공원이여서 하루에 몇번도 가고 못가도 일주일에 두세번은 가는 한강공원 사시사철 다른 정취와 휴식 힐링에 필요한 공원 벤치 꽃과 나무 재배하는 식물들까지 일상에 힐링을 준다
6,"잠실 한강 공원

한강 주변에 위치하고 있는 예쁜 공간
지하철을 타고 이동하면서 내려다보는 풍경이 예쁘게 보이고 정박한 보트(?), 유람선과 멀리 보이는 롯데타워와 함께 조화를 이룬다.

지하철, 버스 등 대중교통으로 접근성이 좋아 일반 시민들이 즐겨 찾는 명소이며, 다양한 행사가 이어져 볼거리와 즐길 거리가 풍부한 휴식공간이다.

계절마다 다르게 보이는 볼거리가 제공되고 있다.

서울은 불편하기도 하지만 나름 공원과 볼거리가 있어 나름 좋기도 하다.

봄가을에는 마라톤과 꽃길이있어 더욱좋다."
7,"대한민국에는 한강이 있다.
매일 매일 달라지는 한강의 뷰!
혹자는 삭막한 서울이라 하지만
하늘과 바람과 구름이 있고
넉넉한 강이 있다. 아니 호수가
있다. 때로는  잔잔한 파도가 이는
바다와도 같다.
한강을 걷다보면 온갖 상념에
잦아든다. 때로는 낭만적이고
때로는 애상에 젖어든다.
그리고 꿈과 희망에 젖기도 한다.
답답할때 산도 좋지만 한강도
운치가 있다."
8,"동네에서 조금걸어가면 한강공원이라 강아지와 산책하러 가끔가요.
공원에 편의점도 일정한간격을두고 있고  쉴수있는의자와 꽃이있는정원.잠실선착장 한강시민공원. 산책로. 자전거길.다있어 좋아요."
9,"자전거 타고 가면 쉬기 좋은 곳이에요.

편의점도 있고 잔디위에 올라갈 수 있어서 가볍게 쉴 수 있어요.

확트인 전경이 멋있어요."
