,광나루한강공원리뷰
0,한강을 가까이 볼 수 있어서 좋고 수풀향기도 그대로 맡을수 있어 좋다. 산책로가 잘 되어 있어서 걷기에도 좋다.
1,"야외수영장 아이들 놀기좋음 수심 얕음
수영장 옆 놀이터도 너무좋아요"
2,"추석 연휴에 아이들이랑 같이 갔어요
주차장이 무료로 제공되었는데..
늦게가서 주차는 못했어요

놀이터도 큰 편이고 그물망이 되어 있어 아이들이 좋아하더라구요

특히 모래놀이가 특히 잘되어 있는 것 같아요
모래만 모아 놓은 곳 안에 수돗물 나오는 곳도 있어서 모래로 하고 싶은건 왠만하면 다 할 수 있을 것 같아요

장애인도 쓸 수 있는 그네는 처음 봤었는데 그네 무서워 하는 애들은 좋을 것 같아요

바로 옆에 (가을이라 운영은 안했지만)수영장도 있고 드론운동장? 도 있더라구요

그 앞에 나무도 가지런하게 있어서 사진찍으면 예쁘게 나오는 것 같아요
장미꽃을 길 따라서 심어 놓았는데 장미 피는 시기에 가면 좋을 것 같아요

또 조금만 걸어가면 한강이 있어서 좋았어요"
3,저렴하고 외부 음식 반입 가능하니 간단하게 놀기 좋음. 수심도 0.9라서 저학년 아이들도 부담없이 놀수 있음 다만 수질은 좀 아쉬움
4,산책하기 좋아요
5,암사역에서 도보로 10분 가량 걸으면 나오는 공원. 단언컨대 그 어떤 한강공원보다 강물을 가까이서 볼 수 있음.화장실5분거리마다 화장실이 있는듯.피크닉 구역돗자리 깔고 앉을 곳이 많음.
6,"한강에 인접한 광나루 주차창과 함께
장미로 인해 야외 결혼식이 자주 예약된다고 한다."
7,"놀이터도 좋고
드론날리기도 좋고
편의점에서 라면 먹기도 좋아요."
8,주차비도 저렴하고 사람도 많이 없네요. 시설은 많은데 이용가능한 시설은 현재 별로없습니다. 잔디는 4월부터 입장가능하구요. 생육중이라 입장불가입니다. 주차장은 3곳 있는거 같네요. 2주차장 가니 잔디밭하고 자전거 렌트하는곳 가깝네요.
9,한강공원치고 특별한 건 많이 없습니다 다만 자전거 타기에는 환경조성이 잘 되어 있고 부지도 널찍한 곳들이 많아서 시끄러운 거 싫어하고 한적하게 한강 보고 싶으면 상당히 괜찮은 선택지 입니다
10,"광진교 부근으로 자리를 잡았는데 체육시설과 치안센터가 있고 음주단속.텐트등 단속이 잘되서 좋았다.
그리고 광진교도 걷기 넘 좋은곳이다"
11,"한강중    아차산을 마주하고 있어
그 풍광이  수려하고    자전거 공원과
강아지들 뛰어 노는  모습을
보고 있으면  잠시  스트레스에서
벗어 나네요~
살쪄서  주인 따라가기  힘들어 하는
강아지들  보면  넘  웃겨요~
개 산책 시키러 나왔다가  주인끼리
눈  맞는~~    아~  아름다운 곳이죠 ㅎㅎ^^"
12,10월 30일인데도 장미꽃이 만발했습니다
13,주말인데도 사람이 아주 많진 않았어요~
14,"한강수영장 중 가장 사람 적은곳
그만큼 시설 규모면에선 크지 않은

한강 남측 맞은편 워커힐호텔이 보이는 광나루한강공원내 한강수영장 입니다. 주차장은 수영장 좌우에 위치하며 수영장과는 꽤 먼편이나 좌측 주차장이 조금 더 가깝습니다. (공원 차단기 바로 앞 주차장)

시운영으로 입장료 또한 저렴한 한강수영장입니다. 성인기준 5천원, 네이버예약시 인당 500원 할인(단, 당일구매사용불가), 5세미만 무료(증빙서류원본필히지참)

성인풀과 가족풀 모두 넓은 면적이며 유아풀에는 2개의 작은 슬라이드가 있습니다. 단, 초등생 이상은 사용불가. 성인풀은 스킨슈즈 포함 아쿠아슈즈는 신을 수 없고, 유일하게 일반모자가 아닌 수영모가 필수입니다.

팀당 파라솔 자리 하나씩 제공되며 텐트를 가져올 경우 별도 구역(유아풀을 둘러싸는)에만 설치가능합니다. 선베드는 별도비용발생.

내부상점물가는 미쳤으니 수영모 등 물놀이물품은 반드시 챙겨가길 바라며, 매점 또한 비싼편입니다. 외부음식은 허용하나 주류반입은 엄격히 체크하는 편입니다.

타 한강수영장 대비 외곽인 편에 사람이 적은 편이라는것이 가장 큰 장점일듯 합니다."
15,산책하기 너무 좋아요
16,"날씨도 폰근하고 개나리, 벚꽃도 활짝 피어 돗자리 들고 사람들이 많이 나왔네요.
천호역에서 접근성도 좋고 한강뷰도 멋져요."
17,"#광나루 한강공원(10/30)
-.사람이 많지 않고 조용히 산책하기 좋은 한강공원.
-.자전거도로와 인도가 구분되어 있음.
-.데크길이 있어 잠실, 여의도쪽 한강공원가는 느낌이 조금 다름.
-.물도 하류보다 맑아 보여, 풍경이 더 장관이었음."
18,"다른곳보다 조용하고, 더 평온한 한강공원"
