,양화한강공원리뷰
0,아주좋습니다
1,날씨가 풀렸다. 구글은 어떻게 풀렸다를 번역할 까? 사람들이 제법 돌아다닌다. 사람은 자전거 조심. 자전거는 사람 조심. 생각 좀 하고 걸어 다니고 자전거 터라.
2,운동장소 최고
3,"선유도와 근접해서  좋음. 선유도를 가지 않아도 공원 폭이 넓고 잔디가 잘 깔려있어서 피크닉하기 좋음. 중간중간 편의점도 있고 공중 화장실도 있으며 양화대교 아래에는 운동기구들이 있어서 유용함. 축구골대와 농구 골대도 있어서 운동하기도 정말 좋음. 양화대교를 통해서 선유도로 갈 수도 있음. 2, 9호선 당산역과 9호선 선유도역이 근접해 접근성도 좋음.주차공간도 몇군데 있고 주차면수도 많음. 봄 여름 가을 데이트나 피크닉 장소로 아주 좋은듯.놀이터양화대교 옆에 위치. 모레바닥 아니고 우레탄화장실중간중간에 공중화장실 있음반려견 동반 환경반려견 동반 가능피크닉 구역거의 모든 구역 가능"
4,한강의 멋진 전망
5,전용 산책로가 있어 조깅하는 사람과 자전거 타는 사람에게 이상적인 서울의 거대한 공원입니다. 짧고 긴 회로.
6,"물과 풀이 있는 좋은 공원, 가을에 석양 무렵은 한폭의 그림"
7,여긴 그래도 사람적음
8,여기서 지금 여자친구랑 1일이 되었네요. 오래오래 행복하게 만나겠습니다. 서로 많이 예뻐해주고 아껴주도록 하겠습니다.
9,봄과 여름에 주말을 보내기 가장 좋은 장소 중 하나
10,너무좋아요 굿굿
11,"잠시 산책하러 가는곳인듯.
편의점도 작고 한강도 잘 안보임."
12,"산책도하면서,여유를즐길수 있어요"
13,자전거타러나가기조아요
14,좋아요
15,훌륭한 공공 자원입니다. 밤에도 안전하고 아름답습니다.
16,저녁먹기전 산책 다녀왔는데 예전에 비해 많이 가꿔지고 쉴곳이 많이 생겼네요.주차도 편리해서 자주 갔었는데 차 말고 걸어서 다녀야겠습니다.
17,굿
18,좋은
19,자전거타고 가봄.
20,"공원에 간건 아니고, 자전거 타고 양화대교 건너다가 본 것이 전부입니다"
21,목가적 분위기의 한강공원입니다.
22,"강을 따라 시설이 잘 갖춰진 공원, 피크닉 장소, 시립 수영장, 반려견 보호 구역, 지구 전체를 둘러싸는 22km 길이의 자전거 도로, 보행자 구역, 벤치, 화장실, 분수, 야외 체육관, 미니마켓이 있습니다. 모든 곳에서 도시 스카이라인과 다리의 전망을 감상하실 수 있습니다. 도시 주변을 크루즈하는 보트도 이 공원에서 출발합니다."
23,"이상한 아줌마 아저씨들이 자전거를 타고와서

술판을 벌림...ㅋㅋㅋ"
24,걷기 좋아요
25,놀면서 낚시를 쉬어보세요
26,"온실과 내부 편의시설이 최고입니다
여인들과의   차한잔하시면  따봉입니다"
27,그냥 한강변에 있는 다른 공원과 별 차이 없이 주변 사는 사람들이 쉬러 오기 좋은 공원
28,저녁에 시원한 바람과 함께 산책하면 최고입니다
29,좋음
30,❤️❤️❤️❤️
31,양화대교 남단에 위치한 고수부지 공원으로 시민들이 산책겸 소풍장소로 많이 이용한다
32,한강을 건너는 바나나보트를 탈 수 있어요.
33,형편없음
34,"■ 서울 수변공원중 으뜸

ㆍ 아마도 내가 아는한 서울의 수변공원중에서는 양화한강공원이 필드뷰와
한강뷰 모두 최고로 멋진 곳이 아닌가 싶다

ㆍ 제 1, 2 주차장이 비좁은 것을 제외하곤 단점이 거의 없는듯

ㆍ 선유도공원과 마주한 이곳은 잔디밭이 풍부해 도로면에 가까운 곳엔 시민들이 설치한 그늘막이 군데 군데 놓여
있고 한강면이 가까운 곳엔 돗자리와
비치의자, 간이테이블 등이 점거하고 있다.

ㆍ 이곳엔 한강 전망대와 카페, 놀이터,
매점, 화장실과 자전거 도로 등의 편의 시설이 있어 하루종일 휴식을 취한다 한들 불편함을 전혀 느끼지 못할듯 ~

ㆍ 이곳에서 휴식을 취하는 시민들을
보며 마치 이곳이 미국이나 호주의 도시공원 같다는 생각을 했다."
35,강바람이 시원합니다
36,"평일 낮에 조용하고 화장실도 깨끗하고 좋았습니다
편의점이 있어서 더 편리했어요"
37,산책하기 좋음
38,당산역에서 엄청 가깝습니다. 한강은 서울의 젖줄 늘 최고지요
39,양화한강공원에서 여의도 방면으로 강아지와 산책겸 들렀는데 강아지 산책로로는 좋지않았음. 길이 끊기고 좁고 자전거도로와 너무 가까워서 위험했음. 사람만 산책한다면 생태공원길도 있고 나쁘지 않음반려견 동반 환경여의도한강공원쪽으로는 길이 끊기는 부분도 있고 자전거도로와 너무 가깝고 좁아 위험했음
40,한강라면은 언제나 맛있어요~
41,넓고 깨끗해요 산책하기 좋아요 당산역에서도 가까워요
42,"자전거  라이딩 중에  식사 함.
한강라면 맛있다"
43,햇살이 따사롭고 주말에 여유로운 한때를 즐겼습니다
44,산책하기 좋다옹
45,덜 붐비는 지역을 찾고 있다면 여의도보다 더 나은 선택입니다.
46,가볍게 산보하기 아주 좋습니다. 한강을 제대로 느키실수 있습니다
47,한강을 가까이 할수있는 동선이 좋습니다
48,좋은 공원
49,다른 한강공원과는 조금 다른 분위기.. 한강이 바로 앞에 바다처럼 있어요.
50,"자전거의 쉼터
물 받는곳이 여기있음"
51,힐링하기 좋아요
52,자전거 타기 좋아요
53,가끔 가는 곳. 이번에는 지인들과 만나 식사 후 한강공원에서 걷기를 함. 봄이라 그런지 사람도 많고 특히 벗꽃이 활짝 피어 저녁임에도 불구하고 마음을 설레게 한다. 오랜만에 한강 바람을 맞으며 걸으니 정말 기분도 좋고 행복한 사람들과 함께 하신 더욱 기분이 좋다. 좋은 일들만 다 가득하길..  하는 일들이 다 잘 되고 번창하길..
54,힐링~
55,"밤에 맥주 하나들고 조용히 산책~
꽤 큰 매점이 있어 좋아요~"
56,편의점이나 음식판매하는곳이 컨테이너박스에서판거같아별로..
57,"산책 다녀왔는데, 산책로 너무잘되어있고 주차장도 넓어서 주차하기 편해요 ^^"
58,"제주도의 하이라이트
유채꽂밭 출입비용 1000원
입니다"
59,"아직 날씨은 바람이 차서 쌀쌀했지만, 산책하며 기분전환으로 아주 좋았습니다!:)"
60,횔기차고 좋아요
61,한강공원들중 나름 풍치있는 곳입니다~ 또한 넓은 공용주차장이 있어 편니하기도 합니다~
62,산책하기 좋은 곳
63,아라뱃길 라이딩 가는 중에 쉬면서 따끈한 커피 한 잔
64,"봉제산부터 가양대교 지나
한강공원 월드컵대교 당산철교 ,
여의도 증권빌딩
국회의사당 까지
자전거 여행"
65,시기적으로 뭘 보려니 하지않았고 지나가는 길이었는데  코스모스가 것두 실하게 큰송이로 넓게 펴있어서 눈호강을 했네요
66,한적한 한강공원을 원하시면 이곳으로~^^
67,날 좋은 날 가자
68,운동하기 좋고 피크닉 강추
69,화장실이 있어서 좋았다
70,코스모스가 한창이라 엇지네ㅛ
71,코스모스는 다른 곳도 많이 있으나 여기가 가장 이쁜거 같습니다
72,정말 매력적이다
73,자전거 타고 쉬는곳
74,"낮은 흐림, 쓸쓸한 작은배.... 막걸리 사가지고 집에 가야겠다..."
75,왜냐하면
76,주차비 이제는 주말도 유료
77,"주기적으로 찾는곳, 언제든 각종 레저활동 및 여가를 즐길수있는곳으로 도시인들의 힐링명소가 아닐까 합니다"
78,"가족나들이, 피크닉 장소로 좋아요"
79,좋아요
80,자전거 라이딩중 지나감
81,나는 이곳이 정말 감사하다는 것을 배웠다
82,런닝하거나 기분전환하기좋은 곳
83,한강공원 중 가잘 배스가 잘 잡히는 곳. 그리고 아이들데리고 산책나오기 가장 좋은 환경.
