,여의도한강공원리뷰
0,서울에서 일출 보기 매우 좋은 곳입니다. 2024년 1월 1일 일출은 이곳에서 봤네요. 주차장쪽에 원효대교로 올라가는 길이 있는데 거기서 봐도 좋습니다.
1,가만히 앉아서 물멍 때리기도 좋고 천천히 걸으면서 여유를 즐기는 것도 좋다. 날씨가 따뜻하면 피크닉 오기 좋은 곳화장실화장실이 부족하지 않게 있다 !반려견 동반 환경야외니깐 당연히 강아지 데리고 와도 된다. 배변 패드는 필수 !!피크닉 구역잔디밭이 광범위하게 있어서 피크닉하기에 딱 좋다
2,낮에도 밤에도 넓고 쾌적한 공원. 벚꽃 시즌엔 평일에나 겨우 들를 정도.  허가를 받고 드론 날리기에도 꽤 좋은 장소.  봄여름에 가늘도 많아서 피크닉도 가능.
3,봄가을 한강공원 나들이는 필수죠.야시장이 열렸다하여 아이들과 가보았는데 역시 비싼 음식값과 돗자리를 대여하는곳이 즐비했어요. 가시게되면 돗자리는 필수! 물정도는 싸가지고 가세요~물 한잔에 2천원에 판매해요..;;;그 외에 해질무렵에가면 분위기도 좋고 분수다리밑에서 유람선구경도 쏠쏠합니다^^
4,"동탄에 거주 직장은 여의도 동탄 호수공원도 자주 갑니다. 좋다는 느낌, 그런느낌을 가지고 가족과 한강에 왔을땐 베네치아에 갈필요는 없겠구나(가보진않았지만) 세계적 명소가 맞구나 하는 느낌이 듭니다. 자전거도로는 정말 환상적입니다. 여의도에서 잠실까지 자전거로 한시간이면 갑니다. 운동도 되고 차로가도 그정도 걸리니. 자전거 타러, 인라인타러, 캠핑감성 즐기러, 스트레스풀겸.... 추천드립니다."
5,가을에 산책하기좋고 피크닉도 가능 돗자리나 바람막이텐트를 빌릴수있습니다. 배달음식도 가능 치맥 한강라면 가족 커플 친구들과 다함께 즐길수있는곳
6,"가족, 친구들과 산책하고 버스킹 즐기기 안성맞춤인 공간으로, 구역별로 배치된 크루즈 중심으로 식당, 편의시설 등이 있어 이용에 편리"
7,"탁 트인 한강 드넓은 공간, 커다란 나무, 잔디, 꽃들 유람선 선착장, 선상 카페, 선상 음식점... 서울 시민들께 너무나도 큰 선물 같은 곳 '한강시민공원' 입니다.  야경은 더 멋집니다. 여의나루역 나오자마자 돗자리 대여하는 곳도 있고 곳곳에 음식판매 하는 곳 있어서 골라 먹는 재미도 밌었고  63빌딩 관람도 좋았습니다. 자주 찾고 싶은 곳 강추 입니다  혼자서도 무섭지 않은 곳이라 가끔은 혼자서 산책하는 장소로도 좋을 듯 합니다."
8,[ 2024년 1월 12일 방문 ] 역시 여의도한강공원! 볼것도 많고 먹거리도 좀 있음 남산타워도 보이고 전망도 예쁘네요.
9,유럽다녀 온지 얼마 안 되어서 그런지 유럽이 더 좋네요. 산책 하기에는 매우 좋은 것 같습니다. 단점은 비가 온 후 자전거 도로에 물이 고여 있어서 자전거 타기가 힘듦니다
10,여의도에 살고싶네용 매일 산책하기 좋은곳입니다 더현대서울 갔다가 바람쐬러 왔어요
11,유람선타고 라이브음악과 해지는 모습과 서울의 강남과 강북을 잇는 한강에 빠져본다 주차도좋고 식사도 가능하고 맥주는 마실수있는 곳
12,여름밤에 더할나위 없이 좋은 장소예요. 주말엔 주차가 어려워 평일 저녁 추천 합니다. 평일 저녁에도 사람 많고 분위기 정말 좋아요 한강을 바라보고 우측에는 유람선 타는 곳 편의점에서 한강라면 많이들 먹고요 이른 저녁엔 달이 정말 예뻐요. 중간 부분에는 얕게 발목~무릎 정도까지 발 담글수 있는 물놀이 시설 있어요. 크록스 같은 신발신고 발 담그기 좋아요. 좌측 무대에선 운 좋으면 공연하는 모습도 볼수 있어요.
13,세계불꽃축제 마포대교에서 관람 대중교통으로 이동하기 좋은곳으로 단지 인파가 상단ㅇ히 많아요
14,너무 예쁜 곳이에요. 낮에도 예쁘지만 역시 야간에 와야 더 예쁠 것 같았어요. 버스킹 노래소리도 좋았고 특히나 하늘이 정말 아름다웠어요. 유람선을 타볼까했지만 시간이 애매해서 탑승하진 못했어요. 좋은 추억들을 많이 만들기에 충분한 공간이에요.
15,"4.0 한여름낮에는 뜨겁지만, 봄에는 벚꽃, 10월에는 불꽃축제, 겨울을 제외하곤 피크닉 가족, 연인들, 자전거, 조깅하는 사람들이 많이 찾습니다. 편의점, 화장실, 배달 픽업장소, 다양한 길거리음식등이  있어 편리합니다."
16,"이사하기 전 마지막으로 한강공원 방문~ 날씨도 좋고 추석 당일이라 가족 단위의 사람들이 엄청 많았다. 한강 오면 또 빠질 수 없는 한강라면까지 최고ㅠㅠ 과자랑 음료수(특히 맥주), 돗자리 등등을 사오는 걸 추천함."
17,서울 오리지널 명소 중 하나죠 가끔 오면 정말 좋습니다 이 날은 마침 에어쇼도 해서 좋은 구경 했습니다 뭐 드실 거면 배달음식이나 다른 곳에서 포장해 오십쇼 한강공원 내부에 있는 가게들은 모두 강한 비추 드립니다 그래도 즉석 라면은 즐기지 않을 수 없죠 인정합니다 9월 초 기준 더위도 한풀 꺾였으니 즐거운 시간 보내세요반려견 동반 환경에티켓을 잘 지키면 반려견도 함께할 수 있지만 반려견을 위한 공간은 아니긴 합니다피크닉 구역돗자리는 잔디 위에만 까셔야 합니다
18,달빛뮤직크루즈타러 갔다가 라면도먹고 분위기도 즐겼어요 상인과 시민이 체계적으로 움직이는 느낌
19,오늘 날씨가 너무너무 좋아서 한강 나들이 온 사람들이 많아 저도 덩달아 들떴답니다🥹 돗자리 대여 보증금 7천원+미니책상&돗자리&물티슈 5천원 이에요 :) 반납하면 보증금 현금으로 돌려받아요! 저는 여의나루 세븐일레븐 앞 상점에서 빌렸어요ㅋㅋ 갈매기가 많아서 바닷가 온 줄요ㅋㅋㅋㅋㅋ 한강 라면은 운치있어 더 맛있게 느껴져요:) 가져가는 동안 불어버리는 단점이 있지만😅 라면 4천원+맥주2캔 8천원+프링글스 4천원+솜사탕 3천원 😁 키킥 혼자 다 먹었네용 즐거운 하루..!!! 안녕👋✨️
20,"2023. 09. 15. 금요일 여의나루 한강공원으로 오랜만에 방문해서 맛있는 돈까스, 유람선도  타보고, 사진도 찍었습니다. 다음엔 또 방송으로 가보고  싶습니다."
21,"일본 자전거 여행 전에 텐트 테스트하려고 왔는데, 개좋음. 조용하고, 시원하고. 텐트 치기 딱 좋은 곳. 오수를 즐기기에도 정말 좋음 ㅇㅇ"
22,"아시아투데이 신문사에서 주최한 마라톤대회가 열려서 참석하 방문함. 한강변이지만 5호선 여의나루역 2번출구로 나오면 바로 갈 수 있어 접근성이 좋음. 추석 연휴라 사람들이 적을 줄 알았는데, 의외로 많은 사람들이 참여해서 10km, 5km 달리기와 5km걷기 대회가 열렸는데, 가을 날씨에 따뜻한 햇볕을 맞으면서 한강변을 걷는 즐거움이 컸음. 가을에 운동도 하면서 한강 풍경을 즐길 수 있는 아주 좋은 장소임."
23,여의도 불꽃축제를 처음으로 다녀왔다 우리나라팀이 역시나 기술면에서 아름다움을  적극 표현해주었다 저녁이후론 혼잡과 무질서가 가득했으나 불꽃쇼로 모든것을 잊었다
24,"한강변 잔디밭에서 남녀 데이트 장소, 아이들 동반 가족단위, 고교나 대학 단체 모임, 외국인 여행자 등 정말 다양한 사람들의 휴식처. 편의점도 있고, 노점상에서 돗자리 등 대여 및 각종 간편식도 판매. 배달존을 활용한 배달음식도 가능. 편하게 지하철 타면 여의나루역에서 바로 연결되어 접근성도 좋음. 화장실, 흡연공간, 쓰레기 처리장소 등 편의시설도 잘 되어있음."
25,선셋크루즈 타러 왔는데 해가 늦게 져서 저녁먹고 다시 와서 야경사진 찍었어요. 바람불어 시원하고 야경도 너무 예뻤어요.
26,낮에는 너무덥고 저녁부터는 바람도 불고 선선해지니 사람 들로 인산인해 친구나 연인끼리 시원한 맥주 한잔하면서 초가 을의 맛을 느껴 보시면 좋을듯
27,2023-12-10 한강시민마라톤대회 참가 차 방문. 널찍하고 깔끔하고 시원하고 좋다.
28,날씨가 추워도 여자친구 손잡고 데이트 하기에 이만한 장소가 없다~~  한강공원오면 한강라면이지!화장실간이화장실 있음
29,서울에 살기를 잘했다는 생각을 들게 하는 최고존엄 한강공원. 돗자리 대여해주는 사람들이 짜증나게 구는 것 빼고는 다 완벽.
30,"불꽃축제 한다고 해서 한 번 가봤는데 정말 풍경도 좋고 넓어서 좋았고, 불꽃놀이도 예뻤어요!! 다음에도 또 놀러 가려구요 ㅎㅎ"
31,지하철역에서 접근성이 좋아 예전부터 젊은이들 즐겨 찾던 곳입니다. 코로나 시국을 지나 젊은이들이 바글바글한 곳입니다. 따뜻한 날씨가 되면 물반 고기반으로 발 디딜틈 없이 돗자리들이 빽빽하게 차지합니다.
32,"이십 오년여만에... 고국으로 돌아와보니 너무너무 많이 변해있습니다 그중에서 빼놓을 수 없는 곳이 바로 지하철과 함께 여의도 한강변에 있는 공원들입니다. 합정에서 다녔던 한강주변의 강들은 감동 그 자체입니다 🇰🇷 🇰🇷 🇰🇷 🇰🇷 이렇게 많이 변하다니요! 시간이 되는 분들은, 한번씩 다녀오시면 몸과 맘이 치유가 되는 곳이기에 적극 추천드립니다 💜 💕 ⛱️  ⛱️  ⛱️ 💕 💜"
33,몇년만에 왔는데 더좋아지고 먹을거 많고 사람많고.
34,서울Life를 즐겨보기 위해 와이프와 가본 여의도 한강공원.... 와...날씨 겁나 좋...덥다.... 나무에 이파리가 읍어서 그늘을 찾기 힘들었지만 일단 앉고 보자!!! 돗자리도 빌리고 음식도 사먹고 나름 여유로움을 즐겨볼 수 있는 하루였습니다. 주변에 노상에서 파는 음식들이 조금(?) 비싸긴 하지만 어쩌다 한번이니까... 사람도 구경하고 벚꽃도 구경하고... 덥지만 않았다면 좀 더 즐겨보았을텐데 좋아도 너무 좋은 4월1일 만우절 토요일이였네요 나중에 조금 선선해지면 아이들도 함께해서 다시 가볼 예정입니다 넘 더워서 라면을 못 먹었거든요 ㅎㅎㅎ 아 치킨도 시켜먹어야지!!!!ㅋㅋ
35,물이 흐르는 발 담글수 있는 수로가 있어 아이가 매우 좋아함. 치킨배달 됨. 음주 가능. 이만한 소풍이 없음.
36,이벤트가 없을때 가면 좋은듯해요... 근무하다가 샌드위치 사들고 벤치에서 점심 시간 보내기 좋은곳! 그늘자리는 나름 경쟁이 심하네요 ㅋㅋ
37,불꽃축제에 다녀왔습니다. 오랜시간 기다린 보람이 있는 멋진 불꽃놀이 였습니다.
38,좋아하는 곳이에요 자전거 타기도 좋고 야경도 좋고 유람선도 추천요 안에서 공연도 해요
39,걷기가 좋은 환경이라 너무 좋았어요
40,꽃들 많이 심어놓은 공원을 기대하고 갔는데 꽃은 별로 없네요. 그래도 탁 트인 한강 구경하기엔 좋네요.
41,"노을지는 한강을 바라보며, 산책하기 좋은곳. 피크닉하기엔 적합한 장소에요. 시원한 강바람을 맞으며 보는 풍경이 가슴이 뻥뚫리는 멋드러지는 곳입니다. 종종 이곳에서 행사도 진행하는데 보고만있어도 같이 즐거워지는곳네요. 다만 사람들 많이 몰려서인지 아직 쓰레기 버리는 시민의식이 부족해서인지 길바닥, 쓰레기통주변 아무데나 버려져있어서 이건 아쉬웠습니다. 또 일부 자전거 타시는분들이 횡단보도를 사람들 지나가고있는데 멈추지도 않고 무서운 속도로 그냥 지나가면서 산책하러 다시는분들에게 큰소리로 길방해된다고 욕하고 지나가는데 정말이지 최악이었습니다. 좋은기억만 가저갈수있었는데 일부 몰상식한 사람들때문에 그러지는 못할것 같습니다."
42,봄에는 벚꽃. 여름밤엔 맥주. 가을 피크닉 등 잔디에 돗자리나 텐트를 가지고 여유와 계절을 즐길 수 있는 곳. 주변에 예약으로 자전거나 캠핑물품을 빌릴 곳도 많아서 돈만 들고 가면 된다. 사람이 많을 땐 사람에 치이러 온건지 구경하러 온건지 모를 정도이다. 그래도 가족과 연인과 친구와 함께 즐길 수 있는 곳이다.
43,야밤에도 사람많아서 산책하기 좋음
44,서울에서 최고의 시민들의 휴식공간입니다.
45,전망 좋은 곳! 실컷 즐기다 갑니다 ㅎㅎ 시원한 가을에 한번 더 와보고 싶네요화장실깨끗해요! 관리 잘되는 느낌입니다
46,서울 시민의 영원한 휴식처이다. 폭 1km의 길이와 수량은 도심 속에 답답한 심정을 해소 해 주고 돚자리 피고 배달음식 또는 치킨과 맥주 한잔과 친구들과 수다는 스트레스를 일거에 해소 해 준다. 2022년 서울세계불꽃축제의 명당 자리이기도 하다.
47,휴식 공간으로 참 좋아요. 주차도 편리하고 자전거 빌려서 타기도 좋아요.
48,2022년은 도깨비에서 달빛으로 바뀐 야시장이였고 코로나 빼고 거의 매년마다 갔었지만 사람이 가장 많았었던거 같다.  푸드트럭도 7시?도 되지 않았는데 재료소진도 여러곳 보였고 기본 40분에서 1시간이상 줄서야 먹을수있었다  한강 야경은 넘 분위기있어 좋았고 구경하면서 팔찌도 반지도 픽하고  맨 나중에 알았지만 푸드트럭 영수증ㅠ 하나도 안챙겼는데 영수증 있으면 저 상자를 준다 안에는 집게 장갑 파우치 들어있었는데 알았으면 영수증 다 받았징  간만에 즐거운 시간이였다
49,"1. 아이 서울 유, 이제 서울 리브랜딩하면 사라진다죠. 2. 여의도 한강공원이 최고인 것 같아요. 3. 2인 자전거 최초 1시간 6천원인데, 신분증을 맡겨야 해요. 매우 불안"
50,한여름 아이와 함께 갈 만한 곳 중에 여기만한데가 없어요. 잘 관리해주는 서울시에 감사.
51,불꽃축제 참석 진짜 볼만하더라구요 공원 너무 잘 조성되어있어서 감탄했어요 아침부터 명당자리 맡는 사람들 이해가 됐습니다
52,윌드컵대교 남단에 양쪽 엘리베이터. 설치 새로운 산책 라이딩 코스 야경 멋집니다 건너편은 엘베 없습니다
53,마라톤대회 때문에 다녀왔어요. 그래서 자세한 건 못봤지만 화장실이 다수 있어서 좋았고 걷기 운동. 달리기 운동하기가 정말 좋아보였어요.
54,라면에 맥주 한잔 시원하니 좋네요
