,리뷰,rep,index
0,송파둘레길 21km를 완주 중에 만나는 한강공원 구간은 주말아침에도 언제나 사람도 많고 활기가 넘친다!,0,0
0,"지하철이나 자동차, 자전거로 접근하기 쉬운, 넓은 잔디밭이 있는 잠실쪽 강변공원입니다.",0,1
1,"자전거길을 통해 어디를 가든 지나가게 되는, 중간 기착점같은 곳.",1,1
2,"물론 나같은 배나온 중년아저씨에겐 자주 자전거여행의 최종 목적지가 되지만... ㅋㅋ
편의점이 여러 군데 있어서 편리함.",2,1
3,인스턴트 커피 한잔하며 한강멍하는 거 추천드립니다.,3,1
0,가을이라 시원한 바람 맞으며 라이딩 또는 소풍하기 좋고 야경 맛집 입니다.,0,2
0,"2023년
여전히 공사 중인 곳이 많네요.
-------------------------------------------------",0,3
1,"-
2022년 한강 안전펜스의 높이가 높아짐.",1,3
2,"사진찍는데 방해됨.
------------------------------------------------",2,3
3,"-
- 2021년 여름 현재  잠실 5단지 북쪽 한강공원은 공사중.",3,3
4,"남산타워까지 주~~욱 찍을수 있는 좋은 사진 포인트인데...
------------------------------------------------",4,3
5,"-
- 잠실에 살때도 자주갔고
- 잠실에 안살아도 가끔씩 갑니다.",5,3
6,"- 사진 찍기에도 좋고
- 매점 많아서 편리하고
- 공짜고
- 녹지도 많습니다.",6,3
7,- 화장실도 잘되어 있습니다.,7,3
0,어린이날에 모처럼 한강에서 바람막이 펴놓고 쉬다왔습니다.,0,4
1,외부에서 마스크 벗어도 되는 상황이어서 뭔가 오랜만에 숨을 크게 쉴 수 있었네요.,1,4
2,서울주변에 한강 시민공원이 있다는건 참 행복한 일인 것 같습니다.,2,4
3,"많은 가족, 친구들, 연인들이 와서 즐거운 한 때를 보내는 일상의 모습을보니 마음이 참 흐뭇했네요.",3,4
4,"어째껀 일단 나무밑에 자리를 잡으려면 무조껀 9시 이전에는 가셔야 나름 좋은자리 확보가능할 것 같고, 텐트는 2미터이상 가져가면 단속한다고 하니 주의하시기를요.",4,4
5,편의점과 화장실은 줄이 매우 기니 여유있게 가시면 좋습니다.,5,4
6,암튼 모처럼의 한강나들이 매우 좋았습니다.,6,4
7,강추~! ^^,7,4
0,아파트 북문으로 나가면 바로 잠실공원이여서 하루에 몇번도 가고 못가도 일주일에 두세번은 가는 한강공원 사시사철 다른 정취와 휴식 힐링에 필요한 공원 벤치 꽃과 나무 재배하는 식물들까지 일상에 힐링을 준다,0,5
0,"잠실 한강 공원

한강 주변에 위치하고 있는 예쁜 공간
지하철을 타고 이동하면서 내려다보는 풍경이 예쁘게 보이고 정박한 보트(?), 유람선과 멀리 보이는 롯데타워와 함께 조화를 이룬다.",0,6
1,"지하철, 버스 등 대중교통으로 접근성이 좋아 일반 시민들이 즐겨 찾는 명소이며, 다양한 행사가 이어져 볼거리와 즐길 거리가 풍부한 휴식공간이다.",1,6
2,계절마다 다르게 보이는 볼거리가 제공되고 있다.,2,6
3,서울은 불편하기도 하지만 나름 공원과 볼거리가 있어,3,6
4,나름 좋기도 하다.,4,6
5,봄가을에는 마라톤과 꽃길이있어 더욱좋다.,5,6
0,대한민국에는 한강이 있다.,0,7
1,매일 매일 달라지는 한강의 뷰!,1,7
2,"혹자는 삭막한 서울이라 하지만
하늘과 바람과 구름이 있고
넉넉한 강이 있다.",2,7
3,"아니 호수가
있다.",3,7
4,"때로는  잔잔한 파도가 이는
바다와도 같다.",4,7
5,"한강을 걷다보면 온갖 상념에
잦아든다.",5,7
6,"때로는 낭만적이고
때로는 애상에 젖어든다.",6,7
7,그리고 꿈과 희망에 젖기도 한다.,7,7
8,"답답할때 산도 좋지만 한강도
운치가 있다.",8,7
0,동네에서 조금걸어가면 한강공원이라 강아지와 산책하러 가끔가요.,0,8
1,공원에 편의점도 일정한간격을두고 있고  쉴수있는의자와 꽃이있는정원.잠실선착장 한강시민공원.,1,8
2,산책로.,2,8
3,자전거길.다있어 좋아요.,3,8
0,자전거 타고 가면 쉬기 좋은 곳이에요.,0,9
1,편의점도 있고 잔디위에 올라갈 수 있어서 가볍게 쉴 수 있어요.,1,9
2,확트인 전경이 멋있어요.,2,9
0,여름밤에 산책하기 최고의 장소입니다.,0,10
1,시원한 강바람과 잠실대교 하부의 예쁜  조명 바이크족들도 생생 달리고 걷는  도보족들과 구분되있어 안전합니다.,1,10
0,"여름에 나오기엔 너무 덥긴하지만 적당히 나무그늘아래서 텐트치고 여유롭게 쉬기좋아요, 그늘막설치장소가 따로있기때문에 지정장소에설치해야하고 바로앞에 gs편의점이 있어 편해요.",0,11
1,한강하면 끓여먹는 라면과 맥주한잔이면 행복한하루를 보낼수있어요,1,11
0,아들과 한강 라면 먹으러 갔었어요.,0,12
1,우리는 좋았는데 사람들이 많지 않았던 이유도 알 수 있었어요.,1,12
2,많이 추웠어요.ㅠㅠ.,2,12
3,따뜻한 날에 가세요.,3,12
0,낮에 가서 자전거를 타려 했지만 부득이하게 늦어지고 해도 짧아져서 자전거도 마감되고 아쉬웠지만 야간에 간 한강은 처음이었는데 한강 대교들도 반짝이는게 이쁘고 공원 산책로를 걷는데 야경이 정말 아름다워서 야간에도 갈만한 한강입니다,0,13
0,공원이 깨끗하게 관리되어 쾌적한 환경을 누릴 수 있는 공원이다.,0,14
0,주말 오전에 일찍 가지 않으면 그늘막 칠 곳을 찾기 어려움,0,15
1,서울에서 한가로이 시간을 보낼수 있는 멋진 곳!,1,15
2,가끔 불어오는 강바람은 정말 시원하고 기분을 좋게한다,2,15
0,"치킨집도 있고,편의점도 있고, 따릉이도 많이 있고
한강을 즐길만한 편의시설이 많아서 좋았어요.",0,16
1,역에서도 가까운 잠실 한강공원,1,16
0,다른 한강공원보다 좋았어요,0,17
1,"물론 날씨 좋을때지만~
주차장은 공휴일도 유료인듯..?",1,17
0,푸른 잔디밭에서 아이들과 즐거운 시간을 보내면 스트레스가 해소됩니다.,0,18
1,한강을 바라보며 먹는 편의점 라면이 진짜 맛있어요.,1,18
0,"잠실 한강공원은 밤, 낮에도 이쁘고 편이점, 치킨집이 있습니다.",0,19
1,"코로나임에도 불구하고 생각보다 사람이 많아
놀랐습니다.",1,19
2,"마침 사진을 찍으러 왔기 때문에,
사진도 몇장 올립니다",2,19
0,시원한 바람 ㅡ> 서늘한 바람이 코로나로 낀 마스크 사이로 들어온다,0,20
1,ᆞ풀냄새도 좋고 이 가을의 낙엽 빛깔도 좋다,1,20
2,ᆞ가을의 끝자락의 정취를 놓치기 싫어 자전거로 출퇴근 한다,2,20
3,"ᆞ
천호동 출발 풍납 나들목으로 접어든 후  한강자전거 길  ㅡ길지 도 짧지도 않게
잠실나들목으로 나와서 잠실 리센츠ᆞ 트리지움을 통해 지나 삼전역 지나 탄천1교를 건너서도 가을길 풍경이 아름답다ᆞ",3,20
0,2호선 잠실나루역에 내려서 4번 출구로 나가시면 4번 출구를 등지고 오른쪽으로 계단이 보여요,0,21
1,그리로 올라가시면 사람이 걸어서 한강으로 진입할 수 있는 도보교가 만들어져 있어요.,1,21
2,당산철교는 밑으로 내려가지 않고 바로 연결되는데 잠실철교는 일단 4번 출구로 나가서 다시 계단을 올라야해요.,2,21
3,일단 계단을 올라가시면 걷기 아주좋은 데크길이 길게 만들어져 있어서 계속 걸어가면 자연스럽게 잠실한강공원으로 넘어가실 수 있구요,3,21
4,아니면 걸어서 한강을 건너갈 수도 있어요.,4,21
5,사진을 보시면 자전거도 쉽게 올라갈수있도록 가운데에 경사로가 만들어져 있어요.,5,21
0,언제나 좋아요,0,22
0,하늘도 열일했고 텐트 허용구간도 열려서 멀리 여행가지 않아도 아이들이 최고의 어린이날이었다고 하네요^^,0,23
0,"강바람이 살짝 불기는 하지만, 탁트인 시야로 가슴이 넓어지는 것 같네요.",0,24
1,"주말에는 레저와 산책을 즐기는 많은 시민들로 활기찬 곳 이지만, 평일에도 한적한 여유를 즐기며 자전거를 타거나, 산책을 즐기는 사람들이 꽤 많습니다.",1,24
2,"자전거 길을 따라 중간 중간에 있는 편의점 옆 파라솔 아래에서 한잔 하며 쉬어 가는 주객들과 단체로 소풍을 나온 학생들이 잔디밭에서 즐거운 시간을 보내고 있고, 그 주변에서는 연날리기 연습에 여념이 없는 아저씨와 어린이가 하늘을 쳐다보며 미세먼지를 뜷고 연줄을 감고 풀고 하네요.",2,24
3,"위쪽 자전거 도로 옆 표지판에는 낚시금지라고 써있는데도, 아랫쪽 강가에는 낚시를 즐기는 아저씨들도 있습니다.",3,24
4,아마도 아랫쪽 강가로만 걸어와서 낚시금지 표지판을 못봤나 봐요.,4,24
5,위에서 잠시 지켜보다보면 잡아 놓은 팔뚝만한 장어를 볼 수도 있습니다.,5,24
6,"종합운동장을 끼고 탄천 길로 가다보면 계절마다 예쁜 꽃길도 볼 수도 있구요, 자전거를 타고 한강을 따라 내려가면 여의도까지 금방이에요.. ^^",6,24
0,"지방사는 사람들이 서울오면 꼭 가는 곳,
무료로 즐길 수 있는 야경.",0,25
1,무료로 쓸 수 있는 깨끗한 공중화장실.,1,25
2,단돈 2000원으로 맥주를 즐길 수 있는 GS편의점.,2,25
3,텐트치고 여유를 즐길 수 있는 곳.,3,25
4,A free night view.,4,25
5,A clean public toilet for free.,5,25
6,"GS convenience store where you can enjoy beer for only 2,000 won.",6,25
7,A place where you can relax with a tent.,7,25
0,"가족, 연인들끼리 피크닉하기 좋고
자전거도로가 잘 되어있어서 조깅이나 자전거타기에 좋다.",0,26
1,GS편의점안에 미니카페도 있어 커피나 음료를 즐길 수 있고 편의점 바로옆에 BHC치킨집도 있어 치맥즐기기에 좋다.,1,26
0,조용한 한강뷰 산책로 추천합니다,0,27
1,밤늦게산책을한다면 고라니를 만날수도 있는 천연자연환경입니다~^^,1,27
0,"판도라라는 조개구이집 다녀왔는데, 진짜 뷰가 최고에요!",0,28
1,맛있었어요~,1,28
0,주차장에서의 접근이 쉬워 차로 방문하기 편합니다.,0,29
1,서쪽이 잘 보이기 때문에 특히 남산타워를 배경으로 해가 넘어가는 멋진 일몰을 볼 수 있습니다.,1,29
2,맑은날 저녁에 방문하는 것을 추천드립니다.,2,29
0,한가하게 자전거 타기 좋아요,0,30
1,라면이랑 음료수 사마실 수 있는 매점 시절도 잘되어있어요,1,30
0,여름의 무더위가 한풀 꺽이고 시원한 바람을 누비며 유람선타고 서울을 만끽.,0,31
1,주말의 여유를 즐기는 사람들 사람들~ 이것이 소확행^^한강이 있는 서울사는 소소한 기쁨^^,1,31
0,나무그늘이 좀 더 많으면 좋겠어요 ㅎㅎ,0,32
1,그래도 좋아요 ㅎㅎ,1,32
2,잠실새내에서 걸어가기 좋아요,2,32
3,접근성 굳,3,32
0,다좋은데 장애인화장실이 아쉽다.,0,33
1,여자장애인은 여자화장실을 이용해야만 가능해서 남편이 보조해서 들어갈때는 어쩔수가 없어서 장애인가족화장실이 있었으면 좋겠다.,1,33
0,"주간 야간 데이트 걷기 산책 잔디 피크닉 자전거 조깅
전망 물멍 비멍 트렁크 차피크닉 라면먹기
치킨먹기
아무거나 다 가능한곳",0,34
0,"여유있는 잠실한강공원

다른 한강 공원에 비해 한적하고
주차공간이 여유있음",0,35
1,"텐트는 저녁 9시까지만 펼수 있고,
이후에는 돗자리만 가능
한강이 야영장이 아니기 때문이라고 방송함

편의점 바로 옆에 있고,
깨끗하지 않지만 화장실 있고,
환상적인 힐링장소",1,35
0,선선하고 경치도 좋고 주차하기도 나쁘지 않고 운동하기도 좋고 산책하기도 좋고 주말이라 많이들 나오셨네요.,0,36
1,다 좋았어요,1,36
0,"그늘막은 8시까지 입니다, 그 이후에는 접어야됨화장실100미터 단위마다 있음반려견 동반 환경애완견 동반가능피크닉 구역중간중간 앉아 있을곳도 많고 좋아요",0,37
0,잠실새내 6번출구에서 직진으로 걸어서 15분정도 걸리는 곳이라 역에서 그럴게 멀지않고 잠실역에서도 적당히 걸어서 방문가능한 한강공원이다,0,38
1,다만 여름철 날벌레가 너무나도 많아서 습하고 불쾌지수가 높은날에 방문하는것은 피하는 것이 좋다,1,38
0,자전거타기 좋은 장소다.,0,39
1,추우면 멈췄다가 라면먹기도 좋다.,1,39
2,저녁에 가면 더더 좋다.,2,39
3,야경이 너무 멋지다.,3,39
4,운동하는사람도 많아서 더 부지런히 살아야겠다는 생각도 든다.,4,39
5,암튼 좋다.,5,39
0,"자전거, 즉석 라면, 젊은이, 아가, 강아지, 그리고꽃님이",0,40
0,한강을 넓게보고 싶지만 시야를 가리는 건물과 나무가 많고 편의점과 치킨도 비싸서 올때마다 사기는 부담스럽지만 한두번은 좋다,0,41
0,잠실 주민으로서 언제든 방문할 수 있는 친근하고 자연친화적인 공원이 반겨주는 장소입니다.,0,42
1,서울에서 강을 바라볼 수 있다는 것은 참 축복입니다.,1,42
0,5시 이후 어느정도 해가 진다 싶을때 가면 강바람이라 크게 덥지도 않고 멋진 노을도 감상할수있어요!,0,43
1,:-) 한강에서 저런 뷰를 바라보며 먹는 치킨맛은 오지쥬,1,43
2,bbbbb,2,43
0,여유가 느껴졌던 이곳.,0,44
1,"잠실한강공원
바람쐬기, 수다떨기, 먹으러가기 좋은 곳!",1,44
2,날씨좋을때 행복지수 업!,2,44
3,갈때마다 행복해♡,3,44
0,날 따뜻할 때 광합성하기 좋음.,0,45
1,봄에는 장범준 노래 들으면서 산책하면 최고입니다.,1,45
2,근처에 치킨집이나 편의점도 있어서 접근성도 좋아요.,2,45
3,잠실의 명물 사우론 타워도 잘 보입니다.,3,45
0,"오늘 은 공기 가 참 좋았다 비 온 후라서인지
잠실대교 및을지나서 선착장 위에까지.",0,46
1,걷고가면 확 터여서 좋지,1,46
0,"편의점 라면 4500원 4200원 치킨 23000원
싸진 않지만 경치 값이다...",0,47
0,한강 걷기 1인 뚜벅이인데요.,0,48
1,"2인 이상 같이 뛰는 분들은
왜 길 안비켜주세요?",1,48
2,잠깐  1줄로 가는게 그렇게 싫으신건지...,2,48
3,난 왜 여따 풀까요 ㅠㅠ,3,48
4,방금도 걷다가 화딱지 진짜...,4,48
0,가족과ㆍ친구들과ㆍ연인이 함께하기 좋은 곳,0,49
0,"자전거 라이딩 장소 코스중하나
중간에 치킨집 편의점
잔디가 있고
차다니는 도로쪽에 화장실 있습니다",0,50
1,"사진찍기좋고
뷰가 좋습니다",1,50
0,"롯데월드타워도 보이고, 지금 단풍도 절경이고 자전거타는 많은 사람들..여유롭고 참 좋네요",0,51
0,요즘 이렇게 날씨 좋을 때 돗자리나 텐트 깔고 여유로운 시간을 보내기 너무 좋네요!,0,52
1,노을지는 하늘도 굳,1,52
0,"이랜드 크루즈를 잠실로 예약해서 처음 방문했는데 전철로 2호선 잠실새내역 7번출구에서 15분정도 였고 찾기는 어렵지 않았고, 롯데월드타워건물 야경도 이뿌고 선착장 매표소 앞에 gs25시 편의좀도 있고, 치킨과 맥주 또는 커피를 마실수 있는 까페가 분위기 있고 가격도 비싸지 않아서 좋았음.",0,53
0,자전거로 양재천부터 잠실한강공원까지 라이딩을 했는데..,0,54
1,현재(2020.3.17) 편의점 두 곳이 모두 내부수리중 이라는 표지만 붙어있어서 실망스러웠음.,1,54
2,자전거도로와 화장실은 잘 정비되어 있음.,2,54
0,깨끗하고 넓으며 시원시원한 강변 경치를 감상할 수 있어 좋습니다.,0,55
1,"주차공간도 넉넉하게 제공되어 운동, 산책, 데이트 등 다양한 목적으로 찾을 수 있는 곳이라 생각합니다.",1,55
2,날씨 좋을 때 다시 찾고 싶은 곳입니다.,2,55
