,리뷰,rep,index
0,겨울 썰매장 재밌고 즐거워요.,0,0
1,"외국인 관광객도 많고, 1-2시간 놀기엔 적당해요",1,0
0,여기 정말 예뻐요.,0,1
1,제가 지금까지 본 한강공원 중에 TOP1이에요.,1,1
2,파라솔 있는 테이블과 벤치도 있고 화장실도 깨끗하고 쓰레기 분리수거장 있고 편의점은 7분 거리 였는데 세븐일레븐에 한강 라면이 없었던 것만 빼면 완벽했어요.,2,1
3,날이 따뜻해서 강 앞에 앉아도 춥지 않았습니다.,3,1
4,피크닉 매트는 근처 '피크닉109 잠원' 이용하면 좋아요!,4,1
5,놀이터아이들 놀이터가 따로 있어요.,5,1
6,나무로 되어있어서 예뻤어요.,6,1
7,화장실안내센터 앞쪽에 있어요.,7,1
8,깨끗하고 옆에 쓰레기 분리수거장도 있습니다.,8,1
9,"피크닉 구역잔디 위에 테이블, 의자, 파라솔 있어서 매트 없어도 앉을 수 있고 매트 깔면 편하게 있을 수 있어요.",9,1
10,앉아서 한강도 보이고 좋아요.,10,1
0,"신사역에서 5번 출구로 나와 걸어오던가, 압구정에서 환승하던가 둘 중 하나예요.",0,2
1,"여긴 다른 한강에 비해 쓰레기가 많이 없고, 행사가 있을 때 재미있게 즐기기 좋고, 강아지 산책하기도 좋고, 플로깅하기도 좋은 곳이랍니다.",1,2
2,화장실화장실 깨끗해요.,2,2
3,반려견 동반 환경오기 좋아요.,3,2
4,꼭 봉투 들고 와서 꼭 치우기피크닉 구역잔디나 의자에 앉을 수 있어요.,4,2
0,먼저 들어가보시면 잔디가 펼쳐져있습니다.,0,3
1,나무와 잔디가 어우러져서 놀기가 좋습니다.,1,3
2,또한 마트가 있어서 원하는 것을 살수도 있습니다.,2,3
3,참고로 마트에서 라면 끓이는 곳이 있어서 라면 드시기에 적합한 곳입니다.,3,3
4,멋진 한강뷰와 밤이되면 보이는 시내뷰도 예술입니다.,4,3
5,"그리고 돗자리, 텐트를 가져가서 필 수 있습니다.",5,3
6,반포한강공원과 달리 농구장이 좀 멀리있습니다.,6,3
7,좀 걸어야되지만 농구골대는 4개가 있습니다.,7,3
8,현재 운동장과 농구장을 공사중이지만 거의 다 끝났기 때문에 놀수있으실 겁니다.,8,3
0,눈썰매장 생각보다 좋음,0,4
0,한강 공원 중 깨끗한 편인 것 같은 잠원공원입니다만,0,5
1,날이 좋아지며 이리저리 쓰레기들이 널려있는 걸 보면 맘이 아파요~,1,5
2,오면 행복한 곳인만큼 함께 아껴주면 좋겠어요!,2,5
3,신사 근처 오면 이곳 주차장이 가장 저렴하기도 해 볼 일 보기 전 후로 공원 산책을 즐깁니다.,3,5
0,"한강의 야경과 함께 산책하기 좋은곳, 계절과 온도에 따라 바뀌는 저녁 노을 그리고 밤이 깊을 수록 강 넘어로 선명하게 보이는 남산타워와 아파트 조명이 한것 정취를 느끼게 합니다.",0,6
0,서울에서 그래도 숨쉴만한곳.,0,7
1,밤에 가도 안전하고 특히 라면맛집.,1,7
2,야경도 너무 이뻐서 가끔 방문하는곳,2,7
0,기본적으로 길이 깨끗하게 잘 관리되어있습니다.,0,8
1,"편의점도 여럿 있고, 편의점/배달이 많은 것 치고 깨끗해서 놀랐습니다.",1,8
2,아마 시민들도 각자 잘 치워주시지만 한강 치우는 인력은 많이 들 것 같습니다.,2,8
3,"요즘같은 여름에는 초저녁부터 돗자리깔고 한강을 즐기는 사람도 많고, 저녁에도 운동하러 오는 사람들도 많아, 시민 모두가 즐길 수 있는 좋은 곳입니다!!",3,8
0,"2023마지막 영업일이라니, 여름도 이제 끝을 향해가는구나",0,9
0,잠원 나들목으로 나와 시원한 한강뷰와  강북을 비ㅣ라보는 ᆢ다양한 시설들이 완비되어있네요,0,10
1,ㆍ산책하기  좋아요,1,10
2,피크닉 구역잔듸가 많고 운동기구도있어서 가족들이 피크닉장소로 좋아요,2,10
3,ㆍ강건너 보광동과 한남동전경을 볼수있습니다,3,10
0,석양지는 한강은 언제나 이쁨,0,11
0,한강을 따라서 잘 정돈 되어 있는 공원과 산책로!,0,12
1,막 터지려는 매화꽃망울과 새들이 조화로운 곳!,1,12
2,서울같은 큰 도시에 이처럼 큰 강을 끼고 있는 혜택을 누릴 수 있는곳!!!,2,12
0,여느 한강공원이 그러한것 처럼 그늘에 자리펴고 피크닉을 즐기기에 좋습니다.,0,13
1,해가 지는 한강 노을뷰도 좋구요.,1,13
0,시설은 좋은 편은 아니지만 한가하고 넓어서 여유롭게 아이들과 물놀이 하면서 즐길수 있는곳 간단한 음식과 음료수는 미리준비해가면 편하게 먹을수 있음.,0,14
1,주류는 반입금지.,1,14
2,"튜부 바람넣는 에어컴프레셔 무료, 다둥이카드 소지시 50%",2,14
0,큼지막한 지방에게 자리를 양보한 작은 근육들이 깜짝놀란듯...,0,15
1,그나마 아름다운 풍광을 접하는 네 눈과 선선한 가을 바람을 받아들이는 온몸이 구석구석 놀란 근육들을 위로해준다.,1,15
0,"이번년도에 첨갔는데,주말이라 그런지..물도 너무 뿌옇구 사람 너무 많터라구요ㅜㅜ",0,16
