,리뷰,rep,index
0,아주좋습니다,0,0
0,날씨가 풀렸다.,0,1
1,구글은 어떻게 풀렸다를 번역할 까?,1,1
2,사람들이 제법 돌아다닌다.,2,1
3,사람은 자전거 조심.,3,1
4,자전거는 사람 조심.,4,1
5,생각 좀 하고 걸어 다니고 자전거 터라.,5,1
0,운동장소 최고,0,2
0,선유도와 근접해서  좋음.,0,3
1,선유도를 가지 않아도 공원 폭이 넓고 잔디가 잘 깔려있어서 피크닉하기 좋음.,1,3
2,중간중간 편의점도 있고 공중 화장실도 있으며 양화대교 아래에는 운동기구들이 있어서 유용함.,2,3
3,축구골대와 농구 골대도 있어서 운동하기도 정말 좋음.,3,3
4,양화대교를 통해서 선유도로 갈 수도 있음.,4,3
5,"2, 9호선 당산역과 9호선 선유도역이 근접해 접근성도 좋음.",5,3
6,주차공간도 몇군데 있고 주차면수도 많음.,6,3
7,봄 여름 가을 데이트나 피크닉 장소로 아주 좋은듯.놀이터양화대교 옆에 위치.,7,3
8,모레바닥 아니고 우레탄화장실중간중간에 공중화장실 있음반려견 동반 환경반려견 동반 가능피크닉 구역거의 모든 구역 가능,8,3
0,한강의 멋진 전망,0,4
0,전용 산책로가 있어 조깅하는 사람과 자전거 타는 사람에게 이상적인 서울의 거대한 공원입니다.,0,5
1,짧고 긴 회로.,1,5
0,"물과 풀이 있는 좋은 공원, 가을에 석양 무렵은 한폭의 그림",0,6
0,여긴 그래도 사람적음,0,7
0,여기서 지금 여자친구랑 1일이 되었네요.,0,8
1,오래오래 행복하게 만나겠습니다.,1,8
2,서로 많이 예뻐해주고 아껴주도록 하겠습니다.,2,8
0,봄과 여름에 주말을 보내기 가장 좋은 장소 중 하나,0,9
0,너무좋아요,0,10
1,굿굿,1,10
0,잠시 산책하러 가는곳인듯.,0,11
1,편의점도 작고 한강도 잘 안보임.,1,11
0,"산책도하면서,여유를즐길수 있어요",0,12
0,자전거타러나가기조아요,0,13
0,좋아요,0,14
0,훌륭한 공공 자원입니다.,0,15
1,밤에도 안전하고 아름답습니다.,1,15
0,저녁먹기전 산책 다녀왔는데 예전에 비해 많이 가꿔지고 쉴곳이 많이 생겼네요.,0,16
1,주차도 편리해서 자주 갔었는데 차 말고 걸어서 다녀야겠습니다.,1,16
0,굿,0,17
0,좋은,0,18
0,자전거타고 가봄.,0,19
0,"공원에 간건 아니고, 자전거 타고 양화대교 건너다가 본 것이 전부입니다",0,20
0,목가적 분위기의 한강공원입니다.,0,21
0,"강을 따라 시설이 잘 갖춰진 공원, 피크닉 장소, 시립 수영장, 반려견 보호 구역, 지구 전체를 둘러싸는 22km 길이의 자전거 도로, 보행자 구역, 벤치, 화장실, 분수, 야외 체육관, 미니마켓이 있습니다.",0,22
1,모든 곳에서 도시 스카이라인과 다리의 전망을 감상하실 수 있습니다.,1,22
2,도시 주변을 크루즈하는 보트도 이 공원에서 출발합니다.,2,22
0,"이상한 아줌마 아저씨들이 자전거를 타고와서

술판을 벌림...ㅋㅋㅋ",0,23
0,걷기 좋아요,0,24
0,놀면서 낚시를 쉬어보세요,0,25
0,온실과 내부 편의시설이 최고입니다,0,26
1,여인들과의   차한잔하시면  따봉입니다,1,26
0,그냥 한강변에 있는 다른 공원과 별 차이 없이 주변 사는 사람들이 쉬러 오기 좋은 공원,0,27
0,저녁에 시원한 바람과 함께 산책하면 최고입니다,0,28
0,좋음,0,29
0,❤️❤️❤️❤️,0,30
0,양화대교 남단에 위치한 고수부지 공원으로 시민들이 산책겸 소풍장소로 많이 이용한다,0,31
0,한강을 건너는 바나나보트를 탈 수 있어요.,0,32
0,형편없음,0,33
0,"■ 서울 수변공원중 으뜸

ㆍ 아마도 내가 아는한 서울의 수변공원중에서는 양화한강공원이 필드뷰와
한강뷰 모두 최고로 멋진 곳이 아닌가 싶다",0,34
1,"ㆍ 제 1, 2 주차장이 비좁은 것을 제외하곤 단점이 거의 없는듯

ㆍ 선유도공원과 마주한 이곳은 잔디밭이 풍부해 도로면에 가까운 곳엔 시민들이 설치한 그늘막이 군데 군데 놓여
있고 한강면이 가까운 곳엔 돗자리와
비치의자, 간이테이블 등이 점거하고 있다.",1,34
