,리뷰,rep,index
0,서울에서 일출 보기 매우 좋은 곳입니다.,0,0
1,2024년 1월 1일 일출은 이곳에서 봤네요.,1,0
2,주차장쪽에 원효대교로 올라가는 길이 있는데 거기서 봐도 좋습니다.,2,0
0,가만히 앉아서 물멍 때리기도 좋고 천천히 걸으면서 여유를 즐기는 것도 좋다.,0,1
1,날씨가 따뜻하면 피크닉 오기 좋은 곳화장실화장실이 부족하지 않게 있다 !,1,1
2,반려견 동반 환경야,2,1
3,외니깐 당연히 강아지 데리고 와도 된다.,3,1
4,배변 패드는 필수 !!피크닉 구역잔디밭이 광범위하게 있어서 피크닉하기에 딱 좋다,4,1
0,낮에도 밤에도 넓고 쾌적한 공원.,0,2
1,벚꽃 시즌엔 평일에나 겨우 들를 정도.,1,2
2,허가를 받고 드론 날리기에도 꽤 좋은 장소.,2,2
3,봄여름에 가늘도 많아서 피크닉도 가능.,3,2
0,봄가을 한강공원 나들이는 필수죠.,0,3
1,야시장이 열렸다하여 아이들과 가보았는데 역시 비싼 음식값과 돗자리를 대여하는곳이 즐비했어요.,1,3
2,가시게되면 돗자리는 필수!,2,3
3,물정도는 싸가지고 가세요~,3,3
4,물 한잔에 2천원에 판매해요..;;;,4,3
5,그 외에 해질무렵에가면 분위기도 좋고 분수다리밑에서 유람선구경도 쏠쏠합니다^^,5,3
0,동탄에 거주 직장은 여의도 동탄 호수공원도 자주 갑니다.,0,4
1,"좋다는 느낌, 그런느낌을 가지고 가족과 한강에 왔을땐 베네치아에 갈필요는 없겠구나",1,4
2,(가보진않았지만) 세계적 명소가 맞구나 하는 느낌이 듭니다.,2,4
3,자전거도로는 정말 환상적입니다.,3,4
4,여의도에서 잠실까지 자전거로 한시간이면 갑니다.,4,4
5,운동도 되고 차로가도 그정도 걸리니.,5,4
6,"자전거 타러, 인라인타러, 캠핑감성 즐기러, 스트레스풀겸....",6,4
7,추천드립니다.,7,4
0,가을에 산책하기좋고 피크닉도 가능 돗자리나 바람막이텐트를 빌릴수있습니다.,0,5
1,배달음식도 가능 치맥 한강라면 가족 커플 친구들과 다함께 즐길수있는곳,1,5
0,"가족, 친구들과 산책하고 버스킹 즐기기 안성맞춤인 공간으로, 구역별로 배치된 크루즈 중심으로 식당, 편의시설 등이 있어 이용에 편리",0,6
0,"탁 트인 한강 드넓은 공간, 커다란 나무, 잔디, 꽃들 유람선 선착장, 선상 카페, 선상 음식점...",0,7
1,서울 시민들께 너무나도 큰 선물 같은 곳 '한강시민공원' 입니다.,1,7
2,야경은 더 멋집니다.,2,7
3,여의나루역 나오자마자 돗자리 대여하는 곳도 있고 곳곳에 음식판매 하는 곳 있어서 골라 먹는 재미도 밌었고  63빌딩 관람도 좋았습니다.,3,7
4,자주 찾고 싶은 곳 강추 입니다,4,7
5,혼자서도 무섭지 않은 곳이라 가끔은 혼자서 산책하는 장소로도 좋을 듯 합니다.,5,7
0,[ 2024년 1월 12일 방문 ] 역시 여의도한강공원!,0,8
1,볼것도 많고 먹거리도 좀 있음,1,8
2,남산타워도 보이고 전망도 예쁘네요.,2,8
0,유럽다녀 온지 얼마 안 되어서 그런지 유럽이 더 좋네요.,0,9
1,산책 하기에는 매우 좋은 것 같습니다.,1,9
2,단점은 비가 온 후 자전거 도로에 물이 고여 있어서 자전거 타기가 힘듦니다,2,9
0,여의도에 살고싶네용,0,10
1,매일 산책하기 좋은곳입니다,1,10
2,더현대서울 갔다가 바람쐬러 왔어요,2,10
0,유람선타고 라이브음악과 해지는 모습과 서울의 강남과 강북을 잇는 한강에 빠져본다 주차도좋고 식사도 가능하고 맥주는 마실수있는 곳,0,11
0,여름밤에 더할나위 없이 좋은 장소예요.,0,12
1,주말엔 주차가 어려워 평일 저녁 추천 합니다.,1,12
2,평일 저녁에도 사람 많고 분위기 정말 좋아요,2,12
3,한강을 바라보고 우측에는 유람선 타는 곳 편의점에서 한강라면 많이들 먹고요,3,12
4,이른 저녁엔 달이 정말 예뻐요.,4,12
5,중간 부분에는 얕게 발목~무릎 정도까지 발 담글수 있는 물놀이 시설 있어요.,5,12
6,크록스 같은 신발신고 발 담그기 좋아요.,6,12
7,좌측 무대에선 운 좋으면 공연하는 모습도 볼수 있어요.,7,12
0,세계불꽃축제 마포대교에서 관람 대중교통으로 이동하기 좋은곳으로 단지 인파가 상단ㅇ히 많아요,0,13
0,너무 예쁜 곳이에요.,0,14
1,낮에도 예쁘지만 역시 야간에 와야 더 예쁠 것 같았어요.,1,14
2,버스킹 노래소리도 좋았고 특히나 하늘이 정말 아름다웠어요.,2,14
3,유람선을 타볼까했지만 시간이 애매해서 탑승하진 못했어요.,3,14
4,좋은 추억들을 많이 만들기에 충분한 공간이에요.,4,14
0,"4.0 한여름낮에는 뜨겁지만, 봄에는 벚꽃, 10월에는 불꽃축제, 겨울을 제외하곤 피크닉 가족, 연인들, 자전거, 조깅하는 사람들이 많이 찾습니다.",0,15
1,"편의점, 화장실, 배달 픽업장소, 다양한 길거리음식등이  있어 편리합니다.",1,15
0,이사하기 전 마지막으로 한강공원 방문~ 날씨도 좋고 추석 당일이라 가족 단위의 사람들이 엄청 많았다.,0,16
1,"한강 오면 또 빠질 수 없는 한강라면까지 최고ㅠㅠ 과자랑 음료수(특히 맥주), 돗자리 등등을 사오는 걸 추천함.",1,16
0,서울 오리지널 명소 중 하나죠,0,17
1,가끔 오면 정말 좋습니다,1,17
2,이 날은 마침 에어쇼도 해서 좋은 구경 했습니다,2,17
3,뭐 드실 거면 배달음식이나 다른 곳에서 포장해 오십쇼 한강공원 내부에 있는 가게들은 모두 강한 비추 드립니다,3,17
4,그래도 즉석 라면은 즐기지 않을 수 없죠,4,17
5,인정합니다,5,17
6,9월 초 기준 더위도 한풀 꺾였으니 즐거운 시간 보내세요,6,17
7,반려견 동반 환경에티켓을 잘 지키면 반려견도 함께할 수 있지만 반려견을 위한 공간은 아니긴 합니다,7,17
8,피크닉 구역돗자리는 잔디 위에만 까셔야 합니다,8,17
0,달빛뮤직크루즈타러 갔다가 라면도먹고 분위기도 즐겼어요,0,18
1,상인과 시민이 체계적으로 움직이는 느낌,1,18
0,오늘 날씨가 너무너무 좋아서 한강 나들이 온 사람들이 많아 저도 덩달아 들떴답니다,0,19
1,돗자리대여 보증금7천원 +미니책상&돗자리&물티슈5천원 이에요,1,19
2,682 6477975258647568반납하 면보증금 현금으로돌려받아요!,2,19
3,저는여의나루세븐일레븐앞상점에서빌렸어요ㅋㅋ,3,19
4,갈매기가 많아서바닷가 온줄요ㅋㅋㅋㅋㅋ,4,19
5,한강라면은 운치있어더맛있 게느껴져요,5,19
6,6 8264 7 797 5258647568가져가는동안불어버리는단점 이있지만 😅라면4천원+맥주2캔8 천원+프링글스 4천원+솜사탕3 천원😁키킥혼자다 먹었네용,6,19
7,즐거운 하루. . !! !,7,19
8,안녕👋 ✨️,8,19
0,"2023. 09. 15. 금요일 여의나루 한강공원으로 오랜만에 방문해서 맛있는 돈까스, 유람선도  타보고, 사진도 찍었습니다.",0,20
1,다음엔 또 방송으로 가보고  싶습니다.,1,20
0,"일본 자전거 여행 전에 텐트 테스트하려고 왔는데, 개좋음.",0,21
1,"조용하고, 시원하고.",1,21
2,텐트 치기 딱 좋은 곳.,2,21
3,오수를 즐기기에도 정말 좋음 ㅇㅇ,3,21
0,아시아투데이 신문사에서 주최한 마라톤대회가 열려서 참석하 방문함.,0,22
1,한강변이지만 5호선 여의나루역 2번출구로 나오면 바로 갈 수 있어 접근성이 좋음.,1,22
2,"추석 연휴라 사람들이 적을 줄 알았는데, 의외로 많은 사람들이 참여해서 10km, 5km 달리기와 5km걷기 대회가 열렸는데, 가을 날씨에 따뜻한 햇볕을 맞으면서 한강변을 걷는 즐거움이 컸음.",2,22
3,가을에 운동도 하면서 한강 풍경을 즐길 수 있는 아주 좋은 장소임.,3,22
0,여의도 불꽃축제를 처음으로 다녀왔다,0,23
1,우리나라팀이 역시나 기술면에서 아름다움을  적극 표현해주었다 저녁이후론 혼잡과 무질서가 가득했으나 불꽃쇼로 모든것을 잊었다,1,23
0,"한강변 잔디밭에서 남녀 데이트 장소, 아이들 동반 가족단위, 고교나 대학 단체 모임, 외국인 여행자 등 정말 다양한 사람들의 휴식처.",0,24
1,"편의점도 있고, 노점상에서 돗자리 등 대여 및 각종 간편식도 판매.",1,24
2,배달존을 활용한 배달음식도 가능.,2,24
3,편하게 지하철 타면 여의나루역에서 바로 연결되어 접근성도 좋음.,3,24
4,"화장실, 흡연공간, 쓰레기 처리장소 등 편의시설도 잘 되어있음.",4,24
0,선셋크루즈 타러 왔는데 해가 늦게 져서 저녁먹고 다시 와서 야경사진 찍었어요.,0,25
1,바람불어 시원하고 야경도 너무 예뻤어요.,1,25
0,낮에는 너무덥고 저녁부터는 바람도 불고 선선해지니 사람 들로 인산인해 친구나 연인끼리 시원한 맥주 한잔하면서 초가 을의 맛을 느껴 보시면 좋을듯,0,26
0,2023-12-10 한강시민마라톤대회 참가 차 방문.,0,27
1,널찍하고 깔끔하고 시원하고 좋다.,1,27
0,날씨가 추워도 여자친구 손잡고 데이트 하기에 이만한 장소가 없다~~  한강공원오면 한강라면이지!,0,28
1,화장실간이화장실 있음,1,28
0,서울에 살기를 잘했다는 생각을 들게 하는 최고존엄 한강공원.,0,29
1,돗자리 대여해주는 사람들이 짜증나게 구는 것 빼고는 다 완벽.,1,29
0,"불꽃축제 한다고 해서 한 번 가봤는데 정말 풍경도 좋고 넓어서 좋았고, 불꽃놀이도 예뻤어요!!",0,30
1,다음에도 또 놀러 가려구요 ㅎㅎ,1,30
0,지하철역에서 접근성이 좋아 예전부터 젊은이들 즐겨 찾던 곳입니다.,0,31
1,코로나 시국을 지나 젊은이들이 바글바글한 곳입니다.,1,31
2,따뜻한 날씨가 되면 물반 고기반으로 발 디딜틈 없이 돗자리들이 빽빽하게 차지합니다.,2,31
0,이십 오년여만에... 고국으로 돌아와보니 너무너무 많이 변해있습니다,0,32
1,그중에서 빼놓을 수 없는 곳이 바로 지하철과 함께 여의도 한강변에 있는 공원들입니다.,1,32
2,합정에서 다녔던 한강주변의 강들은 감동 그 자체입니다 🇰🇷 🇰🇷 🇰🇷 🇰🇷,2,32
3,이렇게 많이 변하다니요!,3,32
4,"시간이 되는 분들은, 한번씩 다녀오시면 몸과 맘이 치유가 되는 곳이기에 적극 추천드립니다 💜 💕 ⛱️  ⛱️  ⛱️ 💕 💜",4,32
0,몇년만에 왔는데 더좋아지고 먹을거 많고 사람많고.,0,33
0,서울Life를 즐겨보기 위해 와이프와 가본 여의도 한강공원.... 와...,0,34
1,날씨 겁나 좋...덥다....,1,34
2,나무에 이파리가 읍어서 그늘을 찾기 힘들었지만 일단 앉고 보자!!!,2,34
3,돗자리도 빌리고 음식도 사먹고 나름 여유로움을 즐겨볼 수 있는 하루였습니다.,3,34
4,주변에 노상에서 파는 음식들이 조금(?) 비싸긴 하지만 어쩌다 한번이니까...,4,34
5,사람도 구경하고 벚꽃도 구경하고...,5,34
6,덥지만 않았다면 좀 더 즐겨보았을텐데 좋아도 너무 좋은 4월1일 만우절 토요일이였네요,6,34
7,나중에 조금 선선해지면 아이들도 함께해서 다시 가볼 예정입니다,7,34
8,넘 더워서 라면을 못 먹었거든요 ㅎㅎㅎ,8,34
9,아 치킨도 시켜먹어야지!!!!ㅋㅋ,9,34
0,물이 흐르는 발 담글수 있는 수로가 있어 아이가 매우 좋아함.,0,35
1,치킨배달 됨.,1,35
2,음주 가능.,2,35
3,이만한 소풍이 없음.,3,35
0,이벤트가 없을때 가면 좋은듯해요...,0,36
1,근무하다가 샌드위치 사들고 벤치에서 점심 시간 보내기 좋은곳!,1,36
2,그늘자리는 나름 경쟁이 심하네요 ㅋㅋ,2,36
0,불꽃축제에 다녀왔습니다.,0,37
1,오랜시간 기다린 보람이 있는 멋진 불꽃놀이 였습니다.,1,37
0,좋아하는 곳이에요,0,38
1,자전거 타기도 좋고 야경도 좋고 유람선도 추천요 안에서 공연도 해요,1,38
0,걷기가 좋은 환경이라 너무 좋았어요,0,39
0,꽃들 많이 심어놓은 공원을 기대하고 갔는데 꽃은 별로 없네요.,0,40
1,그래도 탁 트인 한강 구경하기엔 좋네요.,1,40
0,"노을지는 한강을 바라보며, 산책하기 좋은곳.",0,41
1,피크닉하기엔 적합한 장소에요.,1,41
2,시원한 강바람을 맞으며 보는 풍경이 가슴이 뻥뚫리는 멋드러지는 곳입니다.,2,41
3,종종 이곳에서 행사도 진행하는데 보고만있어도 같이 즐거워지는곳네요.,3,41
4,"다만 사람들 많이 몰려서인지 아직 쓰레기 버리는 시민의식이 부족해서인지 길바닥, 쓰레기통주변 아무데나 버려져있어서 이건 아쉬웠습니다.",4,41
5,또 일부 자전거 타시는분들이 횡단보도를 사람들 지나가고있는데 멈추지도 않고 무서운 속도로 그냥 지나가면서 산책하러 다시는분들에게 큰소리로 길방해된다고 욕하고 지나가는데 정말이지 최악이었습니다.,5,41
